game_id,date,season,week,league,away,home,interceptions_lost,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_CFL_W1_MTL,,,1,CFL,,,2.0,1.0,250.0,,,,1.0,22.0
SYNTHETIC_CFL_W2_MTL,,,2,CFL,,,0.0,0.0,14.0,,,,0.0,11.0
SYNTHETIC_CFL_W4_MTL,,,4,CFL,,,0.0,0.0,30.0,,,,,
SYNTHETIC_CFL_W7_MTL,,,7,CFL,,,,,,,,,0.0,0.0
SYNTHETIC_CFL_W14_MTL,,,14,CFL,,,0.0,0.0,17.0,,,,,
SYNTHETIC_CFL_W15_MTL,,,15,CFL,,,0.0,0.0,294.0,,,,0.0,32.0
SYNTHETIC_CFL_W16_MTL,,,16,CFL,,,0.0,0.0,151.0,,,,0.0,11.0
SYNTHETIC_CFL_W17_MTL,,,17,CFL,,,0.0,2.0,305.0,,,,0.0,38.0
SYNTHETIC_CFL_W18_MTL,,,18,CFL,,,0.0,2.0,258.0,,,,0.0,9.0
SYNTHETIC_CFL_W19_MTL,,,19,CFL,,,0.0,1.0,138.0,0.0,-3.0,1.0,0.0,18.0
SYNTHETIC_CFL_W20_MTL,,,20,CFL,,,1.0,1.0,211.0,,,,0.0,2.0
SYNTHETIC_CFL_W21_MTL,,,21,CFL,,,0.0,0.0,130.0,,,,0.0,19.0
SYNTHETIC_CFL_2023_W1_BC,,2023,1,CFL,,,1.0,2.0,270.0,,,,1.0,35.0
SYNTHETIC_CFL_2023_W2_BC,,2023,2,CFL,,,1.0,1.0,324.0,,,,,11.0
SYNTHETIC_CFL_2023_W3_BC,,2023,3,CFL,,,,2.0,237.0,,,,,30.0
SYNTHETIC_CFL_2023_W4_BC,,2023,4,CFL,,,6.0,3.0,388.0,,,,,8.0
SYNTHETIC_CFL_2023_W5_BC,,2023,5,CFL,,,1.0,1.0,283.0,,,,,22.0
SYNTHETIC_CFL_2023_W7_BC,,2023,7,CFL,,,,,8.0,,,,,
SYNTHETIC_CFL_2023_W10_BC,,2023,10,CFL,,,1.0,4.0,322.0,,,,,4.0
SYNTHETIC_CFL_2023_W11_BC,,2023,11,CFL,,,1.0,3.0,455.0,,,,,24.0
SYNTHETIC_CFL_2023_W12_BC,,2023,12,CFL,,,1.0,1.0,326.0,,,,,1.0
SYNTHETIC_CFL_2023_W13_BC,,2023,13,CFL,,,,3.0,306.0,,,,,54.0
SYNTHETIC_CFL_2023_W15_BC,,2023,15,CFL,,,3.0,3.0,325.0,,,,,45.0
SYNTHETIC_CFL_2023_W16_BC,,2023,16,CFL,,,2.0,2.0,265.0,,,,,54.0
SYNTHETIC_CFL_2023_W17_BC,,2023,17,CFL,,,1.0,3.0,458.0,,,,,13.0
SYNTHETIC_CFL_2023_W18_BC,,2023,18,CFL,,,,1.0,352.0,,,,,21.0
SYNTHETIC_CFL_2023_W19_BC,,2023,19,CFL,,,1.0,2.0,296.0,,,,,1.0
SYNTHETIC_CFL_2023_W20_BC,,2023,20,CFL,,,1.0,,116.0,,,,,
SYNTHETIC_CFL_2024_W1_BC,,2024,1,CFL,,,2.0,0.0,284.0,,,,0.0,33.0
SYNTHETIC_CFL_2024_W2_BC,,2024,2,CFL,,,0.0,0.0,301.0,,,,1.0,54.0
SYNTHETIC_CFL_2024_W3_BC,,2024,3,CFL,,,1.0,0.0,218.0,,,,0.0,21.0
SYNTHETIC_CFL_2024_W4_BC,,2024,4,CFL,,,0.0,1.0,331.0,,,,0.0,33.0
