game_id,date,season,week,league,away,home,dst_touchdown,lost_fumbles,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_USFL_W1_NJ,,,1,USFL,,,,,0.0,23.0,2.0,0.0,6.0
SYNTHETIC_USFL_W2_NJ,,,2,USFL,,,,0.0,0.0,0.0,1.0,0.0,12.0
SYNTHETIC_USFL_W3_NJ,,,3,USFL,,,,,0.0,78.0,5.0,0.0,14.0
SYNTHETIC_USFL_W4_NJ,,,4,USFL,,,,,0.0,28.0,6.0,1.0,37.0
SYNTHETIC_USFL_W5_NJ,,,5,USFL,,,,,0.0,106.0,5.0,0.0,10.0
SYNTHETIC_USFL_W6_NJ,,,6,USFL,,,,,2.0,106.0,10.0,0.0,28.0
SYNTHETIC_USFL_W7_NJ,,,7,USFL,,,,,1.0,20.0,2.0,0.0,
SYNTHETIC_USFL_W8_NJ,,,8,USFL,,,,,1.0,83.0,5.0,0.0,10.0
SYNTHETIC_USFL_W9_NJ,,,9,USFL,,,1.0,,0.0,28.0,3.0,0.0,-1.0
SYNTHETIC_USFL_W10_NJ,,,10,USFL,,,,,0.0,68.0,5.0,,
SYNTHETIC_USFL_W11_NJ,,,11,USFL,,,1.0,,0.0,20.0,3.0,0.0,3.0
