game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
SYNTHETIC_AUDL_W2_SUMMIT,,,2,AUDL,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0
SYNTHETIC_AUDL_W3_SUMMIT,,,3,AUDL,,,0.0,0.0,,,0.0,0.0,,,,,0.0,-4.0,40.0
2022-06-18-SEA-COL,2022-06-18,2022,4,,SEA,COL,1.0,0.0,,,0.0,0.0,,,,,2.0,19.0,157.0
2022-06-25-SD-COL,2022-06-25,2022,5,,SD,COL,1.0,0.0,,,0.0,0.0,,,,,2.0,27.0,101.0
2022-07-02-LA-COL,2022-07-02,2022,6,,LA,COL,1.0,0.0,,,0.0,0.0,,,,,1.0,-5.0,70.0
2022-07-15-COL-SD,2022-07-15,2022,8,,COL,SD,2.0,0.0,,,0.0,0.0,,,,,3.0,6.0,205.0
2022-07-16-COL-LA,2022-07-16,2022,8,,COL,LA,0.0,0.0,,,0.0,0.0,,,,,2.0,14.0,-5.0
2022-07-30-POR-COL,2022-07-30,2022,10,,POR,COL,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0
2023-05-05-COL-SD,2023-05-05,2023,2,,COL,SD,2.0,1.0,8.0,6.0,,,2.0,1.0,,8.0,,42.0,22.0
2023-05-06-COL-LA,2023-05-06,2023,2,,COL,LA,,,,,,2.0,,,,,2.0,,
2023-06-04-OAK-COL,2023-06-04,2023,6,,OAK,COL,,,1.0,1.0,,,1.0,,,1.0,,8.0,6.0
2023-06-09-SLC-COL,2023-06-09,2023,7,,SLC,COL,1.0,,9.0,8.0,,1.0,,,,9.0,1.0,11.0,56.0
2023-06-16-COL-SLC,2023-06-16,2023,8,,COL,SLC,,1.0,12.0,12.0,,,1.0,1.0,,14.0,,-21.0,115.0
2023-06-17-COL-OAK,2023-06-17,2023,8,,COL,OAK,1.0,,,,,,,,,,2.0,,
2023-06-30-COL-POR,2023-06-30,2023,10,,COL,POR,1.0,0.0,19.0,19.0,,,,,,20.0,,-22.0,221.0
2023-07-01-COL-SEA,2023-07-01,2023,10,,COL,SEA,,,,,,,1.0,1.0,1.0,,1.0,,
2023-07-14-NY-COL,2023-07-14,2023,12,,NY,COL,,,6.0,4.0,,1.0,1.0,1.0,,4.0,,23.0,77.0
2024-05-04-SEA-COL,2024-05-04,2024,2,,SEA,COL,4.0,0.0,,,1.0,0.0,,,,,2.0,-15.0,378.0
2024-05-18-SLC-COL,2024-05-18,2024,4,,SLC,COL,2.0,1.0,,,0.0,0.0,,,,,2.0,-14.0,148.0
2024-05-31-ATL-COL,2024-05-31,2024,6,,ATL,COL,3.0,0.0,,,0.0,0.0,,,,,3.0,-19.0,298.0
2024-06-07-COL-OAK,2024-06-07,2024,7,,COL,OAK,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0
2024-06-08-COL-SLC,2024-06-08,2024,7,,COL,SLC,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0
2024-06-14-COL-MAD,2024-06-14,2024,8,,COL,MAD,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0
2024-06-15-COL-MIN,2024-06-15,2024,8,,COL,MIN,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0
2024-06-21-SD-COL,2024-06-21,2024,9,,SD,COL,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0
2024-06-29-COL-SEA,2024-06-29,2024,10,,COL,SEA,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0
2024-06-30-COL-POR,2024-06-30,2024,10,,COL,POR,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0
2024-07-06-IND-COL,2024-07-06,2024,11,,IND,COL,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0
2024-07-12-LA-COL,2024-07-12,2024,12,,LA,COL,1.0,0.0,,,0.0,0.0,,,,,3.0,-7.0,222.0
2026-05-02-COL-SEA,2026-05-02,2026,2,,COL,SEA,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0
