game_id,date,season,week,league,away,home,assists,blocks,catches,completions,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-05-TOR-NY,2023-05-05,2023,2,,TOR,NY,,1.0,6.0,5.0,,,6.0,7.0,2.0,57.0,-5.0
2023-05-06-TOR-BOS,2023-05-06,2023,2,,TOR,BOS,,,,,1.0,,,,,,
2023-05-13-MTL-TOR,2023-05-13,2023,3,,MTL,TOR,1.0,1.0,7.0,7.0,,,20.0,7.0,,37.0,14.0
2023-05-20-DC-TOR,2023-05-20,2023,4,,DC,TOR,,1.0,14.0,12.0,2.0,,10.0,14.0,2.0,78.0,85.0
2023-06-10-PHI-TOR,2023-06-10,2023,7,,PHI,TOR,,2.0,9.0,10.0,2.0,1.0,16.0,10.0,,47.0,109.0
2023-06-17-PIT-TOR,2023-06-17,2023,8,,PIT,TOR,,,1.0,1.0,,,7.0,1.0,,5.0,-3.0
