game_id,date,season,week,league,away,home,1pt_conversion,conversions,interceptions_lost,passing_tds,passing_yards,rushing_tds,rushing_yards
FOOTBALL_XFL_2023_3_19_ARL@SA,2023-03-19,2023,5,XFL,ARL,SA,,,1.0,1.0,97.0,,10.0
SYNTHETIC_XFL_2023_W5_BRAHMAS,,2023,5,XFL,,,1.0,0.0,,,,,
SYNTHETIC_UFL_2024_W1_ROUGHNECKS,,2024,1,UFL,,,,,0.0,0.0,0.0,,
SYNTHETIC_UFL_2024_W2_ROUGHNECKS,,2024,2,UFL,,,,,0.0,1.0,221.0,,
SYNTHETIC_UFL_2024_W3_ROUGHNECKS,,2024,3,UFL,,,,1.0,1.0,1.0,197.0,1.0,19.0
SYNTHETIC_UFL_2024_W4_ROUGHNECKS,,2024,4,UFL,,,,1.0,0.0,1.0,191.0,0.0,9.0
SYNTHETIC_UFL_2024_W5_ROUGHNECKS,,2024,5,UFL,,,,,1.0,1.0,203.0,0.0,6.0
SYNTHETIC_UFL_2024_W6_ROUGHNECKS,,2024,6,UFL,,,,,0.0,0.0,135.0,,
SYNTHETIC_UFL_2024_W7_ROUGHNECKS,,2024,7,UFL,,,,,0.0,0.0,17.0,,
SYNTHETIC_UFL_2024_W8_ROUGHNECKS,,2024,8,UFL,,,,1.0,1.0,1.0,99.0,0.0,8.0
SYNTHETIC_UFL_2024_W9_ROUGHNECKS,,2024,9,UFL,,,,,0.0,0.0,57.0,,
SYNTHETIC_UFL_2024_W10_ROUGHNECKS,,2024,10,UFL,,,,,1.0,0.0,16.0,,
