game_id,date,season,week,league,away,home,assists,blocks,callahans,catches,completions,goals,hockeyAssists,hucksCompleted,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-06-COL-LA,2023-05-06,2023,2,,COL,LA,,,,7.0,8.0,1.0,,,11.0,3.0,-9.0,17.0
2023-05-12-POR-LA,2023-05-12,2023,3,,POR,LA,,,,4.0,6.0,,1.0,,6.0,,-6.0,38.0
2023-05-19-LA-SLC,2023-05-19,2023,4,,LA,SLC,,,,8.0,9.0,,1.0,,11.0,,28.0,102.0
2023-05-20-LA-COL,2023-05-20,2023,4,,LA,COL,,,,,,,,1.0,,1.0,,
2023-06-03-LA-SD,2023-06-03,2023,6,,LA,SD,,1.0,,7.0,10.0,,,,10.0,,35.0,62.0
2023-06-09-LA-POR,2023-06-09,2023,7,,LA,POR,1.0,1.0,,12.0,14.0,1.0,1.0,,14.0,1.0,-30.0,73.0
2023-06-10-LA-SEA,2023-06-10,2023,7,,LA,SEA,,,1.0,,,,,,,,,
