game_id,date,season,week,league,away,home,interceptions_lost,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions
SYNTHETIC_USFL_W5_NO,,,5,USFL,,,,,,0.0,3.0,1.0
SYNTHETIC_USFL_W7_NO,,,7,USFL,,,,,,0.0,10.0,1.0
SYNTHETIC_USFL_W10_NO,,,10,USFL,,,0.0,0.0,4.0,,,
