player_id,player_name,positions,assists,blocks,d_points,goals,o_points,plus_minus,touches,turnovers
abby-hecko,Abby Hecko,,8.0,3.0,72.0,2.0,13.0,7.0,196.0,6.0
alex-ballinger,Alex Ballinger,,2.0,1.0,7.0,3.0,44.0,3.0,26.0,3.0
allegra-johnson-mckee,Allegra Johnson McKee,,1.0,3.0,4.0,2.0,47.0,2.0,33.0,4.0
allie-wallace,Allie Wallace,,1.0,3.0,18.0,7.0,33.0,7.0,57.0,4.0
allison-allie-mueting,"Allison ""Allie"" Mueting",,,1.0,6.0,,3.0,,1.0,1.0
allison-murphy,Allison Murphy,,,2.0,23.0,1.0,3.0,3.0,11.0,
amanda-murphy,Amanda Murphy,,10.0,5.0,61.0,8.0,17.0,19.0,79.0,4.0
amanda-ring,Amanda Ring,,,2.0,15.0,,10.0,-2.0,11.0,4.0
amy-broome,Amy Broome,,2.0,1.0,7.0,3.0,44.0,-10.0,112.0,16.0
amy-lee,Amy Lee,,,,18.0,4.0,26.0,-5.0,29.0,9.0
anik-regan,Anik Regan,,,1.0,29.0,2.0,13.0,-2.0,11.0,5.0
anna-gustafson,Anna Gustafson,,,7.0,27.0,2.0,11.0,7.0,14.0,2.0
anna-stubbs,Anna Stubbs,,,1.0,,1.0,12.0,1.0,9.0,1.0
anna-thorn,Anna Thorn,,5.0,,3.0,1.0,47.0,-13.0,96.0,19.0
anneke-vermaak,Anneke Vermaak,,1.0,1.0,47.0,,20.0,-6.0,64.0,8.0
annelise-peters,Annelise Peters,,2.0,2.0,31.0,1.0,11.0,-4.0,58.0,9.0
annie-meilink,Annie Meilink,,1.0,2.0,45.0,3.0,3.0,-5.0,45.0,11.0
annie-ortiz,Annie Ortiz,,,1.0,3.0,,3.0,,16.0,1.0
annie-shriver,Annie Shriver,,1.0,,3.0,1.0,35.0,,26.0,2.0
arenaria-cramer,Arenaria Cramer,,2.0,1.0,12.0,2.0,7.0,2.0,33.0,3.0
aria-kischner,Aria Kischner,,1.0,,2.0,1.0,13.0,,8.0,2.0
ashleigh-jentilet,Ashleigh Jentilet,,10.0,10.0,67.0,14.0,18.0,23.0,65.0,11.0
austin-prucha,Austin Prucha,,4.0,3.0,13.0,7.0,49.0,5.0,51.0,9.0
avalon-igawa,Avalon Igawa,,1.0,4.0,36.0,4.0,21.0,2.0,46.0,7.0
becca-henley,Becca Henley,,2.0,6.0,6.0,6.0,66.0,6.0,84.0,8.0
bella-pearson,Bella Pearson,,1.0,,1.0,,5.0,1.0,5.0,
breanna-snipes,Breanna Snipes,,,1.0,20.0,2.0,2.0,,8.0,3.0
brenda-orellana,Brenda Orellana,,1.0,2.0,24.0,1.0,5.0,1.0,18.0,3.0
briana-taylor,Briana Taylor,,,2.0,4.0,1.0,1.0,2.0,5.0,1.0
caitlin-duffner,Caitlin Duffner,,1.0,,8.0,7.0,31.0,4.0,29.0,4.0
cameron-helm,Cameron Helm,,4.0,1.0,35.0,5.0,19.0,-1.0,62.0,11.0
carley-garrett,Carley Garrett,,2.0,2.0,12.0,7.0,48.0,-6.0,106.0,17.0
cassandra-cassie-brown,"Cassandra ""Cassie"" Brown",,2.0,3.0,51.0,5.0,15.0,7.0,39.0,3.0
cassandra-cassie-doody,"Cassandra ""Cassie"" Doody",,2.0,5.0,54.0,1.0,2.0,-1.0,62.0,9.0
cassidy-kummrow,Cassidy Kummrow,,,1.0,20.0,1.0,4.0,,4.0,2.0
chandler-shelton,Chandler Shelton,,2.0,2.0,13.0,2.0,33.0,-1.0,48.0,7.0
charlotte-doran,Charlotte Doran,,,3.0,13.0,1.0,26.0,-5.0,65.0,9.0
charlotte-wilson,Charlotte Wilson,,6.0,6.0,39.0,6.0,26.0,6.0,121.0,12.0
chelsea-twohig,Chelsea Twohig,,6.0,2.0,56.0,3.0,13.0,6.0,63.0,5.0
chip-yen,Chip Yen,,4.0,3.0,32.0,4.0,18.0,6.0,30.0,5.0
chloe-greene,Chloe Greene,,2.0,7.0,7.0,12.0,57.0,13.0,70.0,8.0
christie-lawry,Christie Lawry,,9.0,2.0,27.0,,38.0,,143.0,11.0
christina-mariscano,Christina Mariscano,,,1.0,28.0,1.0,15.0,,18.0,2.0
claire-lee,Claire Lee,,,,1.0,1.0,12.0,1.0,4.0,
claire-trop,Claire Trop,,6.0,9.0,65.0,3.0,3.0,5.0,63.0,13.0
claire-williams,Claire Williams,,4.0,2.0,8.0,1.0,5.0,5.0,20.0,2.0
claire-yeager-schmitt,Claire Yeager Schmitt,,,,14.0,,3.0,,4.0,
clara-stewart,Clara Stewart,,10.0,2.0,8.0,2.0,67.0,-10.0,127.0,24.0
clare-frantz,Clare Frantz,,3.0,3.0,12.0,1.0,46.0,-8.0,206.0,15.0
connie-chan,Connie Chan,,4.0,5.0,26.0,7.0,25.0,12.0,52.0,4.0
cori-bradham,Cori Bradham,,4.0,2.0,42.0,2.0,16.0,6.0,32.0,2.0
courtney-walbe,Courtney Walbe,,6.0,3.0,27.0,6.0,70.0,4.0,112.0,11.0
dana-bidot,Dana Bidot,,5.0,2.0,29.0,1.0,10.0,-5.0,49.0,13.0
danni-cordes,Danni Cordes,,2.0,1.0,17.0,,12.0,-3.0,23.0,6.0
eileen-duffner,Eileen Duffner,,1.0,1.0,27.0,5.0,10.0,6.0,13.0,1.0
elena-rubino,Elena Rubino,,,,2.0,,4.0,-3.0,8.0,3.0
elise-bjork,Elise Bjork,,,1.0,27.0,,6.0,-4.0,5.0,5.0
elise-freedman,Elise Freedman,,2.0,5.0,29.0,3.0,13.0,7.0,35.0,3.0
elizabeth-burkhardt,Elizabeth Burkhardt,,2.0,1.0,40.0,7.0,31.0,7.0,41.0,3.0
elle-mayer,Elle Mayer,,,,13.0,,13.0,-1.0,7.0,1.0
ellen-mueller,Ellen Mueller,,,1.0,5.0,,5.0,-1.0,6.0,2.0
elleythea-smith,Elleythea Smith,,4.0,7.0,63.0,8.0,19.0,14.0,53.0,5.0
ellie-jello-jose-2,Ellie Jello Jose,,1.0,1.0,30.0,2.0,12.0,1.0,30.0,3.0
emelia-marshall,Emelia Marshall,,2.0,4.0,42.0,1.0,9.0,-5.0,23.0,12.0
emery-otopalik,Emery Otopalik,,3.0,4.0,9.0,5.0,44.0,6.0,59.0,6.0
emily-branson,Emily Branson,,2.0,,6.0,5.0,53.0,3.0,18.0,4.0
emily-cohen,Emily Cohen,,4.0,3.0,4.0,10.0,74.0,-9.0,222.0,26.0
emily-kiver,Emily Kiver,,,,1.0,,5.0,,1.0,
emily-schloneger,Emily Schloneger,,1.0,,28.0,4.0,5.0,4.0,18.0,1.0
emma-jaschke,Emma Jaschke,,1.0,1.0,5.0,,7.0,-1.0,11.0,3.0
emma-jones,Emma Jones,,1.0,3.0,35.0,3.0,8.0,6.0,22.0,1.0
emma-peaslee,Emma Peaslee,,2.0,1.0,18.0,,7.0,-3.0,38.0,6.0
erica-baken,Erica Baken,,5.0,2.0,9.0,16.0,60.0,9.0,81.0,14.0
erika-watson,Erika Watson,,16.0,1.0,9.0,5.0,66.0,-7.0,189.0,29.0
erin-goding,Erin Goding,,2.0,1.0,21.0,,3.0,1.0,8.0,2.0
eugenia-garza,Eugenia Garza,,9.0,5.0,12.0,5.0,68.0,-14.0,134.0,33.0
eva-fischer,Eva Fischer,,,1.0,27.0,,5.0,-2.0,7.0,3.0
frankie-saraniti,Frankie Saraniti,,1.0,1.0,12.0,2.0,4.0,3.0,10.0,1.0
gabriella-gaby-cuina,"Gabriella ""Gaby"" Cuina",,,2.0,18.0,3.0,2.0,4.0,7.0,1.0
gaby-cuina,Gaby Cuina,,,1.0,29.0,1.0,18.0,-1.0,46.0,3.0
georgia-tse,Georgia Tse,,5.0,1.0,34.0,25.0,77.0,25.0,112.0,6.0
gerene-taylor,Gerene Taylor,,6.0,1.0,17.0,6.0,38.0,1.0,64.0,12.0
grace-feehan,Grace Feehan,,1.0,,22.0,2.0,16.0,,50.0,3.0
grace-fielder,Grace Fielder,,,2.0,6.0,,27.0,-2.0,11.0,4.0
grace-zucchero,Grace Zucchero,,4.0,5.0,4.0,,54.0,2.0,91.0,7.0
greta-becker,Greta Becker,,4.0,2.0,60.0,2.0,13.0,4.0,83.0,4.0
hailey-gassiot,Hailey Gassiot,,,,10.0,,1.0,,,
haley-challgren,Haley Challgren,,,,2.0,,,-1.0,2.0,1.0
hanna-mcclain,Hanna McClain,,,1.0,34.0,1.0,17.0,-4.0,56.0,6.0
hannah-abraham,Hannah Abraham,,1.0,2.0,,2.0,30.0,3.0,18.0,2.0
hannah-frank,Hannah Frank,,,,11.0,1.0,4.0,1.0,7.0,
isabel-demo,Isabel Demo,,2.0,,25.0,1.0,11.0,-4.0,71.0,7.0
isabelle-deputy,Isabelle Deputy,,1.0,1.0,,,7.0,1.0,2.0,1.0
jacqueline-jarik,Jacqueline Jarik,,7.0,2.0,50.0,5.0,18.0,5.0,83.0,9.0
jaime-estes,Jaime Estes,,3.0,1.0,8.0,7.0,43.0,2.0,50.0,9.0
jalyn-baumgartner,Jalyn Baumgartner,,9.0,2.0,9.0,9.0,52.0,8.0,66.0,12.0
jamie-eriksson,Jamie Eriksson,,,2.0,36.0,1.0,2.0,2.0,10.0,1.0
jane-koch,Jane Koch,,1.0,1.0,14.0,1.0,6.0,3.0,9.0,
jane-zheng,Jane Zheng,,3.0,8.0,42.0,1.0,11.0,6.0,29.0,6.0
jess-sourbeer,Jess Sourbeer,,5.0,5.0,48.0,5.0,17.0,11.0,65.0,4.0
jessica-jess-sourbeer,"Jessica ""Jess"" Sourbeer",,1.0,6.0,42.0,1.0,10.0,4.0,17.0,4.0
jessica-martinez,Jessica Martinez,,11.0,,38.0,2.0,19.0,7.0,89.0,6.0
jocelyn-jessop,Jocelyn Jessop,,,3.0,9.0,,1.0,1.0,14.0,2.0
jordan-sorensen,Jordan Sorensen,,24.0,7.0,36.0,8.0,81.0,14.0,393.0,25.0
