player_id,player_name,positions,def_ast,def_int,def_lg,def_pd,def_qbh,def_sack,def_solo,def_td,def_tot,def_yds,def_ydsl,field_goal_yards,interceptions_lost,interceptions_made,made_19,misc_fum,misc_td,missed,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,recv_fd,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_fc,ret_lg,ret_net,ret_num,ret_ret,ret_ryds,ret_tb,ret_td,ret_yds,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,sacks,score_conv,score_fr,score_ir,score_kr,score_p,score_pr,score_pts,score_r,score_saf,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
ac-leonard,A.C. Leonard,DB/DL,,,,,,3.0,32.0,,32.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aj-ouellette,A.J. OUELLETTE,RB,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,264.0,31.0,,212.0,41.0,49.0,2.0,346.0,403.0,,,,,,,,,,110.0,192.0,4.0,578.0,2.0,454.0,,,,,,2.0,,36.0,4.0,,6.0,,,,,,
abdul-kanneh,Abdul Kanneh,DB,,2.0,-1.0,,,,37.0,,37.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adam-auclair,Adam Auclair,LB,,,,,,1.0,44.0,,44.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adam-bighill,Adam Bighill,LB,,1.0,2.0,,,2.0,77.0,,77.0,2.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adam-konar,Adam Konar,LB,,1.0,27.0,,,2.0,52.0,,52.0,27.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adarius-pickett,Adarius Pickett,DB/LB,,1.0,4.0,,,4.0,80.0,,80.0,4.0,27.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,73.0,,3.0,,,,,73.0,,,,,,,,,1.0,,,,,6.0,,,1.0,,,,,,
albert-awachie,Albert Awachie,FB/RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,38.0,4.0,,27.0,4.0,4.0,,32.0,38.0,,9.0,,1.0,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,
alden-darby,Alden Darby,DB/LB,,1.0,7.0,,,2.0,33.0,,33.0,7.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alexander-hollins,Alexander HOLLINS,WR,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,62.0,21.0,29.0,3.0,65.0,219.0,,,,,,,,,,,,,,,,,,,,,3.0,,18.0,,,3.0,,,,,,
ali-fayad,Ali Fayad,DB/DE/DL,,,,,,1.0,4.0,,4.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
almondo-sewell,Almondo Sewell,DB/DT,,,,,,5.0,22.0,,22.0,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alonzo-addae,Alonzo Addae,DB,,,,,,,28.0,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amari-henderson,Amari Henderson,DB,,,,,,,31.0,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andrew-garnett,Andrew Garnett,OL,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andrew-harris,Andrew Harris,RB,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,0.0,125.0,17.0,,132.0,25.0,29.0,,181.0,224.0,,,,,,,,,,133.0,122.0,1.0,587.0,0.0,490.0,,1.0,,,,,,8.0,1.0,,1.0,,,,,,
andrew-lauderdale,Andrew Lauderdale,OL,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ante-milanovic-litre,Ante MILANOVIC-LITRE,RB,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,0.0,48.0,9.0,,75.0,16.0,32.0,,66.0,89.0,,6.0,,1.0,,,,,6.0,54.0,104.0,1.0,241.0,1.0,218.0,,,,,,,,6.0,1.0,,1.0,,,,,,
anthony-gosselin,Anthony GOSSELIN,FB/RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,35.0,4.0,,35.0,4.0,6.0,,16.0,35.0,,17.0,,2.0,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,
