player_id,player_name,positions,def_ast,def_int,def_lg,def_pd,def_sack,def_solo,def_td,def_tot,def_yds,def_ydsl,misc_td,pass_20,pass_att,pass_cmp,pass_fd,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_20,recv_fd,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_fc,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,rush_att,rush_fd,rush_lg,rush_td,rush_yds,score_conv,score_fr,score_ir,score_kr,score_p,score_pr,score_pts,score_r,score_saf,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
ac-leonard,A.C. Leonard,DL/DB,,1.0,1.0,,11.0,50.0,,50.0,1.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aj-hendy,A.J. Hendy,FS/DB,,1.0,7.0,,,14.0,,14.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aj-ouellette,A.J. OUELLETTE,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,4.0,,,,34.0,27.0,,61.0,,151.0,,,,,,,,,,,,,,,,
aaron-grymes,Aaron Grymes,DB,,1.0,,,,51.0,,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abdul-kanneh,Abdul Kanneh,DB,,3.0,,,,28.0,1.0,28.0,102.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,6.0,,,1.0,,,,,,
adam-auclair,Adam Auclair,LB,,,,,,12.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adam-bighill,Adam Bighill,LB,,2.0,8.0,,3.0,84.0,,84.0,8.0,17.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,6.0,,,1.0,,,,,,
adam-konar,Adam Konar,LB,,,,,1.0,6.0,,6.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adarius-pickett,Adarius Pickett,LB/DB,,1.0,17.0,,1.0,23.0,,23.0,17.0,7.0,,,,,,,,,,,,,,,,,,,,,198.0,29.0,,,,470.0,,,,,,,,,,,,,,,,,,,,,
ahmad-thomas,Ahmad Thomas,LB/DB,,1.0,5.0,,2.0,45.0,,45.0,5.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
albert-awachie,Albert Awachie,FB/RB,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,,,,7.0,,,,,,,,,,,,,,,,,,,,,
alden-darby,Alden Darby,LB/DB,,1.0,4.0,,1.0,42.0,,42.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alex-bazzie,Alex Bazzie,DL/DB,,,,,1.0,6.0,,6.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alexandre-dupuis,Alexandre Dupuis,FB/RB,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,31.0,5.0,6.0,1.0,33.0,46.0,,,,,,,,,,,,,,,,,1.0,,6.0,,,1.0,,,,,,
ali-mourtada,Ali Mourtada,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372.0,28.0,26.0,505.0,,1867.0,,,,,,,,,,,,44.0,,,,15.0,8.0,96.0,41.0,18.0,17.0
almondo-sewell,Almondo Sewell,DT/DB,,,,,5.0,19.0,,19.0,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,8.0,1.0,1.0,1.0,,,,,,
andrew-harris,Andrew Harris,RB,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,105.0,14.0,15.0,1.0,116.0,128.0,,,,,,,,157.0,,151.0,4.0,839.0,,,,,1.0,,30.0,4.0,,5.0,,,,,,
