player_id,player_name,positions,assists,blocks,def_rebounds,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,minutes,off_rebounds,plus_minus,points,rebounds,steals,turnovers
maya-caldwell,Maya Caldwell,,20.0,2.0,17.0,4.5,32.0,18.0,4.486,74.0,38.0,15.0,2.5,5.0,4.0,213.60000000000002,5.0,-20.0,98.0,22.0,7.0,14.0
megan-gustafson,Megan Gustafson,,21.0,6.0,52.0,7.5,31.0,12.0,14.988,110.0,56.0,67.0,7.35,23.0,19.0,365.6500000000001,21.0,-56.0,143.0,73.0,7.0,25.0
megan-walker,Megan Walker,,5.0,,6.0,3.167,19.0,7.0,3.625,38.0,14.0,8.0,1.25,6.0,4.0,115.18333333333334,3.0,29.0,39.0,9.0,3.0,12.0
mercedes-russell,Mercedes Russell,,1.0,,7.0,,,,2.0,8.0,4.0,7.0,1.0,3.0,2.0,53.68333333333333,2.0,-45.0,10.0,9.0,,7.0
michaela-onyenwere,Michaela Onyenwere,,13.0,8.0,60.0,7.9990000000000006,53.0,15.0,15.696,141.0,53.0,69.0,17.05,61.0,52.0,488.51666666666677,14.0,16.0,173.0,74.0,14.0,25.0
monique-billings,Monique Billings,F,26.0,8.0,101.0,,1.0,,10.588,117.0,55.0,54.0,13.083,51.0,39.0,400.55000000000007,45.0,-9.0,149.0,146.0,19.0,31.0
moriah-jefferson,Moriah Jefferson,,147.0,4.0,64.0,12.633000000000001,76.0,36.0,12.643999999999998,259.0,117.0,67.0,17.633000000000003,65.0,53.0,809.0333333333334,11.0,-61.0,323.0,75.0,36.0,68.0
myisha-hines-allen,Myisha Hines-Allen,,70.0,10.0,147.0,10.766,80.0,29.0,13.73,286.0,116.0,57.0,15.459,70.0,51.0,684.6499999999999,39.0,7.0,312.0,186.0,28.0,60.0
nalyssa-smith,NaLyssa Smith,,45.0,8.0,183.0,10.847000000000001,97.0,37.0,13.152999999999999,382.0,160.0,93.0,18.316,123.0,76.0,982.7333333333333,70.0,-264.0,433.0,253.0,15.0,76.0
napheesa-collier,Napheesa Collier,F,4.0,1.0,10.0,1.25,7.0,2.0,1.715,26.0,11.0,9.0,2.5,7.0,5.0,90.69999999999999,2.0,-15.0,29.0,12.0,2.0,1.0
natalie-achonwa,Natalie Achonwa,,37.0,7.0,65.0,,2.0,,12.062,91.0,47.0,36.0,11.667,27.0,22.0,331.51666666666665,25.0,-7.0,116.0,90.0,9.0,22.0
natasha-cloud,Natasha Cloud,W,245.0,13.0,118.0,12.072,145.0,50.0,14.723,334.0,136.0,58.0,24.485,95.0,79.0,1135.633333333333,16.0,126.0,401.0,134.0,36.0,100.0
natasha-howard,Natasha Howard,,84.0,35.0,204.0,11.969999999999999,102.0,31.0,18.373999999999995,470.0,225.0,119.0,19.724,128.0,93.0,1130.733333333333,72.0,-63.0,574.0,276.0,47.0,119.0
natisha-hiedeman,Natisha Hiedeman,G,154.0,7.0,76.0,17.531,204.0,85.0,19.238,360.0,154.0,87.0,15.667,43.0,34.0,1215.2166666666667,12.0,302.0,427.0,88.0,50.0,59.0
naz-hillmon,Naz Hillmon,F,41.0,10.0,120.0,,2.0,,13.788,123.0,59.0,51.0,13.75,39.0,32.0,673.7166666666668,52.0,-27.0,150.0,172.0,22.0,40.0
nia-clouden,Nia Clouden,,26.0,1.0,23.0,6.416,31.0,13.0,10.567,62.0,22.0,30.0,8.0,21.0,14.0,282.53333333333336,2.0,59.0,71.0,25.0,8.0,13.0
nia-coffey,Nia Coffey,,12.0,2.0,76.0,3.25,31.0,9.0,4.541,101.0,35.0,35.0,7.5,31.0,23.0,335.51666666666665,7.0,-78.0,102.0,83.0,10.0,35.0
nikolina-milic,Nikolina Milic,,23.0,8.0,47.0,2.25,22.0,6.0,13.64,135.0,74.0,57.0,12.334,42.0,31.0,363.8166666666666,46.0,-11.0,185.0,93.0,10.0,42.0
nneka-ogwumike,Nneka Ogwumike,,68.0,15.0,177.0,7.833,57.0,21.0,18.838,458.0,249.0,80.0,24.948,115.0,95.0,1067.6499999999999,48.0,-124.0,614.0,225.0,57.0,62.0
odyssey-sims,Odyssey Sims,,35.0,2.0,29.0,3.333,22.0,6.0,6.173,92.0,34.0,24.0,6.45,23.0,17.0,310.65,2.0,-7.0,91.0,31.0,13.0,22.0
olivia-nelson-ododa,Olivia Nelson-Ododa,,11.0,24.0,55.0,,,,15.246999999999998,84.0,47.0,77.0,9.667,37.0,26.0,435.78333333333336,34.0,-170.0,120.0,89.0,9.0,30.0
queen-egbo,Queen Egbo,,31.0,40.0,148.0,,,,14.113999999999999,215.0,95.0,98.0,14.939,76.0,49.0,719.5333333333331,61.0,-141.0,239.0,209.0,30.0,64.0
rachel-banham,Rachel Banham,G,81.0,4.0,45.0,12.65,149.0,57.0,14.948000000000004,235.0,101.0,62.0,7.8999999999999995,30.0,24.0,629.65,3.0,43.0,283.0,48.0,9.0,48.0
rae-burrell,Rae Burrell,W,1.0,,2.0,0.333,6.0,1.0,0.333,9.0,1.0,4.0,1.0,2.0,2.0,43.5,1.0,-5.0,5.0,3.0,2.0,1.0
raina-perez,Raina Perez,,1.0,,,,,,,,,,,,,2.3166666666666664,,-4.0,,,,
rebecca-allen,Rebecca Allen,W,35.0,25.0,84.0,7.063,89.0,27.0,10.265,183.0,68.0,51.0,9.25,28.0,24.0,572.6333333333334,9.0,-62.0,187.0,93.0,21.0,27.0
rebekah-gardner,Rebekah Gardner,,58.0,22.0,86.0,8.083,48.0,15.0,22.637999999999998,250.0,130.0,95.0,22.301000000000002,74.0,60.0,902.4999999999997,55.0,33.0,335.0,141.0,55.0,62.0
rennia-davis,Rennia Davis,,1.0,,5.0,,2.0,,3.333,13.0,5.0,3.0,,,,43.06666666666666,3.0,-5.0,10.0,8.0,2.0,4.0
reshanda-gray,Reshanda Gray,,11.0,5.0,38.0,2.5,14.0,3.0,9.434,62.0,27.0,57.0,2.75,11.0,7.0,253.23333333333338,17.0,-30.0,64.0,55.0,7.0,28.0
rhyne-howard,Rhyne Howard,W,96.0,26.0,127.0,11.852,248.0,85.0,12.366000000000001,509.0,184.0,87.0,20.944999999999997,125.0,99.0,1065.7833333333333,27.0,-149.0,552.0,154.0,54.0,53.0
