player_id,player_name,positions,2_pointer,3_pointer,4_pointer,assist,blockedShot,rebound,steal
adam-drexler,Adam Drexler,P,2.0,1.0,0.0,4.0,0.0,8.0,2.0
alex-scales,Alex Scales,P,4.0,4.0,0.0,3.0,0.0,6.0,1.0
alonzo-gee,Alonzo Gee,P,17.0,6.0,0.0,5.0,1.0,27.0,3.0
amir-johnson,Amir Johnson,P,20.0,0.0,0.0,3.0,3.0,28.0,1.0
brandon-rush,Brandon Rush,P,4.0,1.0,0.0,1.0,1.0,5.0,0.0
chris-johnson,Chris Johnson,P,31.0,8.0,2.0,7.0,3.0,40.0,1.0
corey-brewer,Corey Brewer,P,17.0,3.0,0.0,6.0,2.0,19.0,2.0
cuttino-mobley,Cuttino Mobley,P,9.0,1.0,0.0,4.0,1.0,15.0,0.0
dajuan-summers,Dajuan Summers,P,26.0,12.0,0.0,5.0,2.0,22.0,4.0
darnell-jackson,Darnell Jackson,P,13.0,1.0,0.0,8.0,0.0,27.0,3.0
david-hawkins,David Hawkins,P,2.0,0.0,0.0,6.0,1.0,6.0,2.0
deshawn-stephens,Deshawn Stephens,P,34.0,4.0,0.0,4.0,3.0,50.0,2.0
dominique-johnson,Dominique Johnson,P,18.0,10.0,1.0,12.0,1.0,4.0,3.0
donte-greene,Donte Greene,P,32.0,11.0,1.0,2.0,4.0,27.0,2.0
dusan-bulut,Dusan Bulut,P,22.0,10.0,1.0,27.0,2.0,21.0,4.0
earl-clark,Earl Clark,P,40.0,9.0,0.0,9.0,6.0,49.0,9.0
elijah-stewart,Elijah Stewart,P,14.0,4.0,2.0,6.0,3.0,18.0,5.0
franklin-session,Franklin Session,P,19.0,1.0,0.0,26.0,1.0,39.0,4.0
garlon-green,Garlon Green,P,2.0,1.0,0.0,2.0,1.0,16.0,2.0
gerald-green,Gerald Green,P,35.0,14.0,0.0,7.0,1.0,30.0,2.0
ike-diogu,Ike Diogu,P,3.0,2.0,0.0,1.0,1.0,2.0,1.0
isaiah-austin,Isaiah Austin,P,28.0,0.0,1.0,4.0,12.0,34.0,0.0
isaiah-briscoe,Isaiah Briscoe,P,44.0,10.0,0.0,23.0,1.0,24.0,4.0
james-white,James White,P,12.0,4.0,0.0,4.0,2.0,24.0,2.0
jannero-pargo,Jannero Pargo,P,12.0,9.0,0.0,0.0,0.0,10.0,0.0
jason-richardson,Jason Richardson,P,30.0,9.0,1.0,9.0,3.0,24.0,3.0
jeff-ayres,Jeff Ayres,P,11.0,3.0,0.0,2.0,0.0,25.0,0.0
jeremy-pargo,Jeremy Pargo,P,22.0,6.0,2.0,17.0,0.0,24.0,1.0
jermaine-taylor,Jermaine Taylor,P,21.0,14.0,0.0,6.0,0.0,9.0,2.0
jodie-meeks,Jodie Meeks,P,30.0,13.0,2.0,5.0,0.0,24.0,5.0
joe-johnson,Joe Johnson,P,28.0,4.0,0.0,7.0,0.0,20.0,3.0
jonathon-simmons,Jonathon Simmons,P,9.0,1.0,0.0,7.0,0.0,15.0,3.0
josh-powell,Josh Powell,P,19.0,0.0,0.0,2.0,2.0,26.0,1.0
julian-wright,Julian Wright,P,24.0,0.0,0.0,6.0,3.0,34.0,7.0
justin-dentmon,Justin Dentmon,P,21.0,7.0,0.0,11.0,1.0,17.0,6.0
karlis-lasmanis,Karlis Lasmanis,P,19.0,7.0,0.0,11.0,1.0,26.0,4.0
keith-benson,Keith Benson,P,12.0,0.0,0.0,4.0,4.0,23.0,2.0
kevin-murphy,Kevin Murphy,P,33.0,8.0,1.0,9.0,0.0,25.0,2.0
kuran-iverson,Kuran Iverson,P,16.0,2.0,0.0,7.0,2.0,30.0,1.0
larry-sanders,Larry Sanders,P,3.0,0.0,0.0,6.0,4.0,12.0,0.0
leandro-barbosa,Leandro Barbosa,P,24.0,6.0,1.0,19.0,2.0,28.0,2.0
mahmoud-abdul-rauf,Mahmoud Abdul-Rauf,P,4.0,1.0,0.0,4.0,2.0,3.0,0.0
mario-chalmers,Mario Chalmers,P,33.0,11.0,2.0,16.0,2.0,22.0,8.0
michael-beasley,Michael Beasley,P,34.0,2.0,4.0,17.0,7.0,39.0,4.0
mike-taylor,Mike Taylor,P,39.0,11.0,1.0,14.0,2.0,32.0,7.0
nick-young,Nick Young,P,11.0,8.0,0.0,0.0,1.0,11.0,1.0
nikoloz-tskitishvili,Nikoloz Tskitishvili,P,1.0,0.0,0.0,0.0,0.0,2.0,0.0
rashard-lewis,Rashard Lewis,P/WR,13.0,1.0,0.0,1.0,1.0,14.0,1.0
ricky-davis,Ricky Davis,P,6.0,2.0,0.0,4.0,0.0,12.0,3.0
royce-white,Royce White,P,17.0,0.0,0.0,14.0,2.0,26.0,1.0
ryan-hollins,Ryan Hollins,P,10.0,0.0,0.0,2.0,0.0,16.0,0.0
sek-henry,Sek Henry,P,23.0,10.0,0.0,6.0,1.0,21.0,4.0
tomislav-ivosev,Tomislav Ivosev,P,13.0,1.0,0.0,6.0,2.0,33.0,4.0
will-bynum,Will Bynum,P,0.0,0.0,0.0,1.0,0.0,6.0,1.0
will-mcdonald,Will McDonald,P,15.0,0.0,0.0,1.0,1.0,16.0,2.0
