player_id,player_name,positions,def_ff,def_fr,def_pd,def_sacks,def_tackles,fg_att,fg_made,gp,kr_no,kr_td,kr_yds,pass_att,pass_cmp,pass_int,pass_td,pass_yds,pat_att,pat_made,pr_no,pr_td,pr_yds,punt_no,punt_yds,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
aaron-groe-kleimann,Aaron Große Kleimann,DL/LB,1.0,,,1.5,13.0,,,6.0,,,,,,,,,,,,,,,,,,,1.0,,
aaron-rosemann,Aaron Rosemann,,,,,,1.0,,,8.0,,,,,,,,,,,,,,,,,,,,,
aaron-sola-sanjuan,Aaron Sola Sanjuan,,,,,,3.0,,,4.0,,,,,,,,,,,,,,,,,,,,,
abdelghafour-sedik,Abdelghafour Sedik,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
abdullah-kilany,Abdullah Kilany ,,,,,,4.0,,,6.0,,,,,,,,,,,,,,,,,,,,,
achim-bah,Achim Bah,WR,,,,,,,,12.0,,,,,,,,,,,,,,,,5.0,1.0,88.0,,,
adam-lary,Adam Lary,CB/LB,,,11.0,,30.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
adam-skakowski,Adam Skakowski,RB,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
adrian-gierczak,Adrian Gierczak,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
adrian-grodecki,Adrian Gródecki,WR,,,,,1.0,,,12.0,,,,,,,,,,,,,,,,24.0,1.0,214.0,1.0,,3.0
adrian-jimenez,Adrian Jimenez,RB,,,,,,,,12.0,,,,,,,,,,,,1.0,58.0,,,3.0,1.0,6.0,67.0,2.0,385.0
adrian-joseph-wentland,Adrian Joseph Wentland,LB,5.0,,4.0,3.0,160.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
adrian-kiernan,Adrian Kiernan,,,,,,5.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
adrian-lenartowicz,Adrian Lenartowicz,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,
adrian-novella,Adrian Novella,LB,,,,,9.0,,,13.0,,,,,,,,,,,,,,,,,,,,,
adrian-platzgummer,Adrian Platzgummer,WR,,,,,1.0,,,13.0,,,,,,,,,,,,,,,,43.0,5.0,495.0,1.0,,2.0
adria-botella-moreno,Adrià Botella Moreno,TE/WR,,,,,,,,14.0,,,,,,,,,,,,,,,,30.0,4.0,451.0,3.0,,21.0
ahmed-bilyal,Ahmed Bilyal,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
ahmet-cem-ugur,Ahmet Cem Uğur,LB,,,1.0,,32.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
ahmet-cem-inan,Ahmet Cem İnan,,,,,,,,,4.0,,,,2.0,1.0,1.0,,2.0,,,,,,,,,,,,,
alan-mark-sousa-posincovich,Alan Mark Sousa Posincovich,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,
albert-wiesigstrauch,Albert Wiesigstrauch,RB,,1.0,,,1.0,,,11.0,32.0,1.0,731.0,,,,,,,,,,,,,18.0,,153.0,21.0,,62.0
alberto-del-cerro,Alberto Del Cerro,LB,,,3.0,,11.0,,,13.0,,,,,,,,,,,,,,,,,,,,,
alejandro-fernandez-nieto,Alejandro Fernandez Nieto,LB,7.0,3.0,3.0,15.5,43.0,,,13.0,,,,,,,,,,,,,,,,,,,,,
aleksandar-milanovic,Aleksandar Milanovic,,,,,,1.0,,,13.0,,,,,,,,,,,,,,,,,,,,,
aleksander-powar,Aleksander Powar,DL,,,,1.0,3.0,,,9.0,,,,,,,,,,,,,,,,,,,,,
aleksandr-astahin,Aleksandr Astahin,LB,,,2.0,,13.0,,,14.0,,,,,,,,,,,,,,,,,,,,,
alex-ferrari,Alex Ferrari ,LB,,,3.0,1.0,46.0,,,13.0,,,,,,,,,,,,,,,,,,,,,
alexander-boes,Alexander Boes,DT/LB,,,,,4.0,,,10.0,,,,,,,,,,,,,,,,,,,,,
alexander-frisch,Alexander Frisch,QB,,,,,1.0,,,24.0,,,,74.0,32.0,2.0,3.0,285.0,,,,,,,,,,,48.0,1.0,228.0
alexander-sobotta,Alexander Sobotta,LB,,,,,16.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
alexander-stadahl,Alexander Stadahl,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,1.0,,
alexander-watholowitsch,Alexander Watholowitsch,LB,,1.0,2.0,,41.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
alexandre-gonzalez-posito,Alexandre Gonzalez Posito,LB,1.0,,,2.0,91.0,,,13.0,,,,,,,,,,,,,,,,,,,,,
ali-gundogdu,Ali Gündoğdu,LB,,,,0.5,5.0,,,7.0,,,,,,,,,,,,,,,,,,,,,
alihan-agackesen,Alihan Ağaçkesen,WR,,,,,1.0,,,5.0,1.0,,19.0,,,,,,,,,,,,,6.0,1.0,138.0,1.0,,3.0
alkaly-cisse,Alkaly Cisse,LB,,,,,9.0,,,3.0,,,,,,,,,,,,,,,,,,,,,
alp-burak-camlier,Alp Burak Çamlier,,,,,,,,,9.0,4.0,,81.0,,,,,,,,,,,,,,,,,,
alpay-burak-tatar,Alpay Burak Tatar,,,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,
alper-kurtulus,Alper Kurtuluş,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,
alper-pekozer,Alper Peközer,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,
alperen-kucuk,Alperen Küçük,LB,,1.0,1.0,,7.0,,,10.0,,,,,,,,,,,,,,,,,,,,,
alperen-unlu,Alperen Ünlü,LB,,,1.0,,16.0,,,10.0,,,,,,,,,,,,,,,,,,,,,
ambroise-mati,Ambroise Mati,LB,2.0,1.0,1.0,5.0,51.0,,,13.0,,,,,,,,,,,1.0,,30.0,,,,,,,,
amir-kilani,Amir Kilani,DB/LB,,,3.0,,16.0,,,4.0,4.0,,66.0,,,,,,,,5.0,,65.0,,,,,,,,
andre-rene-dickmeis,Andre Rene Dickmeis,,,,,,,,,9.0,11.0,,210.0,,,,,,,,,,,,,,,,,,
andre-rieckenberg,Andre Rieckenberg,LB,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
andre-whyte,Andre Whyte,LB,,,,,14.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
andy-vera,Andy Vera,LB,1.0,,4.0,,25.0,,,13.0,,,,,,,,,,,,,,,,,,,,,
anthony-dable-wolf,Anthony Dablé-Wolf,WR,,,,,3.0,,,12.0,8.0,,162.0,,,,,,,,2.0,,24.0,,,54.0,3.0,653.0,8.0,,46.0
anthony-wesley-baer,Anthony Wesley Baer,,,,,,1.0,,,5.0,,,,,,,,,,,,,,,,,,,,,
anthony-williams,Anthony Williams,DB/LB,,1.0,,,13.0,,,10.0,,,,,,,,,,,,,,,,,,,,,
anton-doroshev,Anton Doroshev,WR,,,,,,,,12.0,,,,,,,,,,,,,,,,3.0,,28.0,7.0,,16.0
anton-glusancov,Anton Glusancov,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,
anton-jallai,Anton Jallai,WR,,,,,,,,10.0,,,,,,,,,,,,,,,,13.0,3.0,208.0,1.0,,
anton-wegan,Anton Wegan,RB,,,,,3.0,,,14.0,,,,,,,,,,,,,,,,13.0,2.0,161.0,137.0,6.0,817.0
antoni-idziak,Antoni Idziak,LB,,,,1.5,33.0,,,11.0,,,,,,,,,,,,,,,,1.0,1.0,56.0,,,
antoni-monton,Antoni Montón,RB,,,,,2.0,,,13.0,,,,,,,,,,,,,,,,36.0,3.0,346.0,65.0,1.0,159.0
antony-rodrigues,Antony Rodrigues,LB,,2.0,9.0,2.0,84.0,,,13.0,,,,,,,,,,,1.0,,3.0,,,,,,,,
arkady-sebastiaan-christina-naus,Arkady Sebastiaan Christina Naus,,,,3.0,1.0,8.0,,,7.0,,,,,,,,,,,,,,,,,,,,,
arnau-casamor,Arnau Casamor,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
arne-gehrt,Arne Gehrt,S/LB,,,,,13.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
arno-schwarz,Arno Schwarz,LB,,,2.0,,8.0,10.0,5.0,12.0,,,,,,,,,32.0,25.0,,,,,,,,,,,
arnoud-holierhoek,Arnoud Holierhoek,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,
aslan-zetterberg,Aslan Zetterberg,DL/LB,1.0,2.0,2.0,10.5,48.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
ata-han-atlgan,Ata Han Atılgan,LB,,,,,6.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
atilla-isk,Atilla Işık,LB,,1.0,9.0,,40.0,,,12.0,,,,,,,,,,,1.0,,,,,,,,,,
ayberk-kursunlu,Ayberk Kurşunlu,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
aykut-aslan,Aykut Aslan,LB,,1.0,1.0,,9.0,,,3.0,,,,,,,,,,,,,,,,,,,,,
aytac-mercan,Aytaç Mercan,,,,,,,,,5.0,1.0,,16.0,,,,,,,,1.0,,18.0,,,,,,,,
bahadr-akbas,Bahadır Akbaş,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,
bahadr-aslan,Bahadır Aslan,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,
bais-kouanda,Bais Kouanda,WR,,,,,1.0,,,14.0,,,,,,,,,,,,,,,,2.0,,10.0,2.0,,6.0
baran-celik,Baran Çelik,LB,1.0,,,,5.0,,,4.0,,,,,,,,,,,,,,,,,,,,,
barry-maruschke,Barry Maruschke,LB,,,5.0,,23.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
bartolome-flaquer,Bartolome Flaquer,,,,,,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,
bartosz-dziedzic,Bartosz Dziedzic,WR,,1.0,,,,,,12.0,,,,28.0,16.0,2.0,1.0,127.0,,,,,,,,20.0,,144.0,5.0,,6.0
bartosz-wozniak,Bartosz Woźniak,LB,,,,,6.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
basil-weber,Basil Weber,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,
ben-baierl,Ben Baierl,DL/LB,,2.0,,2.0,38.0,,,12.0,,,,,,,,,,,,,,,,1.0,,26.0,,,
ben-wenzler,Ben Wenzler,CB/LB,1.0,,5.0,,47.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
benedikt-lang,Benedikt Lang,WR,,,,,,,,9.0,,,,,,,,,,,,,,,,6.0,,28.0,,,
benhur-ayra,Benhur Ayra,,,,,,1.0,,,8.0,,,,,,,,,,,,,,,,,,,,,
benjamin-barnes,Benjamin Barnes,DB/LB,,,2.0,,21.0,,,10.0,14.0,,306.0,,,,,,,,,,,2.0,53.0,9.0,1.0,267.0,2.0,,3.0
benjamin-bierbaumer,Benjamin Bierbaumer,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,
benjamin-cerimagic,Benjamin Cerimagic,LB,,,,1.0,7.0,,,9.0,,,,,,,,,,,,,,,,,,,,,
benjamin-mau,Benjamin Mau,WR,,,,,,,,11.0,,,,,,,,,,,,,,,,11.0,1.0,110.0,,,
benjamin-plu,Benjamin Plu,WR,,,,,1.0,,,13.0,,,,,,,,,,,,,,,,41.0,5.0,567.0,,,
benjamin-rab,Benjamin Rab,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,
benjamin-straight,Benjamin Straight,S/LB,,,6.0,,61.0,,,14.0,,,,,,,,,,,,,,51.0,2025.0,,,,1.0,,2.0
berend-grube,Berend Grube,DL/LB,1.0,1.0,1.0,1.0,16.0,,,10.0,,,,,,,,,,,,,,,,,,,,,
berkan-zaimoglu,Berkan Zaimoğlu,LB,,,,1.0,14.0,,,10.0,,,,,,,,,,,,,,,,,,,,,
blake-nelson,Blake Nelson,LB,1.0,,1.0,5.0,21.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
brian-tom-lohse,Brian-Tom Lohse,LB,1.0,1.0,,1.0,16.0,,,13.0,,,,,,,,,,,,,,,,,,,,,
brice-tchouadje,Brice Tchouadje,LB,,,,3.0,21.0,,,10.0,,,,,,,,,,,,,,,,,,,,,
