player_id,player_name,positions,assists,blocks,def_rebounds,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,games_played,minutes,off_rebounds,points,rebounds,steals,turnovers
aaliyah-edwards,Aaliyah Edwards,F,1.8,0.5,8.6,25.0,0.3,0.1,57.0,14.9,8.5,3.3,67.6,2.8,1.9,12.0,17.7,3.8,20.4,12.4,0.8,3.1
aari-mcdonald,Aari McDonald,G,,,,,1.0,,,4.0,,2.0,33.3,3.0,1.0,1.0,6.0,1.0,2.0,1.0,,
alanna-smith,Alanna Smith,F,0.9,0.8,4.0,30.8,1.9,0.6,55.8,6.1,3.4,2.2,40.0,0.7,0.3,14.0,9.0,1.2,7.9,5.2,0.5,1.3
aliyah-boston,Aliyah Boston,F,2.5,2.1,7.9,33.3,3.2,1.1,55.0,14.3,7.9,2.9,81.0,1.5,1.2,14.0,17.6,1.8,18.9,9.7,0.9,1.3
allisha-gray,Allisha Gray,G,2.8,0.6,3.7,39.5,6.6,2.6,49.0,15.4,7.5,1.8,87.5,2.5,2.2,13.0,15.7,1.0,21.8,4.7,1.0,1.5
alyssa-thomas,Alyssa Thomas,F,3.4,0.2,6.6,,,,62.7,7.9,4.9,1.9,60.0,1.1,0.6,14.0,14.6,1.3,11.0,7.9,0.8,1.6
angel-reese,Angel Reese,F,2.0,1.0,6.7,100.0,0.3,0.3,53.3,10.0,5.3,4.0,50.0,3.3,1.7,3.0,14.0,3.7,13.0,10.3,0.3,1.7
arike-ogunbowale,Arike Ogunbowale,W,2.4,0.1,2.4,35.1,5.5,1.9,41.4,12.9,5.4,2.3,81.3,1.1,0.9,14.0,13.1,0.8,14.4,3.1,1.4,1.7
aziaha-james,Aziaha James,G,5.0,1.0,3.7,34.6,8.7,3.0,44.9,16.3,7.3,1.3,33.3,1.0,0.3,3.0,17.3,0.7,18.0,4.3,1.3,1.3
azura-stevens,Azurá Stevens,F,1.5,0.3,5.0,35.1,3.7,1.3,41.2,9.7,4.0,1.5,100.0,0.9,0.9,10.0,10.6,1.5,10.8,6.5,0.3,0.6
breanna-stewart,Breanna Stewart,W,3.0,0.6,7.8,28.3,3.8,1.1,50.5,15.9,8.0,1.9,87.2,2.8,2.4,14.0,17.3,1.4,21.4,9.1,0.9,1.6
brian-cameron,Brian Cameron,F/P,0.9,1.8,4.8,28.6,2.7,0.8,50.0,7.8,3.9,3.2,65.2,1.8,1.2,13.0,11.8,1.4,10.9,6.2,0.3,1.7
brittney-griner,Brittney Griner,F,0.2,1.0,3.2,,0.1,,63.0,5.6,3.5,1.4,82.4,1.3,1.1,13.0,8.1,1.0,9.0,4.2,0.2,1.3
brittney-sykes,Brittney Sykes,W,1.9,0.4,4.2,40.0,5.4,2.1,49.5,15.3,7.6,3.1,79.3,2.1,1.6,14.0,16.4,0.5,20.3,4.7,1.6,1.9
chelsea-gray,Chelsea Gray,G,6.1,0.6,4.9,48.0,7.3,3.5,50.8,17.0,8.6,2.4,92.3,1.9,1.7,14.0,21.5,0.7,24.2,5.6,1.3,2.8
courtney-williams,Courtney Williams,G,4.2,0.1,4.4,31.6,1.4,0.4,41.7,8.6,3.6,2.3,50.0,0.3,0.1,14.0,12.3,0.5,7.9,4.9,0.6,1.3
dana-evans,Dana Evans,G,,,1.0,20.0,5.0,1.0,28.6,7.0,2.0,1.0,,,,1.0,7.0,1.0,5.0,2.0,,1.0
dearica-hamby,Dearica Hamby,F,1.1,0.1,6.5,15.0,1.4,0.2,54.7,12.8,7.0,3.1,59.5,2.6,1.6,14.0,15.1,1.6,17.1,8.1,1.2,1.2
dominique-malonga,Dominique Malonga,F,1.0,0.9,7.1,31.6,1.4,0.4,55.1,12.7,7.0,2.6,80.0,1.4,1.1,14.0,14.1,2.4,16.4,9.4,0.4,1.9
erica-wheeler,Erica Wheeler,G,2.6,,2.5,40.5,3.0,1.2,44.7,8.1,3.6,2.5,83.3,0.4,0.4,14.0,11.3,0.5,9.1,3.0,0.7,1.1
ezi-magbegor,Ezi Magbegor,F,1.3,0.8,4.5,20.0,1.4,0.3,52.1,6.6,3.5,2.5,75.0,0.4,0.3,11.0,10.1,0.9,7.5,5.5,0.6,1.4
haley-jones,Haley Jones,,1.5,0.5,2.3,33.3,0.8,0.3,52.4,5.3,2.8,1.5,,0.3,,4.0,8.0,0.5,5.8,2.8,,1.3
jackie-young,Jackie Young,G,3.4,0.2,2.9,33.3,5.1,1.7,44.9,13.4,6.0,2.1,91.7,1.7,1.6,14.0,15.6,0.9,16.6,3.8,0.6,1.6
jordin-canada,Jordin Canada,G,2.9,0.3,3.6,27.6,2.4,0.7,33.7,8.2,2.8,2.1,76.9,1.1,0.8,12.0,9.4,0.3,7.8,3.9,0.9,0.8
kahleah-copper,Kahleah Copper,W,0.8,0.3,3.6,38.6,5.2,2.0,48.5,15.4,7.5,3.7,70.6,1.5,1.1,11.0,17.0,0.7,19.0,4.4,0.1,1.1
kate-martin,Kate Martin,W,1.2,0.2,2.5,16.3,3.3,0.5,36.0,6.6,2.4,1.9,50.0,0.6,0.3,13.0,10.4,0.7,6.0,3.2,0.3,0.9
kelsey-mitchell,Kelsey Mitchell,G,2.3,0.1,2.4,38.7,5.4,2.1,49.3,14.9,7.4,2.6,53.3,1.1,0.6,14.0,18.1,0.5,17.8,2.9,0.9,1.1
kelsey-plum,Kelsey Plum,G,5.0,0.1,4.0,40.2,6.9,2.8,49.6,17.4,8.6,3.1,91.7,1.7,1.6,14.0,18.6,0.9,22.6,4.9,0.6,1.8
kiana-williams,Kiana Williams,,,,4.0,33.3,6.0,2.0,28.6,7.0,2.0,2.0,,,,1.0,8.0,,6.0,4.0,,1.0
kiki-iriafen,Kiki Iriafen,F,0.8,0.1,3.3,14.3,1.0,0.1,47.5,9.9,4.7,2.6,54.8,2.2,1.2,14.0,10.5,2.1,11.9,5.4,0.5,1.4
lexie-hull,Lexie Hull,W,0.5,0.2,1.8,26.7,2.3,0.6,32.3,5.0,1.6,2.1,100.0,0.3,0.3,13.0,10.0,1.2,4.5,3.1,1.0,1.0
li-yueru,Li Yueru,F,0.2,0.2,1.8,15.4,1.0,0.2,44.4,3.5,1.5,1.2,100.0,0.5,0.5,13.0,5.2,0.8,4.3,2.6,0.2,0.3
maddy-siegrist,Maddy Siegrist,W,0.2,,2.1,33.3,2.5,0.8,43.6,7.8,3.4,1.8,37.5,0.6,0.2,13.0,8.8,1.1,8.1,3.2,0.5,0.7
marina-mabrey,Marina Mabrey,W,4.8,0.2,5.7,33.3,11.1,3.7,43.4,21.6,9.4,3.5,81.5,2.1,1.7,13.0,19.7,1.1,25.3,6.8,0.9,3.2
