player_id,player_name,positions,def_ff,def_int,def_pd,def_sacks,def_tackles,fg_att,fg_made,gp,kr_no,kr_td,kr_yds,pass_att,pass_cmp,pass_int,pass_td,pass_yds,pat_att,pat_made,pr_no,pr_td,pr_yds,punt_no,punt_yds,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
a-aguirre,A. Aguirre,QB,,,,,2.0,,,2.0,,,,7.0,2.0,,,,,,,,,,,,,,3.0,,
a-antoš,A. Antoš,DE,1.0,,,1.0,7.0,,,5.0,,,,,,,,,,,,,,,,,,,,,
a-ates,A. Ates,LB,,,3.0,,50.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
a-barletta,A. Barletta,CB,,,1.0,,2.0,,,5.0,,,,,,,,,,,,,,,,,,,4.0,,29.0
a-bjerre,A. Bjerre,QB,,,,,,,,9.0,,,,3.0,2.0,,,23.0,,,,,,,,,,,3.0,,
a-bogdanovic,A. Bogdanovic,RB,,,,,,,,12.0,,,,,,,,,,,,,,,,6.0,,25.0,75.0,,200.0
a-borkovic,A. Borkovic,LB,,1.0,8.0,,130.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
a-boudou,A. Boudou,LB,,,1.0,,6.0,,,6.0,,,,,,,,,,,,,,,,,,,,,
a-bouembe,A. Bouembe,RB,,,,,,,,12.0,,,,,,,,,,,,,,,,2.0,,9.0,6.0,,15.0
a-bowen-morales,A. Bowen Morales,DT,,1.0,4.0,,21.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
a-cruickshank,A. Cruickshank,WR,,,,,,,,12.0,18.0,,488.0,,,,,,,,11.0,,110.0,,,122.0,20.0,1729.0,13.0,1.0,122.0
a-dennis,A. Dennis,CB,,4.0,11.0,,29.0,,,11.0,4.0,,112.0,,,,,,,,12.0,,193.0,,,,,,,,
a-donkor,A. Donkor,LB,,,1.0,4.0,22.0,,,10.0,,,,,,,,,,,,,,,,,,,,,
a-drhlík,A. Drhlík,LB,,1.0,4.0,,15.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
a-garcia-muñoz,A. Garcia Muñoz,WR,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,
a-husarevic,A. Husarevic,DT,,,,1.0,4.0,,,3.0,,,,,,,,,,,,,,,,,,,,,
a-hárs,A. Hárs,LB,,,,1.0,4.0,,,3.0,,,,,,,,,,,,,,,,,,,,,
a-kennedy-chaanhing,A. Kennedy Chaanhing,RB,,,,,,,,9.0,,,,,,,,,,,,,,,,6.0,,41.0,60.0,4.0,358.0
a-kingdom,A. Kingdom,LB,1.0,2.0,3.0,2.5,85.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
a-kreß,A. Kreß,DT,,,,4.0,15.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
a-kvapil,A. Kvapil,CB,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
