player_id,player_name,positions,attempts,avg,award_mvp,long,td,yards
atsumu-endō,Atsumu Endō,,49.0,3.49,,15.0,1.0,171.0
ben-von-jagow,Ben von Jagow,,19.0,7.74,,42.0,1.0,147.0
dereck-akira-williams,Dereck Akira Williams,,59.0,4.54,,80.0,2.0,268.0
devin-phelps,Devin Phelps,WR,33.0,11.64,,33.0,2.0,384.0
haruto-kamata,Haruto Kamata,,10.0,11.8,,23.0,14.0,118.0
hiromasa-umeno,Hiromasa Umeno,,29.0,3.66,,16.0,14.0,106.0
hiroshi-ōmichi,Hiroshi Ōmichi,,13.0,8.0,,31.0,,104.0
ikuha-hiramatsu,Ikuha Hiramatsu,,37.0,5.68,,60.0,,210.0
jun-haratani,Jun Haratani,,43.0,5.02,,59.0,1.0,216.0
jō-kondō,Jō Kondō,,14.0,10.86,,25.0,,152.0
kazuki-kimura,Kazuki Kimura,,16.0,11.94,,30.0,2.0,191.0
kazuma-andō,Kazuma Andō,,80.0,63.8,,535.0,69.0,51.0
keisuke-makita,Keisuke Makita,,23.0,7.83,,26.0,2.0,180.0
kengo-sawada,Kengo Sawada,,92.0,55.4,,541.0,57.0,51.0
kensuke-tagashira,Kensuke Tagashira,,29.0,7.34,,37.0,2.0,213.0
kento-shibata,Kento Shibata,,27.0,4.04,,23.0,2.0,109.0
kimiaki-maeda,Kimiaki Maeda,,26.0,6.81,,47.0,2.0,177.0
kōhei-iwasa,Kōhei Iwasa,,39.0,3.46,,32.0,,135.0
kōhei-kusano,Kōhei Kusano,,34.0,5.38,,17.0,1.0,183.0
masaki-kawanami,Masaki Kawanami,,16.0,10.19,,36.0,1.0,163.0
masayuki-kobayashi,Masayuki Kobayashi,,10.0,11.6,,57.0,1.0,116.0
minjae-akimoto,Minjae Akimoto,,39.0,6.05,,39.0,2.0,236.0
nobutake-yamada,Nobutake Yamada,,10.0,18.7,,54.0,2.0,187.0
riku-kuwahara,Riku Kuwahara,,20.0,9.65,,24.0,2.0,193.0
risuke-kuwata,Risuke Kuwata,,14.0,21.79,,77.0,2.0,305.0
ryōta-ōsako,Ryōta Ōsako,,45.0,3.18,,17.0,1.0,143.0
ryōtarō-kawaguchi,Ryōtarō Kawaguchi,,16.0,10.94,,23.0,,175.0
ryūki-itō,Ryūki Itō,,43.0,4.53,,55.0,,195.0
ryūki-suzuki,Ryūki Suzuki,,22.0,8.45,,25.0,2.0,186.0
samajie-grant,Samajie Grant,WR,,,1.0,,,
shō-kitamura,Shō Kitamura,,36.0,4.83,,19.0,2.0,174.0
shō-yoshizawa,Shō Yoshizawa,,88.0,5.56,,54.0,1.0,489.0
shōma-yoshikawa,Shōma Yoshikawa,,25.0,4.76,,38.0,1.0,119.0
shōta-nonaka,Shōta Nonaka,,9.0,14.0,,33.0,1.0,126.0
shūhei-sendai,Shūhei Sendai,,28.0,4.82,,28.0,1.0,135.0
taisei-ueki,Taisei Ueki,,34.0,3.53,,19.0,2.0,120.0
takahiro-nozaki,Takahiro Nozaki,,15.0,13.6,,46.0,2.0,204.0
takahiro-ueda,Takahiro Ueda,,23.0,4.83,,42.0,1.0,111.0
takashi-miyako,Takashi Miyako,,13.0,8.54,,32.0,1.0,111.0
takato-itō,Takato Itō,,28.0,13.5,,43.0,2.0,378.0
takehiro-mawatari,Takehiro Mawatari,,19.0,10.05,,31.0,1.0,191.0
takurō-abe,Takurō Abe,,33.0,10.21,,21.0,2.0,337.0
tatsurō-kimata,Tatsurō Kimata,,11.0,10.91,,27.0,,120.0
tay-cunningham,Tay Cunningham,,38.0,17.42,1.0,81.0,7.0,662.0
tomohiro-iwasa,Tomohiro Iwasa,,11.0,11.64,,24.0,1.0,128.0
yoshihito-ōmi,Yoshihito Ōmi,,18.0,18.44,,69.0,1.0,332.0
yūki-iwanaga,Yūki Iwanaga,,16.0,8.56,,18.0,1.0,137.0
yūshi-ishihara,Yūshi Ishihara,,13.0,10.31,,22.0,,134.0
yūto-asayama,Yūto Asayama,,12.0,7.83,,16.0,,94.0
