player_id,player_name,positions,attempts,avg,award_mvp,long,td,yards
asaki-mochizuki,Asaki Mochizuki,,40.0,5.8,,26.0,2.0,231.0
colby-cameron,Colby Cameron,,,,1.0,,,
elecom-kobe-finies,Elecom Kobe Finies,,,,1.0,,,
fujitsu-frontiers,Fujitsu Frontiers,,,,1.0,,,
fumitaka-obana,Fumitaka Obana,,71.0,4.1,,28.0,5.0,293.0
gino-gordon,Gino Gordon,,41.0,9.2,1.0,94.0,3.0,378.0
hidehito-tokushima,Hidehito Tokushima,,68.0,7.9,,74.0,6.0,540.0
hiroki-matsubara,Hiroki Matsubara,,23.0,8.5,,23.0,2.0,195.0
hiroshi-yamagami,Hiroshi Yamagami,,57.0,4.2,,26.0,2.0,241.0
hurricanes-x-league,Hurricanes (X-League),,,,1.0,,,
inoke-funaki,Inoke Funaki,,93.0,54.8,,545.0,45.0,51.0
john-stanton,John Stanton,,32.0,13.4,,42.0,7.0,429.0
katsuya-nagakawa,Katsuya Nagakawa,,5.0,14.0,,39.0,1.0,70.0
kei-gotō,Kei Gotō,,48.0,8.3,,61.0,6.0,396.0
keita-takanohashi,Keita Takanohashi,,52.0,5.8,,40.0,7.0,303.0
kenji-tsunekane,Kenji Tsunekane,,26.0,12.1,,45.0,1.0,314.0
kōhei-kajikawa,Kōhei Kajikawa,,6.0,11.0,,15.0,,66.0
kōji-honda,Kōji Honda,,23.0,23.1,,86.0,7.0,531.0
masahiro-matsuda,Masahiro Matsuda,,22.0,10.8,,38.0,3.0,237.0
michihiro-ogawa,Michihiro Ogawa,,23.0,12.0,,41.0,4.0,277.0
musashi-yoshida,Musashi Yoshida,,20.0,9.9,,33.0,4.0,197.0
naoki-maeda,Naoki Maeda,,20.0,15.5,,56.0,2.0,309.0
naoki-matsuo,Naoki Matsuo,,32.0,6.3,,29.0,1.0,200.0
noriaki-kinoshita,Noriaki Kinoshita,,25.0,17.8,,51.0,6.0,445.0
ryō-takagi,Ryō Takagi,,64.0,6.7,,45.0,5.0,430.0
ryōhei-kaneshiro,Ryōhei Kaneshiro,,60.0,5.2,,46.0,2.0,314.0
ryōma-hagiyama,Ryōma Hagiyama,,23.0,13.6,,35.0,3.0,312.0
ryōsuke-ogata,Ryōsuke Ogata,,37.0,5.9,,41.0,1.0,217.0
satoru-mori,Satoru Mori,,22.0,7.8,,27.0,1.0,172.0
sei-kyō,Sei Kyō,,9.0,11.6,,29.0,3.0,104.0
shun-yokota,Shun Yokota,,48.0,8.4,,81.0,6.0,403.0
shunichi-iwata,Shunichi Iwata,,59.0,5.0,,25.0,7.0,296.0
shunsuke-wada,Shunsuke Wada,,23.0,9.9,,33.0,3.0,228.0
takashi-kurihara,Takashi Kurihara,,27.0,17.7,,48.0,3.0,477.0
takashi-miyako,Takashi Miyako,,90.0,7.2,,83.0,7.0,648.0
takeshi-akiyama,Takeshi Akiyama,,22.0,14.1,,65.0,2.0,309.0
takuto-hara,Takuto Hara,,26.0,11.4,,98.0,5.0,296.0
tatsuya-kureta,Tatsuya Kureta,,25.0,11.7,,61.0,2.0,293.0
teruaki-clark-nakamura,Teruaki Clark Nakamura,,39.0,19.1,,84.0,1.0,746.0
tomohiro-suzuki,Tomohiro Suzuki,,67.0,3.8,,48.0,2.0,256.0
tomokazu-sueyoshi,Tomokazu Sueyoshi,,72.0,6.7,,43.0,5.0,485.0
yasuhiro-miyamoto,Yasuhiro Miyamoto,,21.0,17.0,,50.0,4.0,356.0
yasuhiro-suzuki,Yasuhiro Suzuki,,50.0,7.1,,93.0,11.0,356.0
yōhei-hosono,Yōhei Hosono,,29.0,7.4,,35.0,7.0,215.0
yūhei-yamaguchi,Yūhei Yamaguchi,,54.0,6.0,,20.0,3.0,324.0
yūki-shirakami,Yūki Shirakami,,40.0,8.3,,72.0,3.0,331.0
yūsuke-sumi,Yūsuke Sumi,,22.0,9.6,,70.0,3.0,210.0
yūta-hayashi,Yūta Hayashi,,25.0,16.6,,40.0,,414.0
