player_id,player_name,positions,1pt_conversion,3pt_pass,blocked_punt,conversions,dst_touchdown,fg_made,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,missed,pass_td,passing_tds,passing_yards,pat_made,points_against,receiving_tds,receiving_yards,receptions,recv_td,rush_td,rushing_tds,rushing_yards,sacks,safety
aj-mccarron,AJ McCarron,QB,3.0,,,7.0,,,,,4.0,,1.0,,,16.0,1761.0,,,,,,,,1.0,92.0,,
adrian-martinez,Adrian Martinez,QB,4.0,,,6.0,,,,,4.0,,1.0,,,17.0,2010.0,,,,,,,,5.0,589.0,,
aj-davis,Aj Davis,RB,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
albert-curran-iv,Albert Curran IV,DB,,,,,,,,,,,,,,,,,,,,,3.0,2.0,,,,
alex-ellis,Alex Ellis,TE,,,,3.0,,,,,,,,,,,,,,2.0,240.0,21.0,,,,,,
alex-mollette,Alex Mollette,C,,,,,,,,,,,,,,,,,,1.0,40.0,1.0,,,,,,
alexander-kekua,Alexander Kekua,OL,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
alexis-rosario,Alexis Rosario,RB/WR,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
alize-mack,Alize Mack,TE,,,,,,,,,,,,,,,,,,2.0,58.0,10.0,,,,,,
amari-rodgers,Amari Rodgers,WR,,,,2.0,,,,,,,,,,,,,,3.0,206.0,17.0,,,0.0,21.0,,
andre-szmyt,Andre Szmyt,K,,,,,,,798.0,,,,,3.0,,,,,,,,,,,,,,
anthony-butler,Anthony Butler,ILB/LB,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
anthony-jacobsen,Anthony Jacobsen,LB,,,,,,,,,,,,,,,,,,,,,4.0,,,,,
anthony-lamar-dixon,Anthony Lamar Dixon,DB,,,,,,,,,,,,,,,,,,,,,3.0,,,,,
anthony-mcfarland-jr,Anthony McFarland Jr,RB,,,,,,,,,,,,,,,,,,3.0,249.0,22.0,,,2.0,339.0,,
anthony-ratliff-williams,Anthony Ratliff-Williams,WR,,,,,,,,,,,,,,,,,,0.0,119.0,16.0,,,,,,
asi-tupua,Asi Tupua,DL,,,,,,5.0,,,,,,,,,,,,,,,,,,,,
austin-allen,Austin Allen,TE/RB,,,,,,,,,,,,,,,,,,0.0,19.0,2.0,,,,,,
away-jefferson,Away Jefferson,DB,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
battlehawks-dst,Battlehawks DST,DST,1.0,,4.0,,,,,3.0,,9.0,,,,,,,216.0,,,,,,,,19.0,
battlehawks-k,Battlehawks K,K,,,,,,,798.0,,,,,3.0,,,,,,,,,,,,,,
battlehawks-qb,Battlehawks QB,QB,3.0,,,9.0,,,,,7.0,,1.0,,,15.0,1866.0,,,,,,,,4.0,257.0,,
bemnet-morgan,Bemnet Morgan,DB,,,,,,,,,,,,,,,,,,,,,4.0,,,,,
binjimen-victor,Binjimen Victor,WR,,,,,,,,,,,,,,,,,,1.0,159.0,13.0,,,,,,
blake-jackson,Blake Jackson,WR,,,,,,,,,,,1.0,,,,,,,0.0,20.0,7.0,,,0.0,1.0,,
braedon-bowman,Braedon Bowman,TE/WR,,,,1.0,,,,,,,,,,,,,,2.0,65.0,8.0,,,0.0,4.0,,
brahmas-dst,Brahmas DST,DST,,,1.0,,,,,7.0,,4.0,,,,,,,193.0,,,,,,,,36.0,
brahmas-k,Brahmas K,K,,,,,,,500.0,,,,,6.0,,,,,,,,,,,,,,
brahmas-qb,Brahmas QB,QB,3.0,1.0,,1.0,,,,,9.0,,4.0,,,14.0,2381.0,,,,,,,,1.0,117.0,,
brandon-munoz,Brandon Munoz,DL,,,,,,,,,,,,,17.0,,,1.0,,,,,,1.0,,,,
brandon-sheperd,Brandon Sheperd,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
brandon-smith-2,Brandon Smith,WR,,,,,,,,,,,,,,,,,,2.0,208.0,18.0,,,,,,
brian-lewerke,Brian Lewerke,QB,1.0,,,,,,,,0.0,,,,,1.0,119.0,,,,,,,,1.0,13.0,,
briley-moore-mckinney,Briley Moore-Mckinney,TE,,,,,,,,,,,,,,,12.0,,,1.0,60.0,9.0,,,,,,
bryce-holliday,Bryce Holliday,QB,,,,,,,,,,,,,,,,,,,,,3.0,,,,,
bryce-perkins,Bryce Perkins,QB,2.0,,,,,,,,1.0,,,,,2.0,343.0,,,,,,,,2.0,181.0,,
brycen-alleyne,Brycen Alleyne,RB,,,,,,,,,,,,,,,,,,0.0,-3.0,2.0,,,0.0,16.0,,
byron-cooper,Byron Cooper,LB,,,,,,,,,,,,,,,,,,,,,5.0,,,,,
cj-marable,CJ Marable,RB,,,,,,,,,,,1.0,,,,,,,1.0,142.0,20.0,,,4.0,416.0,,
caleb-lowery-refused-to-report,Caleb Lowery (Refused to Report),WR,,,,,,10.0,,,,,,,,,,,,,,,,,,,,
caleb-vander-esch,Caleb Vander Esch,WR,,,,1.0,,,,,,,,,,,,,,0.0,54.0,4.0,,,,,,
calvin-turner,Calvin Turner,WR/RB,,,,,,,,,,,,,,,,,,0.0,85.0,8.0,,,,,,
camron-harris,Cam\'Ron Harris,RB,,,,,,,,,,,1.0,,,,,,,0.0,53.0,7.0,,,4.0,253.0,,
cameron-hunt-ii,Cameron Hunt II,LB,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
carl-robinson-iii,Carl Robinson III,QB,,,,,,,,,,,,,2.0,,,1.0,,,,,,1.0,,,,
carlton-watkins,Carlton Watkins,DB,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
case-cookus,Case Cookus,QB,1.0,,,2.0,,,,,4.0,,5.0,,,7.0,989.0,,,,,,,,0.0,86.0,,
charles-baker,Charles Baker,OL,,,,,,,,,,,,,2.0,,,1.0,,,,,,1.0,,,,
chase-garbers,Chase Garbers,QB,1.0,,,1.0,,,,,3.0,,1.0,,,8.0,1079.0,,,,,,,,1.0,60.0,,
chris-blewitt,Chris Blewitt,K,,,,,,,375.0,,,,,1.0,,,,,,,,,,,,,,
chris-perry,Chris Perry,DB,,,,,,,,,,,,,,,,,,,,,3.0,,,,,
chris-rowland,Chris Rowland,WR,,,,,1.0,,,,,,1.0,,,,,,,3.0,262.0,20.0,,,0.0,29.0,,
cody-latimer,Cody Latimer,TE,,1.0,,,,,,,,,,,,,,,,1.0,391.0,36.0,,,,,,
cole-hikutini,Cole Hikutini,TE,3.0,,,,,,,,,,,,,,,,,1.0,219.0,15.0,,,,,,
cole-lundy,Cole Lundy,K,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
cory-henry,Cory Henry,DL,,,,,,,,,,,,,,,,,,,,,5.0,,,,,
cyril-grayson,Cyril Grayson,WR,,,,,,,,,,,,,,,,,,0.0,192.0,18.0,,,0.0,3.0,,
cyrus-habibi-likio,Cyrus Habibi-Likio,RB,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,0.0,2.0,,
dnerius-antoine,D'Nerius Antoine,WR,,,,,,,,,,,,,8.0,,,1.0,,,,,,1.0,,,,
dae-dae-hunter,Dae Dae Hunter,RB,,,,,,,,,,,1.0,,,,,,,0.0,15.0,2.0,,,1.0,74.0,,
daewood-davis,Daewood Davis,WR,1.0,,,,,,,,,,1.0,,,,,,,5.0,446.0,41.0,,,0.0,17.0,,
damion-barber,Damion Barber,DL,,,,,,,,,,,,,,,,,,,,,3.0,,,,,
damond-powell,Damond Powell,WR,,,,,,14.0,,,,,,,,,,,,,,,,,,,,
danny-etling,Danny Etling,QB,1.0,,,,,,,,5.0,,2.0,,,4.0,969.0,,,,,,,,2.0,146.0,,
darius-hagans,Darius Hagans,RB,,,,,,,,,,,,,,,,,,0.0,32.0,6.0,,,1.0,173.0,,
darius-victor,Darius Victor,RB,,,,,,,,,,,1.0,,,,,,,0.0,139.0,27.0,,,4.0,391.0,,
darrius-shepherd,Darrius Shepherd,WR,,,,1.0,,,,,,,,,,,,,,0.0,291.0,32.0,,,0.0,-10.0,,
david-calderon,David  Calderon,RB,,,,,,,,,,,,,16.0,,,4.0,,,,,,,,,,
david-ross,David Ross,RB,,,,,,,,,,,,,6.0,,,2.0,,,,,,,,,,
deveon-smith,De\'Veon Smith,RB,2.0,,,1.0,,,,,,,,,,,,,,0.0,180.0,23.0,,,3.0,451.0,,
deanthony-hall-steele,Deanthony  Hall-Steele,RB,,,,,,,,,,,,,,,,,,,,,3.0,,,,,
dee-anderson,Dee Anderson,WR,,1.0,,,,,,,,,,,,,,,,1.0,142.0,8.0,,,,,,
defenders-dst,Defenders DST,DST,,,2.0,,1.0,,,6.0,,5.0,,,,,,,243.0,,,,,,,,19.0,1.0
defenders-k,Defenders K,QB/K,1.0,,,7.0,,,716.0,,9.0,,1.0,4.0,,15.0,1983.0,,,,,,,,2.0,231.0,,
deon-cain,Deon Cain,WR,,,,,,,,,,,,,,,,,,3.0,461.0,37.0,,,0.0,10.0,,
deondre-francois,Deondre Francois,QB,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,0.0,1.0,,
deontay-burnett,Deontay Burnett,WR,,,,2.0,,,,,,,,,,,,,,2.0,306.0,33.0,,,0.0,0.0,,
devante-wright,Devante Wright,DL,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
devin-darrington,Devin Darrington,RB,,,,1.0,,,,,,,,,,,,,,0.0,-5.0,1.0,,,0.0,74.0,,
devin-gray,Devin Gray,WR,,,,,,,,,,,,,,,,,,1.0,213.0,20.0,,,,,,
devin-ross,Devin Ross,WR,,,,1.0,,,,,,,,,,,,,,0.0,134.0,9.0,,,,,,
diondre-overton,Diondre Overton,WR,,,,,,,,,,,,,,,,,,0.0,33.0,3.0,,,,,,
dreko-statham,Dreko Statham,DB,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,
ej-perry,E.J. Perry,QB,1.0,,,3.0,,,,,3.0,,1.0,,,2.0,664.0,,,,,,,,4.0,151.0,,
emmanuel-butler,Emmanuel Butler,WR,,,,1.0,,,,,,,,,,,,,,1.0,238.0,16.0,,,,,,
eric-thomas-jr,Eric Thomas Jr.,WR,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
fred-hardgrove,Fred Hardgrove,DB,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,
gary-jennings,Gary Jennings,WR,,,,1.0,,,,,,,,,,,,,,1.0,98.0,6.0,,,,,,
gavin-holmes,Gavin Holmes,WR,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
giovanni-sanders,Giovanni Sanders,QB,,,,,,,,,,,,,5.0,,,,,,,,,1.0,,,,
greg-dent,Greg Dent,WR,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
gunnar-oakes,Gunnar Oakes,TE,,,,,,,,,,,,,,,,,,0.0,35.0,3.0,,,,,,
hakeem-butler,Hakeem Butler,WR,1.0,,,,,,,,,,,,,,,,,5.0,711.0,51.0,,,,,,
holton-ahlers,Holton Ahlers,QB,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,,
isaiah-blackmon,Isaiah Blackmon,DL,,,,,,,,,,,,,,,,,,,,,3.0,,,,,
isaiah-lewis,Isaiah Lewis,DL/DB,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
isaiah-robinson,Isaiah Robinson,WR,,,,,,,,,,,,,,,,,,,,,7.0,,,,,
isaiah-winstead,Isaiah Winstead,WR,,,,3.0,,,,,,,,,,,,,,2.0,175.0,12.0,,,,,,
isaiah-zuber,Isaiah Zuber,WR,,,,,,,,,,,1.0,,,,,,,0.0,6.0,2.0,,,0.0,6.0,,
