player_id,player_name,positions,conversions,dst_touchdown,extra_point,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
adams-jr-vernon,"ADAMS JR., Vernon",QB,,,,,,16.0,,,,22.0,4727.0,,,,,2.0,373.0,,
addison-bralon,"ADDISON, Bralon",WR,,,,,,,,,,,,,3.0,433.0,41.0,0.0,151.0,,
adeboboye-daniel,"ADEBOBOYE, Daniel",RB,,,,,,,,,,,,,0.0,40.0,6.0,0.0,244.0,,
alexander-davis,"ALEXANDER, Davis",QB,,,,,,2.0,,,,6.0,1347.0,,,,,3.0,166.0,,
alford-mario,"ALFORD, Mario",WR,,,,,,,,,,,,,0.0,6.0,1.0,,,,
antwi-jeshrun,"ANTWI, Jeshrun",RB,,,,,,,,,,,,,0.0,21.0,5.0,0.0,93.0,,
arbuckle-nick,"ARBUCKLE, Nick",QB,,,,,,3.0,,,,4.0,799.0,,,,,0.0,3.0,,
augustine-johnny,"AUGUSTINE, Johnny",RB,,,,,,,,,,,,,0.0,39.0,3.0,2.0,135.0,,
acheampong-sam,"Acheampong, Sam",DL,,,,,,,0.0,,,,,,,,,,,0.0,1.0
acklin-jaelon,"Acklin, Jaelon",WR,,,,,,,,,,,,,4.0,739.0,69.0,,,,
adams-devin,"Adams, Devin",DL,,,,,,,0.0,,,,,,,,,,,1.0,4.0
ajou-ajou,"Ajou, Ajou",WR,,,,,,,,,,,,,2.0,307.0,20.0,,,,
albright-christian,"Albright, Christian",DL,,,,,,,0.0,,,,,,,,,,,0.0,1.0
alexander-brandon,"Alexander, Brandon",DB,,,,,,,0.0,,,,,,,,,,,0.0,5.0
allen-aj,"Allen, A.J.",LB,,,,,,,0.0,,,,,,,,,,,0.0,2.0
allen-dejon,"Allen, Dejon",OL,,,,,,,,,,,,,,,,,,,1.0
amos-dashaun,"Amos, DaShaun",DB,,,,,,,1.0,,,,,,,,,,,,2.0
anderson-nick,"Anderson, Nick",LB,,,,,,,0.0,,,,,,,,,,,0.0,5.0
archibald-joshua,"Archibald, Joshua",DE/DL,,,,,,,,,,,,,,,,,,,2.0
auclair-adam,"Auclair, Adam",LB,,,,,,,0.0,,,,,,,,,,,0.0,1.0
awachie-albert,"Awachie, Albert",RB/FB,,,,,,,,,,,,,0.0,6.0,2.0,,,,
awe-micah,"Awe, Micah",LB,,,,,,,0.0,,,,,,,,,,,0.0,5.0
ayers-michael,"Ayers, Michael",LB,,,,,,,0.0,,,,,,,,,,,0.0,2.0
barbon-jose,"BARBON, Jose",WR,,,,,,,,,,,,,0.0,17.0,3.0,,,,
barnes-clark,"BARNES, Clark",WR,,,,,,,,,,,,,4.0,590.0,44.0,0.0,-8.0,,
bc-dst,BC DST,DST,,,,,,,19.0,,,,,575.0,,,,,,51.0,
bc-k,BC K,K,,,36.0,1480.0,,,,,,,,,,,,,,,
bc-qb,BC QB,QB,,,,,,18.0,,,,21.0,5100.0,,,,,14.0,482.0,,
begelton-reggie,"BEGELTON, Reggie",WR,,,,,,,,,,,,,4.0,1150.0,92.0,,,,
berryhill-stanley,"BERRYHILL, Stanley",WR,,,,,,,,,,,,,4.0,670.0,55.0,,,,
bonner-logan,"BONNER, Logan",QB,,,,,,5.0,,,,0.0,378.0,,,,,,,,
brice-chase,"BRICE, Chase",QB,,,,,,0.0,,,,1.0,232.0,,,,,0.0,1.0,,
bridges-shemar,"BRIDGES, Shemar",WR,,,,,,,,,,,,,4.0,933.0,83.0,,,,
brissett-dejon,"BRISSETT, Dejon",WR,,,,,,,,,,,,,3.0,171.0,14.0,0.0,13.0,,
brooks-erik,"BROOKS, Erik",WR,,,,,,,,,,,,,1.0,53.0,3.0,,,,
brown-kevin,"BROWN, Kevin",RB/P,,,,,,,,,,,,,0.0,138.0,22.0,0.0,522.0,,
bruggeling-keaton,"BRUGGELING, Keaton",WR,,,,,,,,,,,,,0.0,23.0,2.0,,,,
butler-james,"BUTLER, James",RB,,,,,,,,,,,,,1.0,372.0,45.0,2.0,522.0,,
bailey-rasheed,"Bailey, Rasheed",WR,,,,,,,,,,,,,2.0,245.0,24.0,,,,1.0
bane-jr-shawn,"Bane Jr., Shawn",WR,,,,,,,,,,,,,5.0,609.0,53.0,0.0,19.0,,
barlow-brandon,"Barlow, Brandon",DL,,,,,,,0.0,,,,,,,,,,,0.0,3.0
beaulieu-cristophe,"Beaulieu, Cristophe",DB,,,,,,,,,,,,,,,,,,,1.0
bede-boris,"Bede, Boris",K,,,38.0,931.0,,,0.0,,,,,,,,,,,0.0,1.0
bell-bryce,"Bell, Bryce",OL,,,,,,,,,,,,,0.0,-1.0,1.0,,,,
bell-daniel,"Bell, Daniel",LB,,,,,,,0.0,,,,,,,,,,,0.0,1.0
bell-greg,"Bell, Greg",RB,,,,,,,,,,,,,1.0,230.0,29.0,6.0,629.0,,
benson-mike,"Benson, Mike",LS,,,,,,,0.0,,,,,,,,,,,0.0,0.0
bertrand-hudon-thomas,"Bertrand-Hudon, Thomas",RB,,,,,,,,,,,,,0.0,0.0,0.0,1.0,103.0,,
beverette-tyrice,"Beverette, Tyrice",LB,,,,,,,1.0,,,,,,,,,,,0.0,5.0
blackburn-tyshon,"Blackburn, Tyshon",DB,,,,,,,,,,,,,,,,,,,1.0
blanchard-vincent,"Blanchard, Vincent",K,,,1.0,19.0,,,,,,,,,,,,,,,
boahen-kwadwo,"Boahen, Kwadwo",DL,,,,,,,0.0,,,,,,,,,,,0.0,1.0
bonhomme-dk,"Bonhomme, D.K.",LB,,,,,,,,,,,,,,,,,,,1.0
bordner-brendan,"Bordner, Brendan",OL,,,,,,,0.0,,,,,,,,,,,0.0,0.0
bratton-darrius,"Bratton, Darrius",DB,,,,,,,1.0,,,,,,,,,,,0.0,1.0
brinkman-jared,"Brinkman, Jared",DL,,,,,,,,,,,,,,,,,,,3.0
