player_id,player_name,positions,conversions,field_goal_yards,interceptions,interceptions_lost,intereceptions_lost,passing_tds,passing_yards,recceiving_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
albany-qb,ALBANY QB,QB,,,,4.0,,55.0,1829.0,,,,,4.0,151.0
arthur-anderson-iv,ARTHUR ANDERSON IV,WR,,,186.0,,,0.0,0.0,,366.0,17735.0,1583.0,,
aakiel-greer,Aakiel Greer,WR,,,,,,,,,485.0,22850.0,979.0,,
adam-kruse,Adam Kruse,QB,,,8.0,1.0,,9.0,565.0,,,,,3.0,66.0
adrian-adams,Adrian Adams,WR,,,,,,,,,1052.0,49194.0,4474.0,6.0,40.0
alexis-rosario,Alexis Rosario,WR,,,,,,,,,2.0,33.0,5.0,,
andre-sale,Andre Sale,QB,,,,,,2.0,55.0,,,,,,1.0
billings-k,BILLINGS K,K,9.0,31.0,,,,,,,,,,,
billings-qb,BILLINGS QB,QB,,,,5.0,4.0,38.0,1788.0,,,,,5.0,62.0
braeden-wingle,Braeden Wingle,QB,,,1.0,2.0,,9.0,651.0,,,,,,27.0
corpus-christi-k,CORPUS CHRISTI K,K/QB,,,,10.0,,24.0,1249.0,,,,,8.0,102.0
calvin-fance,Calvin Fance,RB,,,,,,,,,,,,2.0,40.0
carlton-brown,Carlton Brown,RB,,,,,,,,,1.0,3626.0,655.0,738.0,3014.0
charles-hall,Charles Hall,WR,,,,,,,,,5.0,302.0,21.0,,21.0
darien-townsend,DARIEN TOWNSEND,WR,,,,,,,,,278.0,8395.0,453.0,,8.0
darius-prince,DARIUS PRINCE,WR,,,,,,,,,1432.0,46361.0,2819.0,0.0,12.0
duane-brown,DUANE  BROWN,WR,,,,,,,,,465.0,17532.0,1435.0,0.0,1836.0
dalton-cole,Dalton Cole,QB,,,907.0,3.0,,882.0,42721.0,,0.0,-5.0,1.0,733.0,21987.0
daquan-bailey-brown,Daquan Bailey-Brown,WR,,,,,,,,,1.0,95.0,8.0,0.0,13.0
demarius-washington,Demarius Washington,WR,,,0.0,,,0.0,0.0,,16.0,913.0,65.0,,
desmond-maxwell,Desmond  Maxwell,RB,,,,,,,,,1.0,33.0,3.0,2.0,771.0
