player_id,player_name,positions,assists,blk,cto,goals,lb,pim,sog,to
adam-charalambides,Adam Charalambides,P,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
adam-jay,Adam Jay,P,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
adam-wiedemann,Adam Wiedemann,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alex-simmons,Alex Simmons,P,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0
andrew-borgatti,Andrew Borgatti,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
andrew-kew,Andrew Kew,P,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0
ari-steenhuis,Ari Steenhuis,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
austin-shanks,Austin Shanks,P,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0
ben-mcdonald,Ben McDonald,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ben-mcintosh,Ben McIntosh,P,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0
ben-trumble,Ben Trumble,P,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
billy-hostrawser,Billy Hostrawser,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blake-gibson-mcdonald,Blake Gibson-McDonald,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bobby-kidd-iii,Bobby Kidd III,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brad-kri,Brad Kri,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
braedon-saris,Braedon Saris,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brayden-laity,Brayden Laity,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brayden-mayea,Brayden Mayea,P,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
brendan-bomberry,Brendan Bomberry,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brent-noseworthy,Brent Noseworthy,P,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
brett-mydske,Brett Mydske,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brian-simmons,Brian Simmons,P/T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brock-haley,Brock Haley,P,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0
bryan-cole,Bryan Cole,P,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
cj-kirst,CJ Kirst,P,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
callum-jones,Callum Jones,P,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
cam-wyers,Cam Wyers,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carter-cook,Carter Cook,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carter-page,Carter Page,P,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0
challen-rogers,Challen Rogers,P,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
chris-boushy,Chris Boushy,P,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chris-weier,Chris Weier,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clark-walter,Clark Walter,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clarke-petterson,Clarke Petterson,P,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0
clay-scanlan,Clay Scanlan,P,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
cody-jamieson,Cody Jamieson,P,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
colton-armstrong,Colton Armstrong,P,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
colton-watkinson,Colton Watkinson,P,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
conner-cook,Conner Cook,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
connor-farrell,Connor Farrell,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
connor-kearnan,Connor Kearnan,P,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
connor-mcclelland,Connor McClelland,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
connor-nock,Connor Nock,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
connor-robinson,Connor Robinson,P,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0
corey-small,Corey Small,P,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0
curtis-dickson,Curtis Dickson,P,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
curtis-romanchych,Curtis Romanchych,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dan-craig,Dan Craig,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dawson-theede,Dawson Theede,P,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
dhane-smith,Dhane Smith,P,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
dylan-hess,Dylan Hess,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dylan-mcintosh,Dylan McIntosh,P,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dylan-robinson,Dylan Robinson,P,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
dylan-watson,Dylan Watson,P,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
dyson-williams,Dyson Williams,P,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0
eli-gobrecht,Eli Gobrecht,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eli-salama,Eli Salama,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elijah-gash,Elijah Gash,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ethan-ticehurst,Ethan Ticehurst,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ethan-walker,Ethan Walker,P,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
graeme-hossack,Graeme Hossack,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
graydon-bradley,Graydon Bradley,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
griffin-hall,Griffin Hall,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
haiden-dickson,Haiden Dickson,P,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0
harrison-matsuoka,Harrison Matsuoka,P,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
holden-garlent,Holden Garlent,P,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
hugh-kelleher,Hugh Kelleher,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ian-mackay,Ian MacKay,P,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
jack-follows,Jack Follows,P,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
jack-travassos,Jack Travassos,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jackson-nishimura,Jackson Nishimura,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jackson-suboch,Jackson Suboch,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jacob-dunbar,Jacob Dunbar,P,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
jacob-hickey,Jacob Hickey,P,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
jake-boudreau,Jake Boudreau,P,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
jake-darlison,Jake Darlison,P,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
jake-govett,Jake Govett,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jake-saunders,Jake Saunders,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jake-stevens,Jake Stevens,P,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
jake-withers,Jake Withers,P,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
jalen-chaster,Jalen Chaster,P/DT,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
james-barclay,James Barclay,P,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
jason-knox,Jason Knox,P,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
jaxon-fridge,Jaxon Fridge,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jay-thorimbert,Jay Thorimbert,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jeff-cornwall,Jeff Cornwall,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jeff-henrick,Jeff Henrick,P,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
jeff-teat,Jeff Teat,P,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
jerrett-smith,Jerrett Smith,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jesse-king,Jesse King,P,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0
joel-coyle,Joel Coyle,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
johnathan-peshko,Johnathan Peshko,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
johnny-pearson,Johnny Pearson,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jordan-gilles,Jordan Gilles,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jordan-macintosh,Jordan MacIntosh,P,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
josh-byrne,Josh Byrne,P,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0
josh-dawick,Josh Dawick,P,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
josh-zawada,Josh Zawada,P,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0
justin-inacio,Justin Inacio,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
justin-j-martin,Justin J. Martin,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kaleb-benedict,Kaleb Benedict,P,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
kason-tarbell,Kason Tarbell,P,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
keegan-bal,Keegan Bal,P,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0
kellen-leclair,Kellen LeClair,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kevin-brownell,Kevin Brownell,P,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
kyle-buchanan,Kyle Buchanan,P,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
kyle-jackson,Kyle Jackson,P,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
kyle-pepper,Kyle Pepper,P,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
kyle-rubisch,Kyle Rubisch,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
larson-sundown,Larson Sundown,P,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
latrell-harris,Latrell Harris,P,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
levi-anderson,Levi Anderson,P,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
levi-verch,Levi Verch,P,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
liam-leclair,Liam LeClair,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
liam-mcgrath,Liam McGrath,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
luc-magnan,Luc Magnan,P,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
lukas-nielsen,Lukas Nielsen,P,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
lyle-thompson,Lyle Thompson,P,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
marcus-klarich,Marcus Klarich,P,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0
mark-matthews,Mark Matthews,P,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0
