player_id,player_name,positions,assists,blocks,goals,plus_minus,touches,turnovers
christina-tuna-marsicano,"Christina ""Tuna"" Marsicano",,1.0,6.0,5.0,9.0,6.0,3.0
cori-bradham,Cori Bradham,,7.0,6.0,15.0,14.0,22.0,14.0
dana-bidot,Dana Bidot,,1.0,2.0,7.0,4.0,8.0,6.0
dani-ortiz,Dani Ortiz,,2.0,3.0,2.0,-6.0,4.0,13.0
danni-cordes,Danni Cordes,,1.0,5.0,,-3.0,1.0,9.0
elise-franke,Elise Franke,,,2.0,,2.0,,
elizabeth-mosquera,Elizabeth Mosquera,,3.0,2.0,2.0,5.0,5.0,2.0
elle-mayer,Elle Mayer,,1.0,,,1.0,1.0,
emma-jaschke,Emma Jaschke,,,,1.0,-1.0,1.0,2.0
emma-jones,Emma Jones,,8.0,5.0,3.0,8.0,11.0,8.0
erin-goding,Erin Goding,,2.0,3.0,4.0,1.0,6.0,8.0
erynn-schroeder,Erynn Schroeder,,15.0,4.0,6.0,9.0,21.0,16.0
fiona-cashin,Fiona Cashin,,1.0,3.0,9.0,10.0,10.0,3.0
gabriella-gaby-cuina,"Gabriella ""Gaby"" Cuina",,3.0,,1.0,-3.0,4.0,7.0
georgia-tse,Georgia Tse,,2.0,4.0,8.0,1.0,10.0,13.0
lily-ponitz,Lily Ponitz,,2.0,1.0,,-3.0,2.0,6.0
lindsi-allman,Lindsi Allman,,1.0,1.0,1.0,-1.0,2.0,4.0
maggie-rowell,Maggie Rowell,,11.0,3.0,8.0,10.0,19.0,12.0
maria-vargas,María Vargas,,4.0,3.0,,-2.0,4.0,9.0
mia-griner,Mia Griner,,5.0,8.0,8.0,7.0,13.0,14.0
mindy-radike,Mindy Radike,,3.0,3.0,,-6.0,3.0,12.0
morgan-lally,Morgan Lally,,1.0,4.0,5.0,5.0,6.0,5.0
naomi-anderson,Naomi Anderson,,12.0,14.0,9.0,15.0,21.0,20.0
natalie-wilson,Natalie Wilson,,4.0,2.0,9.0,11.0,13.0,4.0
natasha-tash-bedoya-ross,"Natasha ""Tash"" Bedoya-Ross",,,,,-1.0,,1.0
quincy-booth,Quincy Booth,,24.0,2.0,6.0,5.0,30.0,27.0
rachel-burzynski,Rachel Burzynski,,,,,-4.0,,4.0
samantha-sam-li,"Samantha ""Sam"" Li",,1.0,3.0,,-5.0,1.0,9.0
sarah-kingsley,Sarah Kingsley,,,1.0,2.0,1.0,2.0,2.0
shiru-liu,Shiru Liu,,12.0,1.0,,,12.0,13.0
summer-wilson,Summer Wilson,,2.0,2.0,7.0,3.0,9.0,8.0
susan-matthews,Susan Matthews,,1.0,,,,1.0,1.0
therese-doebler,Therese Doebler,,,1.0,2.0,,2.0,3.0
tori-taylor,Tori Taylor,,14.0,10.0,11.0,19.0,25.0,16.0
