player_id,player_name,positions,extra_point,extra_points,field_goal_yards,fumble_recoveries,fumbles_lost,interceptions_lost,interceptions_made,lost_fumbles,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
aj-ouellette,A.J. OUELLETTE,RB,,,,,,,,,,,,,1.0,250.0,35.0,8.0,1222.0,
albert-awachie,Albert Awachie,FB/RB,,,,,,,,,,,,,0.0,6.0,1.0,,,
alexander-hollins,Alexander HOLLINS,WR,,,,,,,,,,,,,0.0,163.0,8.0,,,
andre-miller,Andre Miller,WR,,,,,,,,,,,,,2.0,146.0,12.0,0.0,-8.0,
ante-milanovic-litre,Ante MILANOVIC-LITRE,RB,,,,,,,,,,,,,,52.0,8.0,1.0,58.0,
anthony-gosselin,Anthony GOSSELIN,FB/RB,,,,,,,,,,,,,0.0,96.0,8.0,,,
arkell-smith,Arkell Smith,WR,,,,,,,,,,,,,0.0,406.0,38.0,0.0,0.0,
austin-mack,Austin Mack,WR,,,,,,,,,,,,,2.0,674.0,48.0,,,
ayden-eberhardt,Ayden EBERHARDT,WR,,,,,,,,,,,,,4.0,863.0,45.0,,,
bc-dst,BC DST,DST,,,,,,,19.0,,,,,499.0,,,,,,45.0
bc-k,BC K,K,47.0,,1215.0,,,,,,,,,,,,,,,
bc-qb,BC QB,QB,,,,,,23.0,,,,36.0,6494.0,,,,,11.0,665.0,
binjimen-victor,Binjimen Victor,WR,,,,,,,,,,,,,1.0,331.0,32.0,,,
bo-levi-mitchell,Bo Levi Mitchell,QB,,,,,,10.0,,,,35.0,4960.0,,,,,1.0,124.0,
brady-oliveira,Brady OLIVEIRA,RB,,,,,,,,,,,,,0.0,546.0,61.0,3.0,1163.0,
bralon-addison,Bralon ADDISON,WR,,,,,,,,,,,,,3.0,825.0,72.0,0.0,58.0,
brendan-oleary-orange,Brendan O\'LEARY-ORANGE,WR,,,,,,,,,,,,,5.0,337.0,23.0,,,
brett-lauther,Brett LAUTHER,K,32.0,,1323.0,,,,,,,,,,,,,,,
cgy-dst,CGY DST,DST,,,,,,,19.0,,,,,416.0,,,,,,40.0
cgy-k,CGY K,K,38.0,,1295.0,,,,,,,,,,,,,,,
cgy-qb,CGY QB,QB,,,,,,19.0,,,,20.0,4714.0,,,,,45.0,328.0,
caleb-evans,Caleb EVANS,QB,,,,,,0.0,,,,1.0,207.0,,,,,2.0,50.0,
cam-echols,Cam ECHOLS,WR,,,,,,,,,,,,,0.0,9.0,2.0,,,
cameron-dukes,Cameron Dukes,QB,,,,,,0.0,,,,0.0,8.0,,,,,,,
charleston-rambo,Charleston RAMBO,WR,,,,,,,,,,,,,3.0,585.0,54.0,,,
chase-brice,Chase BRICE,QB,,,,,,0.0,,,,0.0,29.0,,,,,0.0,3.0,
chris-streveler,Chris STREVELER,QB,,,,,,11.0,,,,6.0,1108.0,,,,,9.0,301.0,
clark-barnes,Clark BARNES,WR,,,,,,,,,,,,,2.0,601.0,35.0,,,
cody-fajardo,Cody FAJARDO,QB,,,,,,7.0,,,,14.0,3408.0,,,,,7.0,319.0,
cole-snyder,Cole SNYDER,QB,,,,,,0.0,,,,0.0,47.0,,,,,3.0,14.0,
cole-spieker,Cole SPIEKER,WR,,,,,,,,,,,,,4.0,609.0,54.0,0.0,5.0,
dsean-mimbs,D\'Sean Mimbs,WR,,,,,,,,,,,,,,5.0,1.0,,,
davaris-daniels,DaVaris DANIELS,WR,,,,,,,,,,,,,3.0,408.0,30.0,,,
dalton-schoen,Dalton SCHOEN,WR,,,,,,,,,,,,,2.0,255.0,22.0,,,
damien-alford,Damien ALFORD,WR,,,,,,,,,,,,,5.0,407.0,20.0,,,
damonte-coxie,Damonte COXIE,WR,,,,,,,,,,,,,6.0,854.0,48.0,,,
daniel-adeboboye,Daniel ADEBOBOYE,RB,,,,,,,,,,,,,2.0,227.0,28.0,0.0,386.0,
david-dallaire,David DALLAIRE,FB/RB,,,,,,,,,,,,,1.0,105.0,13.0,0.0,2.0,
