player_id,player_name,positions,extra_point,field_goal_yards,interceptions_lost,lost_fumbles,missed,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,receving_tds,rushing_tds,rushing_yards
aakiel-greer,Aakiel Greer,WR,,,,,,,,,5.0,1.0,,,
aaron-baum,Aaron Baum,K,,,,,1.0,,,,,,,,
aaron-dilworth,Aaron Dilworth,WR,,,,,,,,,17.0,2.0,,,
aeden-johnson,Aeden Johnson,K,4.0,29.0,,,,,,,,,,,
ammon-lakip,Ammon Lakip,K,4.0,,,,1.0,,,,,,,,
andre-williams,Andre Williams,RB/WR,,,,,,,,,9.0,1.0,,,
andrew-mcbride,Andrew McBride,QB,,,4.0,,,6.0,218.0,,,,,,
andrew-mevis,Andrew Mevis,K,14.0,,,,1.0,,,,,,,,
angelo-grose,Angelo Grose,WR,,,,,,,,3.0,67.0,4.0,,,
anthony-garrett,Anthony Garrett,QB,,,1.0,,,,46.0,,,,,2.0,85.0
arland-bruce,Arland Bruce,WR,,,,,,,,2.0,85.0,7.0,,,
austin-upshaw,Austin Upshaw,WR,,,,,,,,,21.0,1.0,,,
axel-perez,Axel Perez,K,6.0,,,,,,,,,,,,
bk-smith-jr,BK Smith Jr.,WR,,,,,,,,1.0,39.0,3.0,,,
bailey-hall,Bailey Hall,K,9.0,64.0,,,3.0,,,,,,,,
benjamin-omayebu,Benjamin Omayebu,RB,,,,,,,,,,,,1.0,10.0
billy-bowens,Billy Bowens,WR,,,,,,,,1.0,73.0,5.0,,,
brandon-mackey,Brandon Mackey,RB,,,,,,,,,12.0,1.0,,1.0,2.0
brent-reis,Brent Reis,K,7.0,33.0,,,,,,,,,,,
cj-windham,C.J. Windham,WR,,,,,,,,2.0,64.0,8.0,,,
caleb-ramseur,Caleb Ramseur,RB,,,,,,,,,,,,2.0,101.0
calum-sutherland,Calum Sutherland,K,10.0,,,,3.0,,,,,,,,
carl-robinson,Carl Robinson,QB,,,1.0,,,1.0,49.0,,,,,1.0,-13.0
cassian-foreman,Cassian Foreman,WR,,,,,,,,,19.0,4.0,,,
charles-hall,Charles Hall,WR,,,,,,,,7.0,162.0,13.0,,,
cole-blackman,Cole Blackman,WR,,,,,,,,,10.0,1.0,,,
corey-reed-jr,Corey Reed Jr.,WR,,,,,,,,,26.0,2.0,,,18.0
darien-townsend,DARIEN TOWNSEND,WR,,,,,,,,3.0,191.0,14.0,,,3.0
darius-prince,DARIUS PRINCE,WR,,,,,,,,4.0,161.0,16.0,,,
duane-brown,DUANE  BROWN,WR,,,,,,,,4.0,214.0,17.0,,,
dallas-daniels,Dallas Daniels,WR,,,,,,,,2.0,97.0,7.0,,,
dalton-cole,Dalton Cole,QB,,,,,,3.0,204.0,,,,,2.0,29.0
damecio-ewing,Damecio Ewing,WR,,,,,,,,,38.0,4.0,,,
daniel-williams,Daniel Williams,WR,,,,,,,,9.0,254.0,21.0,,,
daquan-neal,Daquan Neal,QB,,,3.0,,,5.0,329.0,,,,,2.0,93.0
darryl-overstreet-jr,Darryl Overstreet Jr.,QB,,,2.0,,,7.0,269.0,,,,,2.0,11.0
davis-black,Davis Black,QB,,,,,,,,,,,,,1.0
deion-mcshane,Deion McShane,WR,,,,,,,,,25.0,4.0,,,-1.0
demilon-brown,Demilon Brown,RB,,,,,,,,1.0,14.0,3.0,,2.0,41.0
deon-cook,Deon Cook,WR,,,,,,,,,10.0,2.0,,,
derrick-rose,Derrick Rose,WR,,,,,,,,,18.0,1.0,,,
deshon-williams,Deshon  Williams,TE/WR,,,,,,,,2.0,43.0,2.0,,,17.0
dezmon-epps,Dezmon Epps,WR,,,,,,,,,56.0,5.0,,,2.0
dominic-roberto,Dominic Roberto,RB,,,,,,,,,49.0,4.0,,8.0,191.0
donovan-rasberry,Donovan Rasberry,WR,,,,,,,,1.0,29.0,3.0,,,
dontrell-morrison,Dontrell Morrison,WR,,,,,,,,2.0,81.0,4.0,,,
draylen-ellis,Draylen Ellis,QB,,,1.0,,,,8.0,,,,,,7.0
draysean-hudson,Draysean Hudson,WR,,,,,,,,2.0,83.0,4.0,,,2.0
drevon-macon,Drevon Macon,WR,,,,,,,,1.0,58.0,4.0,,,6.0
drew-powell,Drew Powell,QB,,,,,,2.0,171.0,,,,,4.0,82.0
edward-vander,Edward Vander,RB,,,,,,,,,,,,1.0,1.0
eric-phoenix,Eric Phoenix,QB,,,,,,2.0,69.0,,,,,,
ernesto-lacayo,Ernesto Lacayo,K,5.0,,,,,,,,,,,,
evan-byrd,Evan Byrd,K,4.0,,,,,,,,,,,,
felix-harper,Felix Harper,QB,,,1.0,,,2.0,211.0,,,,,2.0,41.0
fred-payton,Fred Payton,QB,,,2.0,,,6.0,200.0,,,,,,59.0
glen-gibbons-jr,Glen Gibbons Jr.,WR,,,,,,,,2.0,147.0,4.0,,,
gourney-sloan,Gourney Sloan,WR,,,,,,,,,40.0,5.0,,,
isaac-ross,Isaac Ross,WR,,,,,,,,,20.0,3.0,,,
isaiah-coulter,Isaiah Coulter,WR,,,,,,,,,24.0,3.0,,,
isaiah-scott,Isaiah Scott,WR,,,,,,,,4.0,147.0,12.0,,,
jt-stokes,JT Stokes,WR,,,,,,,,,59.0,5.0,,1.0,30.0
javonte-johnson-2,Ja\'Vonte Johnson,QB,,,2.0,,,5.0,232.0,,,,,1.0,8.0
jaedon-stoshak,Jaedon Stoshak,WR,,,,,,,,2.0,101.0,7.0,,,
jaiave-magalei,Jaiave Magalei,QB,,,,,,4.0,196.0,,,,,3.0,12.0
jairus-grissom-2,Jairus Grissom,WR,,,,,,,,1.0,70.0,5.0,,,
jaivian-lofton,Jaivian Lofton,WR,,,,,,,,,24.0,2.0,,,6.0
jalal-dean,Jalal Dean,WR,,,,,,,,,33.0,3.0,,,
jalen-may,Jalen May,WR,,,,,,,,1.0,12.0,1.0,,,2.0
jalen-sample,Jalen Sample,WR,,,,,,,4.0,1.0,50.0,6.0,,,
jamal-couch,Jamal Couch,WR,,,,,,,,,22.0,4.0,,1.0,5.0
james-cahoon,James Cahoon,QB,,,,,,8.0,439.0,,,,,,21.0
jan-bogdan,Jan Bogdan,K,6.0,54.0,,,1.0,,,,,,,,
jaron-waters,Jaron Waters,WR,,,,,,1.0,11.0,2.0,32.0,2.0,,,
jarrod-ware,Jarrod Ware,RB,,,,,,,,3.0,87.0,8.0,,1.0,31.0
jarvai-flowers,Jarvai Flowers,WR,,,,,,,,2.0,108.0,9.0,,,
javonte-haynes,Javonte Haynes,WR,,,,,,,,,,,,,9.0
jaylin-marshall,Jaylin Marshall,WR,,,,,,,,2.0,104.0,6.0,,,
jaylon-tucker,Jaylon Tucker,WR,,,,,,,,2.0,166.0,11.0,,,15.0
jeremiah-spicer,Jeremiah  Spicer,RB/WR,,,,,,,,,61.0,5.0,,,
jeremiah-taylor,Jeremiah Taylor,WR,,,,,,,,,8.0,2.0,,,-2.0
jerminic-smith,Jerminic Smith,WR,,,,,,,,4.0,154.0,15.0,,,6.0
jimmie-robinson-jr,Jimmie Robinson Jr.,RB/WR,,,,,,,,,75.0,11.0,,1.0,48.0
joaquin-collazo,Joaquin Collazo,QB,,,,,,2.0,145.0,,,,,,11.0
jordan-davis,Jordan Davis,WR,,,,,,,,,30.0,4.0,,,
jordan-gandy,Jordan Gandy,WR,,,,,,,,1.0,61.0,3.0,,,
josh-jones,Josh Jones,OT/QB,,,,,,1.0,7.0,,,,,,
josiah-king,Josiah King,RB,,,,,,,,,,,,,8.0
jovohn-tucker,Jovohn Tucker,WR,,,,,,,,1.0,94.0,6.0,,,
judd-roberts,Judd Roberts,QB,,,,,,,,,,,,,-2.0
justin-olibrice,Justin Olibrice,WR,,,,,,3.0,109.0,,4.0,1.0,,,12.0
kj-smith,KJ Smith,RB,,,,,,,,,9.0,1.0,,1.0,46.0
karon-ashley,Ka\'Ron Ashley,WR,,,,,,,,,33.0,2.0,,,
kairee-robinson,Kairee Robinson,RB,,,,,,,,,21.0,3.0,,1.0,44.0
kevin-macias,Kevin Macias,K,7.0,28.0,,,3.0,,,,,,,,
keyvan-rudd,Keyvan Rudd,WR,,,,,,,,1.0,119.0,10.0,,1.0,3.0
kobe-smith-2,Kobe Smith,WR,,,,,,,,,4.0,1.0,,,
kris-lewis,Kris Lewis,WR,,,,,,,,3.0,162.0,13.0,,,
kyle-kaplan,Kyle Kaplan,K,7.0,,,,,,,,,,,,
kymani-clarke,Kymani Clarke,RB,,,,,,,,,,,,1.0,19.0
ledarian-mcallister,Ledarian Mcallister,WR,,,,,,,,,9.0,1.0,,,
liam-thompson,Liam Thompson,QB,,,5.0,,,9.0,365.0,,,,,2.0,109.0
marc-orozco,MARC OROZCO,K,12.0,32.0,,,1.0,,,,,,,,
marquel-wade,MARQUEL WADE,WR,,,,,,,,1.0,151.0,11.0,2.0,,7.0
malik-henry-2,Malik Henry,QB,,,2.0,,,14.0,620.0,,,,,1.0,22.0
malik-honeycutt,Malik Honeycutt,WR,,,,,,,,1.0,142.0,10.0,,,2.0
marcus-manuel,Marcus Manuel,WR,,,,,,,,1.0,39.0,1.0,,,
matthew-cook,Matthew Cook,K,8.0,,,,1.0,,,,,,,,
mike-carrigan,Mike Carrigan,WR,,,,,,,,,28.0,4.0,,,5.0
moe-strong,Moe Strong,WR,,,,,,,,2.0,58.0,7.0,,,7.0
nate-davis,Nate Davis,QB,,,1.0,,,4.0,180.0,,,,,,10.0
nestor-manuel-higuera,Nestor Manuel Higuera,K,3.0,,,,,,,,,,,,
nolan-susel,Nolan Susel,RB,,,,,,,,,,,,,10.0
nyqwan-murray,Nyqwan Murray,WR,,,,,,,,3.0,133.0,9.0,,,
oscar-roden,Oscar Roden,K,7.0,,,,,,,,,,,,
otis-odom,Otis Odom,WR,,,,,,,,,,,,,3.0
paxton-delaurent,Paxton DeLaurent,QB,,,1.0,,,5.0,308.0,,,,,1.0,22.0
phoenix-sproles,Phoenix Sproles,WR,,,,,,,,1.0,56.0,5.0,,,24.0
pooka-williams,Pooka Williams,RB/WR,,,,,,,,,46.0,5.0,,3.0,34.0
quian-williams,Quian Williams,WR,,,,,,,,1.0,90.0,9.0,,,6.0
quintavius-workman,Quintavius Workman,WR,,,,,,,,2.0,115.0,14.0,,,21.0
redd-douglas,Redd Douglas,WR,,,,,,,,1.0,23.0,2.0,,,
ricky-weaver,Ricky Weaver,RB,,,,,,,,,,,,2.0,54.0
robert-mccoy-jr,Robert Mccoy Jr,QB,,,,,,5.0,227.0,,,,,1.0,23.0
ron-brown-jr,Ron Brown Jr.,RB,,,,,,,,,22.0,2.0,,1.0,29.0
