player_id,player_name,positions,assists,games_played,goals,penalty_minutes,points,pp_assists,pp_goals,sh_goals
aaron-woods,Aaron Woods,P,18.0,11.0,14.0,2.0,32.0,,,2.0
aden-walsh,Aden Walsh,G,,18.0,,,,,,
bennett-smith,Bennett Smith,P,1.0,9.0,,6.0,1.0,,,
billy-hostrawser,Billy Hostrawser,P,5.0,17.0,,15.0,5.0,,,
brad-kri,Brad Kri,P,8.0,18.0,2.0,25.0,10.0,,,
brayden-laity,Brayden Laity,P,5.0,18.0,1.0,4.0,6.0,,,
cam-wyers,Cam Wyers,P,5.0,18.0,,19.0,5.0,,,
challen-rogers,Challen Rogers,P,22.0,12.0,7.0,6.0,29.0,6.0,1.0,
chris-boushy,Chris Boushy,P,28.0,16.0,31.0,30.0,59.0,6.0,10.0,
chris-weier,Chris Weier,P,7.0,18.0,1.0,,8.0,,,
connor-farrell,Connor Farrell,P,2.0,7.0,,2.0,2.0,,,
dan-craig,Dan Craig,P,32.0,15.0,22.0,6.0,54.0,7.0,1.0,
dhane-smith,Dhane Smith,P,101.0,18.0,33.0,8.0,134.0,21.0,8.0,2.0
dillon-ward,Dillon Ward,G,,15.0,,,,,,
dylan-mcintosh,Dylan McIntosh,P,1.0,2.0,1.0,,2.0,,,
dylan-robinson,Dylan Robinson,P,4.0,17.0,2.0,12.0,6.0,,,
eli-salama,Eli Salama,P,8.0,13.0,2.0,22.0,10.0,,,1.0
elijah-gash,Elijah Gash,P,,4.0,,13.0,,,,
griffin-hall,Griffin Hall,P,2.0,16.0,,4.0,2.0,,,
haiden-dickson,Haiden Dickson,P,19.0,18.0,27.0,7.0,46.0,2.0,2.0,
harrison-matsuoka,Harrison Matsuoka,P,3.0,18.0,4.0,6.0,7.0,,,
ian-mackay,Ian MacKay,P,17.0,18.0,12.0,16.0,29.0,,,2.0
jack-hannah,Jack Hannah,,47.0,18.0,29.0,4.0,76.0,16.0,5.0,1.0
jacob-dunbar,Jacob Dunbar,P,12.0,7.0,8.0,,20.0,1.0,4.0,
joe-resetarits,Joe Resetarits,P,58.0,18.0,37.0,,95.0,20.0,9.0,
josh-byrne,Josh Byrne,P,82.0,18.0,53.0,14.0,135.0,22.0,6.0,1.0
josh-dawick,Josh Dawick,P,16.0,14.0,13.0,,29.0,1.0,,
josh-jackson,Josh Jackson,P,2.0,10.0,,6.0,2.0,,,
josh-jubenville,Josh Jubenville,P,3.0,9.0,1.0,9.0,4.0,,,
justin-inacio,Justin Inacio,P,2.0,8.0,,2.0,2.0,,,
kyle-buchanan,Kyle Buchanan,P,24.0,18.0,23.0,2.0,47.0,5.0,5.0,
liam-leclair,Liam LeClair,P,4.0,18.0,2.0,10.0,6.0,,,
mark-matthews,Mark Matthews,P,67.0,18.0,31.0,8.0,98.0,18.0,11.0,1.0
mathieu-gautier,Mathieu Gautier,P,25.0,16.0,7.0,4.0,32.0,1.0,2.0,
matt-spanger,Matt Spanger,P,5.0,10.0,1.0,13.0,6.0,,,
matt-sykes,Matt Sykes,P,1.0,8.0,,2.0,1.0,,,
matt-vinc,Matt Vinc,G,,16.0,,,,,,
mike-mccannell,Mike McCannell,P,6.0,14.0,1.0,4.0,7.0,,,
mitch-de-snoo,Mitch de Snoo,P,13.0,17.0,8.0,30.0,21.0,,,
nicholas-rowlett,Nicholas Rowlett,P,,12.0,,2.0,,,,
nick-rose,Nick Rose,G/K,,18.0,,,,,,
nick-weiss,Nick Weiss,P,24.0,18.0,5.0,31.0,29.0,,,
owen-down,Owen Down,P,2.0,8.0,1.0,8.0,3.0,,,
paul-dawson,Paul Dawson,LB/P,2.0,19.0,,33.0,2.0,,,
phil-mazzuca,Phil Mazzuca,P,6.0,17.0,4.0,9.0,10.0,,,1.0
riley-loewen,Riley Loewen,P,37.0,17.0,15.0,2.0,52.0,3.0,,
robert-hope,Robert Hope,P,13.0,18.0,,14.0,13.0,,,
robert-hudson,Robert Hudson,P,1.0,8.0,3.0,,4.0,,,
ryan-benesch,Ryan Benesch,P,39.0,18.0,42.0,10.0,81.0,10.0,11.0,
steve-orleman,Steve Orleman,,,9.0,,,,,,
steve-priolo,Steve Priolo,P,8.0,18.0,5.0,30.0,13.0,,,
tanner-cook,Tanner Cook,P,39.0,18.0,26.0,18.0,65.0,4.0,5.0,
tehoka-nanticoke,Tehoka Nanticoke,P,16.0,16.0,27.0,10.0,43.0,,6.0,2.0
thomas-whitty,Thomas Whitty,P,5.0,16.0,,16.0,5.0,,,
troy-holowchuk,Troy Holowchuk,G,,18.0,,,,,,
tyler-garrison,Tyler Garrison,P,6.0,16.0,3.0,14.0,9.0,,,
tyler-hendrycks,Tyler Hendrycks,P,2.0,5.0,3.0,,5.0,,,
tyler-packer,Tyler Packer,P/OL,50.0,18.0,36.0,10.0,86.0,13.0,10.0,1.0
zack-belter,Zack Belter,P,1.0,8.0,,13.0,1.0,,,
zack-kearney,Zack Kearney,P,2.0,9.0,2.0,2.0,4.0,,,
