player_id,player_name,positions,attempts,avg,award_mvp,long,td,yards
akimitsu-mori,Akimitsu Mori,,16.0,10.81,,35.0,,173.0
aoto-itō,Aoto Itō,,43.0,2.63,,10.0,1.0,113.0
daiki-hori,Daiki Hori,,56.0,2.93,,14.0,1.0,164.0
daisuke-katō,Daisuke Katō,,24.0,6.25,,43.0,1.0,150.0
dereck-akira-williams,Dereck Akira Williams,,35.0,4.91,,24.0,1.0,172.0
devin-phelps,Devin Phelps,WR,28.0,11.61,,42.0,2.0,325.0
hanshirō-sunada,Hanshirō Sunada,,25.0,4.4,,13.0,1.0,110.0
hikaru-kubomura,Hikaru Kubomura,,14.0,13.93,,26.0,1.0,195.0
hiraku-fukasu,Hiraku Fukasu,,21.0,6.29,,35.0,,132.0
hiroki-yamada,Hiroki Yamada,,61.0,5.92,,60.0,1.0,361.0
hiroyuki-beppu,Hiroyuki Beppu,,16.0,8.0,,35.0,1.0,128.0
jason-smith,Jason Smith,,82.0,72.0,,692.0,58.0,59.0
jaylon-henderson,Jaylon Henderson,QB,83.0,71.1,1.0,930.0,60.0,59.0
john-stanton,John Stanton,,16.0,12.81,,40.0,,205.0
kai-maxwell-yokoyama,Kai Maxwell Yokoyama,,16.0,16.81,,40.0,2.0,269.0
kanawai-noa,Kanawai Noa,,18.0,10.06,,20.0,1.0,181.0
kaoru-usami,Kaoru Usami,,14.0,15.86,,52.0,1.0,222.0
keitarō-hiraide,Keitarō Hiraide,,14.0,11.0,,30.0,1.0,154.0
kōki-yoshida,Kōki Yoshida,,47.0,4.0,,48.0,2.0,188.0
kōki-ōmichi,Kōki Ōmichi,,65.0,4.38,,16.0,1.0,285.0
masahiro-okishio,Masahiro Okishio,,19.0,11.16,,25.0,1.0,212.0
masaki-kawabuchi,Masaki Kawabuchi,,53.0,3.11,,16.0,,165.0
masanari-kagawa,Masanari Kagawa,,23.0,6.26,,19.0,14.0,144.0
robert-earl-johnson,Robert Earl Johnson,,18.0,17.0,,42.0,2.0,306.0
ryō-kawakami,Ryō Kawakami,,20.0,14.65,,33.0,1.0,293.0
ryōya-kataoka,Ryōya Kataoka,,28.0,6.57,,33.0,,184.0
ryūki-suzuki,Ryūki Suzuki,,16.0,14.63,,49.0,,234.0
seiya-hatanaka,Seiya Hatanaka,,44.0,3.57,,31.0,1.0,157.0
shōichi-tanabe,Shōichi Tanabe,,21.0,13.43,,39.0,,282.0
shōtarō-tanoue,Shōtarō Tanoue,,18.0,11.67,,34.0,1.0,210.0
sora-takahashi,Sora Takahashi,,95.0,55.8,,437.0,21.0,53.0
takanobu-watanabe,Takanobu Watanabe,,41.0,2.78,,33.0,1.0,114.0
takehiro-mawatari,Takehiro Mawatari,,26.0,12.85,,63.0,1.0,334.0
takurō-abe,Takurō Abe,,16.0,11.81,,37.0,2.0,189.0
tetsuya-nakano,Tetsuya Nakano,,26.0,7.54,,52.0,1.0,196.0
trashaun-nixon,Trashaun Nixon,,,,1.0,,,
tsubasa-takagi,Tsubasa Takagi,,99.0,73.7,,1089.0,68.0,73.0
yamato-nagaoka,Yamato Nagaoka,,14.0,9.21,,19.0,1.0,129.0
yūki-shirakami,Yūki Shirakami,,43.0,5.28,,60.0,2.0,227.0
yūki-sugita,Yūki Sugita,,15.0,16.4,,87.0,,246.0
yūshirō-sakai,Yūshirō Sakai,,24.0,5.71,,44.0,,137.0
yūsuke-nakadai,Yūsuke Nakadai,,23.0,6.52,,28.0,1.0,150.0
yūto-moriwake,Yūto Moriwake,,63.0,4.49,,71.0,2.0,283.0
