player_id,player_name,positions,assisted_tackles,completion_pct,def_interceptions,defensive_bk,defensive_pd,defensive_tds,fg_attempts,field_goal_long,field_goal_pct,field_goals_made,forced_fumbles,fumble_recoveries,interceptions,kick_returns,kicking_deuce,kicking_pat,kicking_pat_att,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_incompletions,pass_long,pass_yards_per_attempt,passing_rate,passing_sacks,passing_td_pass,passing_td_pass_pct,passing_yards,passing_yds_lost,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,safeties,tackles
aj-brown,A.J. Brown,WR,2.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
aaron-dilworth,Aaron Dilworth,WR,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,68.0,111.0,0.0,10.0,274.0,20.0,,,,,,,0.0,0.0,2.0
addison-mccauley,Addison McCauley,K,0.0,,0.0,0.0,0.0,0.0,11.0,105.0,2001.0,5.0,0.0,0.0,,,0.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0
adyn-schwarzer,Adyn Schwarzer,LB,12.0,,0.0,0.0,1.0,0.0,,,,,3.0,0.0,,1.0,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,1.5,0.0,12.0
aleki-tapa,Aleki Tapa,OL,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0
alexis-rosario,Alexis Rosario,WR/RB,0.0,962.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,1.0,,,,,,,,,17.0,8.0,9.0,18.0,18.0,167.0,2.0,3.0,404.0,83.0,9.0,31.0,53.0,0.0,3.0,174.0,25.0,20.0,41.0,34.0,0.0,3.0,103.0,0.0,0.0,1.0
andre-thomas-cobb,Andre Thomas-Cobb,WR,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,65.0,99.0,1.0,3.0,237.0,25.0,,,,,,,0.0,0.0,2.0
anthony-webb,Anthony Webb,DB,1.0,,0.0,0.0,1.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
anthony-wilson,Anthony Wilson,OL,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0
arnell-anderson,Arnell Anderson,LB,2.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0
ashton-henry,Ashton Henry,K,0.0,,0.0,0.0,0.0,0.0,3.0,23.0,667.0,2.0,0.0,0.0,,,0.0,10.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0
asi-tupua,Asi Tupua,DL,2.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
bemnet-morgan,Bemnet Morgan,DB,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0
billy-reagins-jr,Billy Reagins Jr.,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,9.0,4.0,0.0,0.0,11.0,,,
bizzet-woodley,Bizzet Woodley,WR,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,1.0,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,73.0,111.0,1.0,10.0,442.0,42.0,,,,,,,0.0,0.0,3.0
blaine-espinosa,Blaine Espinosa,QB,,333.0,,,,,,,,,,,0.0,,,,,,,,,27.0,9.0,18.0,21.0,11.0,69.0,0.0,2.0,74.0,95.0,0.0,,,,,,,3.0,5.0,3.0,0.0,0.0,8.0,,,
brad-namdar,Brad Namdar,K,,,,,,,1.0,0.0,0.0,0.0,,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandon-kyles,Brandon Kyles,QB,,500.0,,,,,,,,,,,1.0,,,,,,,,,16.0,8.0,8.0,29.0,11.0,80.0,1.0,2.0,125.0,87.0,2.0,32.0,32.0,0.0,1.0,32.0,1.0,9.0,0.0,7.0,0.0,2.0,61.0,,,
brandon-munoz,Brandon Munoz,DL,10.0,,0.0,0.0,4.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,10.0
brandon-shepard,Brandon Shepard,,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,66.0,76.0,0.0,3.0,134.0,13.0,3.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0
brean-michel,Brean Michel,WR,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,5.0,,,,30.0,35.0,0.0,73.0,,,,,,,,,,,,68.0,92.0,0.0,3.0,224.0,20.0,15.0,14.0,13.0,0.0,1.0,50.0,0.0,0.0,1.0
brentley-allen,Brentley Allen,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,0.0,0.0,0.0,13.0,1.0,,,,,,,,,
brian-price,Brian Price,LB,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0
brian-robinson,Brian Robinson,WR/RB,6.0,,1.0,0.0,3.0,0.0,,,,,0.0,0.0,,2.0,,,,29.0,29.0,0.0,29.0,,,,,,,,,,,,7.0,12.0,0.0,1.0,13.0,2.0,,,,,,,0.0,0.0,18.0
byron-cooper,Byron Cooper,LB,12.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,16.0
camerion-carrathus,Camerion Carrathus,WR,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,21.0,29.0,0.0,0.0,33.0,3.0,,,,,,,0.0,0.0,1.0
cameron-alves,Cameron Alves,WR,1.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1.0,,,,5.0,5.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,19.0,22.0,1.0,0.0,22.0,4.0,4.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0
cameron-george,Cameron George,DL,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4.0
carlos-vazquez,Carlos Vazquez,K,,,,,,,4.0,0.0,667.0,2.0,,,,,0.0,24.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carlton-watkins,Carlton Watkins,DB,21.0,,0.0,0.0,7.0,0.0,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,16.0
carver-shamelle-dumas,Carver Shamelle Dumas,LB,8.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,1.0,0.0,0.0,8.0,0.0,0.0,12.0
cedric-hearvey,Cedric Hearvey,DL,1.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
charles-smith,Charles Smith,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,0.0,0.0,4.0,1.0,,,,,,,,,
chase-alisauckas,Chase Alisauckas,LB,11.0,,0.0,0.0,0.0,0.0,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12.0
chase-baker,Chase Baker,OL,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0
chase-contreraz,Chase Contreraz,K,1.0,,0.0,0.0,0.0,0.0,6.0,37.0,1.0,1.0,0.0,0.0,,,0.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0
chris-elmore,Chris  Elmore,RB,14.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,2.0,,,,-3.0,0.0,0.0,-3.0,,,,,,,,,,,,,,,,,,3.0,4.0,3.0,0.0,2.0,5.0,0.5,0.0,9.0
chris-perry,Chris Perry,DB,4.0,,1.0,0.0,0.0,1.0,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.0,0.0,1.0,0.0,0.0,-3.0,0.0,0.0,10.0
christian-atkins,Christian Atkins,LB,1.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4.0
christian-stokley,Christian Stokley,WR,1.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,73.0,119.0,1.0,4.0,202.0,19.0,5.0,0.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0
cordarius-wright,Cor'Darius Wright,OL,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0
cory-henry,Cory Henry,DL,4.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.0,5.0
dnerius-antoine,D'Nerius Antoine,WR,4.0,0.0,0.0,0.0,1.0,0.0,,,,,2.0,0.0,0.0,6.0,,,,39.0,46.0,0.0,52.0,1.0,0.0,1.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,57.0,70.0,0.0,0.0,105.0,8.0,15.0,36.0,44.0,2.0,8.0,143.0,1.5,0.0,6.0
daniel-byse,DANIEL BYSE,RB,0.0,,0.0,0.0,0.0,0.0,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0
