player_id,player_name,positions,blocked_punt,conversions,dst_touchdown,extra_point,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,missed,passing_tds,passing_yards,points_against,punt_return,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
aj-richardson,AJ Richardson,WR,,,,,,,,,,,,,,,0.0,22.0,2.0,0.0,7.0,
aaron-shampklin,Aaron Shampklin,RB,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,14.0,
adrian-hardy,Adrian Hardy,WR,,,,,,,,,,,,,,,0.0,89.0,8.0,,,
alex-collins,Alex Collins,RB,,,,,,,,,,,1.0,1.0,,,0.0,25.0,5.0,1.0,61.0,
alex-kessman,Alex Kessman,K,,,,3.0,283.0,,,,,1.0,,,,,,,,,,
alex-mcgough,Alex McGough,QB,,,,,,,1.0,,2.0,,18.0,1534.0,,,,,,3.0,378.0,
alonzo-moore,Alonzo Moore,WR,,,,,,,,,,,,,,,0.0,76.0,8.0,,,
anthony-jones,Anthony Jones,RB,,,,,,,,,,,,,,,2.0,34.0,8.0,0.0,75.0,
anthony-ratliff-williams,Anthony Ratliff-Williams,WR,,,,,,,,,,,,,,,1.0,63.0,3.0,,,
artayvious-lynn,Artayvious Lynn,TE,,,,,,,,,,,,,,,0.0,14.0,4.0,,,
austin-watkins,Austin Watkins,WR,,,,,,,,,,,,,,,1.0,112.0,9.0,,,
bailey-gaither,Bailey Gaither,WR,,,,,,,,,,,,,,,0.0,242.0,20.0,1.0,36.0,
bo-scarbrough,Bo Scarbrough,RB,,,,,,,,,,,,,,,0.0,5.0,1.0,0.0,-1.0,
brady-white,Brady White,QB,,,,,,,1.0,,,,2.0,182.0,,,,,,0.0,29.0,
braedon-bowman,Braedon Bowman,WR/TE,,,,,,,,,,,,,,,0.0,64.0,4.0,,,
brandon-aubrey,Brandon Aubrey,K/PK,,,,24.0,411.0,,,,,1.0,,,,,,,,,,
brandon-barnes,Brandon Barnes,WR/TE,,,,,,,,,,,,,,,0.0,7.0,2.0,,,
brandon-wright,Brandon Wright,K/P,,,,2.0,61.0,,,,,,,,,,,,,,,
breakers-dst,Breakers DST,DST,1.0,,,,,1.0,,2.0,,,,,92.0,,,,,,,8.0
breakers-k,Breakers K,K,,,,8.0,225.0,,,,,,,,,,,,,,,
breakers-qb,Breakers QB,QB,,,,,,,4.0,,2.0,,7.0,1064.0,,,,,,0.0,25.0,
cj-marable,CJ Marable,RB,,,,,,,,,2.0,,,,,,2.0,137.0,20.0,2.0,367.0,
cj-turner,CJ Turner,WR,,,,,,,,,,,,,,,,29.0,1.0,,,
cameron-echols-luper,Cameron Echols-Luper,WR,,,,,,,,,,,,,,,0.0,55.0,5.0,0.0,0.0,
carson-strong,Carson Strong,QB,,,,,,,1.0,,,,0.0,128.0,,,0.0,-2.0,1.0,0.0,10.0,
case-cookus,Case Cookus,QB,,,,,,,1.0,,,,6.0,601.0,,,,,,0.0,71.0,
cheyenne-ogrady,Cheyenne O\'Grady,TE,,,,,,,,,,,,,,,,6.0,1.0,,,
chris-blewitt,Chris Blewitt,K,,,,6.0,467.0,,,,,5.0,,,,,,,,,,
chris-rowland,Chris Rowland,WR,,,,,,,,,,,,,,,1.0,31.0,3.0,0.0,22.0,
clint-sigg-jr,Clint Sigg Jr.,TE,,,,,,,,,,,,,,,0.0,10.0,4.0,,,
cole-hikutini,Cole Hikutini,TE,,,,,,,,,1.0,,,,,,2.0,72.0,4.0,,,
cole-kelley,Cole Kelley,QB,,1.0,,,,,2.0,,,,4.0,682.0,,,0.0,-13.0,1.0,0.0,43.0,
cole-murphy,Cole Murphy,K,,,,7.0,181.0,,,,,2.0,,,,,,,,,,
corey-coleman,Corey Coleman,WR,,,,,,,,,,,,,,,1.0,192.0,11.0,,,
cyrus-habibi-likio,Cyrus Habibi-Likio,RB,,,,,,,,,,,,,,,,13.0,2.0,1.0,22.0,
dakota-prukop,Dakota Prukop,QB,,,,,,,0.0,,,,0.0,148.0,,,,,,1.0,12.0,
daniel-helm,Daniel Helm,TE,,,,,,,,,,,,,,,0.0,56.0,7.0,,,
darius-victor,Darius Victor,RB,,,,,,,,,3.0,,,,,,0.0,25.0,2.0,0.0,133.0,
darnell-holland,Darnell Holland,RB,,,,,,,,,1.0,,,,,,0.0,0.0,0.0,0.0,14.0,
david-hamm,David Hamm,RB,,,,,,,,,,,,,,,0.0,18.0,3.0,0.0,7.0,
davion-davis,Davion Davis,WR,,,,,,,,,,,,,,,3.0,429.0,21.0,,5.0,
deandre-johnson,De\'Andre Johnson,QB,,,,,,,0.0,,,,0.0,108.0,,,,,,1.0,107.0,
demorney-pierson-el,De\'Morney Pierson-El,WR,,,,,,,,,,,,,,,0.0,6.0,1.0,0.0,15.0,
dee-anderson,Dee Anderson,WR,,,,,,,,,,,,,,,1.0,154.0,8.0,,,
deon-cain,Deon Cain,WR,,,,,,,,,,,,,,1.0,3.0,203.0,19.0,,,
deontez-alexander,Deontez Alexander,WR,,,,,,,,,,,,,,,0.0,27.0,5.0,,,
derrick-dillon,Derrick Dillon,WR,,,,,,,,,,,,,,1.0,0.0,123.0,9.0,0.0,4.0,
devin-gray,Devin Gray,WR,,,,,,,,,,,,,,,1.0,168.0,14.0,,,
devwah-whaley,Devwah Whaley,RB,,,,,,,,,1.0,,,,,,,,,0.0,30.0,
dexter-williams,Dexter Williams,WR/RB,,,,,,,,,,,,,,,1.0,28.0,6.0,1.0,81.0,
diondre-overton,Diondre Overton,WR,,,,,,,,,,,,,,,0.0,60.0,7.0,,,
duane-gary,Duane Gary,WR/RB,,,,,,,,,,,,,,,0.0,9.0,1.0,0.0,47.0,
ej-perry,E.J. Perry,QB,,,,,,,1.0,,,,2.0,370.0,,,,,,1.0,22.0,
eli-stove,Eli Stove,WR,,,,,,,,,,,,,,,0.0,44.0,4.0,0.0,10.0,
ezra-gray,Ezra Gray,RB,,,,,,,,,,,,,,,,-2.0,2.0,,4.0,
gamblers-dst,Gamblers DST,DST,,,,,,3.0,,1.0,,,,,94.0,,,,,,,7.0
gamblers-k,Gamblers K,K,,,,9.0,45.0,,,,,1.0,,,,,,,,,,
gamblers-qb,Gamblers QB,QB,,,,,,,3.0,,1.0,,4.0,625.0,,,,,,0.0,69.0,
garrett-groshek,Garrett Groshek,RB,,,,,,,,,,,,,,,0.0,77.0,7.0,1.0,131.0,
generals-dst,Generals DST,DST,,,,,,,,1.0,,,,,51.0,,,,,,,5.0
generals-k,Generals K,K,,,,2.0,103.0,,,,,,,,,,,,,,,
generals-qb,Generals QB,QB,,1.0,,,,,1.0,,,,0.0,367.0,,,,,,3.0,120.0,
hunter-rison,Hunter Rison,WR,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
isaiah-zuber,Isaiah Zuber,WR,,,,,,,,,,,,,,,0.0,30.0,5.0,,,
ishmael-hyman,Ishmael Hyman,WR,,,,,,,,,,,,,,,1.0,125.0,16.0,,,
isiah-hennie,Isiah Hennie,WR,,,,,,,,,,,,,,1.0,1.0,369.0,32.0,0.0,35.0,
jmar-smith,J\'Mar Smith,QB,,,,,,,1.0,,,,1.0,160.0,,,,,,,1.0,
jmon-moore,J\'Mon Moore,WR,,,,,,,,,,,,,,,0.0,90.0,11.0,,,
jace-sternberger,Jace Sternberger,TE,,,,,,,,,,,,,,,4.0,342.0,24.0,,,
jalen-morton,Jalen Morton,QB,,,,,,,,,,,,,,,,,,0.0,5.0,
james-morgan,James Morgan,QB,,,,,,,2.0,,,,0.0,156.0,,,,,,0.0,13.0,
jay-jay-wilson,Jay Jay Wilson,TE,,,,,,,,,,,,,,,1.0,89.0,10.0,,,
joe-walker,Joe Walker,WR,,,,,,,,,2.0,,,,,,1.0,200.0,12.0,,-2.0,
john-mitchell,John Mitchell,TE/WR,,,,,,,,,,,,,,,,7.0,1.0,,,
johnnie-dixon,Johnnie Dixon,WR,,,,,,,,,,,,,,,0.0,130.0,12.0,,,
jonathan-adams,Jonathan Adams,WR,,,,,,,,,,,,,,,1.0,209.0,18.0,,,
jordan-suell,Jordan Suell,WR,,,,,,,,,,,,,,,0.0,41.0,5.0,0.0,0.0,
josh-babicz,Josh Babicz,TE,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
josh-johnson-2,Josh Johnson,WR,,,,,,,,,,,,,,,1.0,74.0,5.0,,,
josh-love,Josh Love,QB,,,,,,,1.0,,,,5.0,505.0,,,,,,0.0,8.0,
josh-pederson,Josh Pederson,WR/TE/RB,,,,,,,,,,,,,,,0.0,126.0,7.0,,,
