player_id,player_name,positions,assisted_tackles,completion_pct,def_interceptions,defensive_bk,defensive_pd,defensive_tds,defensive_tfl,fg_attempts,field_goal_long,field_goal_pct,field_goals_made,forced_fumbles,fumble_recoveries,interceptions,kick_returns,kicking_deuce,kicking_pat,kicking_pat_att,kicking_pat_pct,kr_avg,kr_tds,kr_yards,pass_attempts,pass_completions,pass_long,pass_yards_per_attempt,passing_2pt,passing_rate,passing_sacks,passing_td_pass,passing_yards,passing_yds_lost,rec_avg,rec_long,receiving_2pt,receiving_fum,receiving_tds,receiving_yards,receptions,returning_intr_td,rush_avg,rush_long,rushing_2pt,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,tackles
aedan-johnson,AEDAN JOHNSON,K,,,,,,,,5.0,73.0,4.0,4.0,,,,,1.0,10.0,13.0,1167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aakiel-greer,Aakiel Greer,WR,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,49.0,111.0,0.0,0.0,4.0,265.0,27.0,,,,,,,,,0.0,1.0
aaron-baum,Aaron Baum,K,,,,,,,,2.0,0.0,1.0,1.0,,,,,1.0,8.0,9.0,751.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aaron-dilworth,Aaron Dilworth,WR,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,9.0,9.0,0.0,0.0,0.0,17.0,2.0,,,,,,,,,0.0,1.0
abu-bangura-ii,Abu Bangura II,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6.0
adam-kruse,Adam Kruse,QB,,400.0,,,,,,,,,,,,0.0,,,,,,,,,20.0,8.0,40.0,9.0,0.0,51.0,0.0,0.0,73.0,0.0,9.0,9.0,0.0,0.0,0.0,9.0,1.0,,3.0,3.0,0.0,1.0,0.0,0.0,3.0,,
akeem-smith,Akeem Smith,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,8.0
alex-heil,Alex Heil,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
alphonso-taylor,Alphonso Taylor,,0.0,,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7.0
ammon-lakip,Ammon Lakip,K,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,3.0,9.0,12.0,1003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0
amos-coleman-iii,Amos Coleman III,,1.0,,2.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,18.0,,,,,131.0,1.0,418.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,22.0
andrew-mcbride,Andrew McBride,QB,0.0,2911.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,9.0,,,,,,,,,137.0,75.0,143.0,67.0,0.0,439.0,1.0,19.0,775.0,0.0,10.0,10.0,0.0,0.0,1.0,10.0,1.0,,5.0,12.0,0.0,4.0,0.0,0.0,3.0,0.0,2.0
andrew-volmar,Andrew Volmar,,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,9.0
angelo-grose,Angelo Grose,WR,2.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,8.0,,,,,46.0,0.0,134.0,,,,,,,,,,,19.0,31.0,0.0,0.0,3.0,69.0,5.0,0.0,,,,,,,,0.0,11.0
antonio-simley,Antonio Simley,,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0
arnell-anderson,Arnell Anderson,LB,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0
austin-collier,Austin Collier,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,0.0,7.0,0.0,4.0,9.0,0.0,1.0
bk-smith-jr,BK Smith Jr.,WR,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,52.0,95.0,0.0,0.0,6.0,211.0,17.0,,2.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0
byron-edwards,BYRON EDWARDS,WR,0.0,0.0,4.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,1.0,1.0,,,,,5.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,11.0,1.0,0.0,,,,,,,,0.0,17.0
berdale-robins,BerDale Robins,DB,0.0,,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,12.0
bo-bell,Bo Bell,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10.0
brandon-lombana,Brandon Lombana,WR,,,,,,,,,,,,,,,3.0,,,,,15.0,0.0,24.0,,,,,,,,,,,12.0,24.0,0.0,0.0,0.0,31.0,7.0,0.0,,,,,,,,,
brandon-nicholson,Brandon Nicholson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,
brandon-tolbert,Brandon Tolbert,,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0
brent-reis,Brent Reis,K,1.0,,0.0,0.0,0.0,0.0,0.0,3.0,33.0,1.0,1.0,0.0,0.0,,,2.0,11.0,11.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
cj-clark,CJ Clark,,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0
