player_id,player_name,positions,2_pointer,3_pointer,4_pointer,assist,blockedShot,rebound,steal
alonzo-gee,Alonzo Gee,P,0.0,0.0,0.0,0.0,0.0,2.0,0.0
amir-johnson,Amir Johnson,P,22.0,0.0,0.0,3.0,2.0,38.0,3.0
brandon-rush,Brandon Rush,P,4.0,3.0,0.0,2.0,0.0,8.0,1.0
chris-johnson,Chris Johnson,P,23.0,7.0,0.0,4.0,5.0,23.0,3.0
corey-brewer,Corey Brewer,P,44.0,5.0,0.0,19.0,3.0,58.0,14.0
cuttino-mobley,Cuttino Mobley,P,20.0,11.0,0.0,8.0,4.0,19.0,1.0
dajuan-summers,Dajuan Summers,P,20.0,13.0,0.0,6.0,0.0,14.0,2.0
darnell-jackson,Darnell Jackson,P,11.0,1.0,0.0,12.0,3.0,24.0,1.0
david-hawkins,David Hawkins,P,0.0,0.0,0.0,0.0,0.0,1.0,1.0
derrick-byars,Derrick Byars,P,4.0,1.0,0.0,4.0,0.0,11.0,0.0
deshawn-stephens,Deshawn Stephens,P,21.0,1.0,0.0,5.0,1.0,29.0,3.0
dominique-johnson,Dominique Johnson,P,18.0,7.0,0.0,8.0,1.0,16.0,1.0
donte-greene,Donte Greene,P,42.0,13.0,2.0,5.0,6.0,46.0,1.0
dusan-bulut,Dusan Bulut,P,31.0,4.0,0.0,22.0,0.0,48.0,2.0
earl-clark,Earl Clark,P,54.0,12.0,0.0,15.0,11.0,68.0,4.0
elijah-stewart,Elijah Stewart,P,45.0,14.0,0.0,12.0,9.0,53.0,5.0
franklin-session,Franklin Session,P,33.0,11.0,0.0,24.0,2.0,44.0,4.0
garlon-green,Garlon Green,P,46.0,9.0,0.0,12.0,2.0,45.0,0.0
gerald-green,Gerald Green,P,40.0,20.0,0.0,15.0,1.0,60.0,7.0
isaiah-austin,Isaiah Austin,P,21.0,3.0,0.0,11.0,4.0,42.0,3.0
isaiah-briscoe,Isaiah Briscoe,P,29.0,21.0,0.0,14.0,1.0,24.0,4.0
jamario-moon,Jamario Moon,P,13.0,1.0,0.0,5.0,2.0,19.0,4.0
james-white,James White,P,5.0,0.0,0.0,9.0,4.0,12.0,1.0
jannero-pargo,Jannero Pargo,P,0.0,0.0,0.0,0.0,0.0,1.0,0.0
jason-richardson,Jason Richardson,P,34.0,11.0,0.0,16.0,2.0,42.0,9.0
jeff-ayres,Jeff Ayres,P,10.0,3.0,0.0,7.0,0.0,14.0,1.0
jeremy-pargo,Jeremy Pargo,P,44.0,10.0,4.0,27.0,1.0,29.0,7.0
jermaine-taylor,Jermaine Taylor,P,1.0,0.0,0.0,1.0,0.0,5.0,1.0
jodie-meeks,Jodie Meeks,P,54.0,21.0,0.0,25.0,2.0,46.0,8.0
joe-johnson,Joe Johnson,P,71.0,18.0,0.0,19.0,1.0,83.0,5.0
josh-powell,Josh Powell,P,13.0,0.0,0.0,6.0,4.0,23.0,2.0
julian-wright,Julian Wright,P,10.0,0.0,0.0,5.0,2.0,20.0,3.0
justin-dentmon,Justin Dentmon,P,22.0,8.0,0.0,14.0,0.0,24.0,3.0
kevin-murphy,Kevin Murphy,P,23.0,6.0,1.0,12.0,2.0,12.0,1.0
larry-sanders,Larry Sanders,P,19.0,0.0,0.0,5.0,11.0,72.0,4.0
leandro-barbosa,Leandro Barbosa,P,41.0,11.0,0.0,31.0,2.0,19.0,7.0
mario-chalmers,Mario Chalmers,P,27.0,10.0,0.0,21.0,1.0,20.0,6.0
michael-beasley,Michael Beasley,P,47.0,5.0,0.0,8.0,9.0,56.0,5.0
mike-taylor,Mike Taylor,P,36.0,16.0,0.0,13.0,5.0,22.0,6.0
nick-young,Nick Young,P,3.0,3.0,0.0,0.0,0.0,5.0,0.0
quincy-miller,Quincy Miller,P,20.0,4.0,0.0,3.0,2.0,30.0,2.0
rashard-lewis,Rashard Lewis,P,24.0,6.0,0.0,8.0,4.0,55.0,2.0
ray-nixon,Ray Nixon,P,4.0,1.0,0.0,1.0,0.0,6.0,0.0
royce-white,Royce White,P,36.0,5.0,0.0,18.0,3.0,33.0,1.0
ryan-hollins,Ryan Hollins,P,11.0,0.0,0.0,3.0,3.0,37.0,0.0
tomislav-ivosev,Tomislav Ivosev,P,19.0,0.0,0.0,14.0,3.0,27.0,3.0
will-bynum,Will Bynum,P,4.0,0.0,0.0,2.0,0.0,2.0,0.0
