player_id,player_name,positions,assist_tackles,completions,fg_0_19,fg_20_29,fg_30_39,fg_40_49,fg_50plus,fg_att_game,int_long,int_tds,int_yards,interceptions_lost,interceptions_made,kick_returns,kr_long,kr_tds,kr_yards,pass_attempts,passing_tds,passing_yards,pr_fc,pr_long,pr_yards,punt_avg,punt_long,punt_returns,punt_tb,punt_yards,punts,punts_blocked,punts_in20,receiving_tds,receiving_yards,receptions,rush_attempts,rushing_tds,rushing_yards,sacks,solo_tackles,tackles,targets
aj-hendy,A.J. Hendy,DB/FS,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,26.0,
aj-tarpley,A.J. Tarpley,DB,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,16.0,
aaron-murray,Aaron Murray,QB,,16.0,,,,,,,,,,2.0,,,,,,34.0,,231.0,,,,,,,,,,,,,,,,,,,,,
adonis-jennings,Adonis Jennings,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,8.0,,,,,,,4.0
ahmad-dixon,Ahmad Dixon,DB/SAF,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,45.0,
ajene-harris,Ajene Harris,CB/DB,6.0,,,,,,,,,,,,,14.0,133.0,,340.0,,,,,,,,,,,,,,,,,,,,,,17.0,23.0,
alex-balducci,Alex Balducci,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
alex-jenkins,Alex Jenkins,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
alonzo-moore,Alonzo Moore,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,8.0,,,,,1.0,1.0,5.0
alonzo-russell,Alonzo Russell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,161.0,15.0,,,,,1.0,1.0,11.0
andre-williams,Andre Williams,RB/WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,3.0,23.0,,92.0,,,,1.0
andrew-ankrah,Andrew Ankrah,DB/DE/DL/LB,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,9.0,14.0,
andrew-franks,Andrew Franks,K,,,,4.0,1.0,3.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andrew-soroh,Andrew Soroh,DB/S/SAF,7.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,20.0,
andrew-stelter,Andrew Stelter,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
anthony-coyle,Anthony Coyle,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
anthony-johnson,Anthony Johnson,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,12.0,19.0,
anthony-moten,Anthony Moten,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
anthoula-kelly,Anthoula Kelly,CB/DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,23.0,
antwione-williams,Antwione Williams,DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,7.0,
arrion-springs,Arrion Springs,DB,4.0,,,,,,,,15.0,,15.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,17.0,
asantay-brown,Asantay Brown,DB,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,28.0,
austin-duke,Austin Duke,WR,,,,,,,,,,,,,,7.0,59.0,,138.0,,,,4.0,60.0,99.0,,,11.0,,,,,,1.0,46.0,5.0,,,,,,,1.0
austin-macginnis,Austin MacGinnis,K,,,1.0,2.0,3.0,4.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
austin-proehl,Austin Proehl,WR,,,,,,,,,,,,,,,,,,,,,3.0,9.0,15.0,,,7.0,,,,,,3.0,225.0,16.0,1.0,,3.0,,1.0,1.0,9.0
