player_id,player_name,positions,extra_point,field_goal_yards,interceptions_lost,interceptions_made,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
aj-ouellette,A.J. OUELLETTE,RB,,,,,,,,,,30.0,4.0,,288.0,
alex-hale,Alex Hale,K/OL/PK,22.0,348.0,,,4.0,,,,,,,,,
alexander-hollins,Alexander HOLLINS,WR,,,,,,,,,2.0,267.0,15.0,,,
ante-milanovic-litre,Ante MILANOVIC-LITRE,RB,,,,,,,,,,19.0,1.0,1.0,1.0,
anthony-gosselin,Anthony GOSSELIN,FB/RB,,,,,,,,,0.0,9.0,1.0,,,
austin-mack,Austin Mack,WR,,,,,,,,,5.0,656.0,38.0,0.0,0.0,
ayden-eberhardt,Ayden EBERHARDT,WR,,,,,,,,,2.0,538.0,39.0,,,
bc-dst,BC DST,DST,,,,3.0,,,,170.0,,,,,,11.0
bc-k,BC K,K,15.0,499.0,,,2.0,,,,,,,,,
bc-qb,BC QB,QB,,,4.0,,,8.0,2112.0,,,,,18.0,295.0,
binjimen-victor,Binjimen Victor,WR,,,,,,,,,0.0,32.0,2.0,,,
bo-levi-mitchell,Bo Levi Mitchell,QB,,,1.0,,,9.0,1107.0,,,,,,15.0,
brady-lidster,Brady LIDSTER,K,2.0,156.0,,,1.0,,,,,,,,,
brady-oliveira,Brady OLIVEIRA,RB,,,,,,,,,1.0,135.0,20.0,3.0,658.0,
brendan-oleary-orange,Brendan O\'LEARY-ORANGE,WR,,,,,,,,,1.0,306.0,23.0,,,
brett-lauther,Brett LAUTHER,K,9.0,640.0,,,,,,,,,,,,
bryce-perkins,Bryce Perkins,QB,,,,,,,,,,,,2.0,66.0,
bryson-barnes,Bryson Barnes,QB,,,1.0,,,0.0,35.0,,,,,3.0,37.0,
cgy-dst,CGY DST,DST,,,,8.0,,,,264.0,,,,,,18.0
cgy-k,CGY K,K,36.0,541.0,,,2.0,,,,,,,,,
cgy-qb,CGY QB,QB,,,0.0,,,14.0,1459.0,,,,,7.0,83.0,
cade-mcdonald,Cade McDonald,WR,,,,,,,,,1.0,55.0,8.0,,,
chad-kelly,Chad KELLY,QB,,,9.0,,,17.0,2323.0,,,,,2.0,112.0,
chase-brice,Chase BRICE,QB,,,4.0,,,2.0,476.0,,,,,0.0,4.0,
clark-barnes,Clark BARNES,WR,,,,,,,,,2.0,262.0,18.0,,,
cody-fajardo,Cody FAJARDO,QB,,,4.0,,,14.0,2577.0,,,,,1.0,97.0,
cole-snyder,Cole SNYDER,QB,,,,,,,,,,,,1.0,14.0,
cole-spieker,Cole SPIEKER,WR,,,,,,,,,3.0,175.0,12.0,,,
dsean-mimbs,D\'Sean Mimbs,WR,,,,,,,,,0.0,31.0,3.0,,,
damonte-coxie,Damonte COXIE,WR,,,,,,,,,2.0,524.0,34.0,,,
daniel-adeboboye,Daniel ADEBOBOYE,RB,,,,,,,,,0.0,50.0,10.0,2.0,115.0,
daniel-wiebe,Daniel WIEBE,WR,,,,,,,,,1.0,57.0,3.0,,,
dante-daniels,Dante DANIELS,,,,,,,,,,0.0,82.0,7.0,,,
david-ungerer-iii,David UNGERER III,WR,,,,,,,,,3.0,353.0,30.0,,6.0,
davis-alexander,Davis ALEXANDER,QB,,,1.0,,,14.0,2788.0,,,,,0.0,40.0,
dedrick-mills,Dedrick MILLS,RB,,,,,,,,,2.0,164.0,18.0,3.0,628.0,
dejon-brissett,Dejon BRISSETT,WR,,,,,,,,,5.0,377.0,22.0,,,
dhel-duncan-busby,Dhel Duncan-Busby,WR,,,,,,,,,2.0,139.0,12.0,,,
dru-brown,Dru BROWN,QB,,,5.0,,,5.0,1085.0,,,,,0.0,12.0,
dustin-crum,Dustin CRUM,QB,,,,,,,,,0.0,0.0,0.0,5.0,18.0,
dymere-miller,Dymere Miller,WR,,,,,,,,,0.0,0.0,0.0,,,
edm-dst,EDM DST,DST,,,,12.0,,,,179.0,,,,,,14.0
edm-k,EDM K,K,17.0,670.0,,,1.0,,,,,,,,,
edm-qb,EDM QB,QB,,,4.0,,,11.0,1955.0,,,,,2.0,74.0,
elijah-collins,Elijah COLLINS,RB,,,,,,,,,0.0,11.0,3.0,0.0,8.0,
emani-bailey,Emani BAILEY,RB,,,,,,,,,,,,0.0,26.0,
erik-brooks,Erik BROOKS,WR,,,,,,,,,2.0,434.0,37.0,,,
eugene-lewis,Eugene LEWIS,WR,,,,,,,,,0.0,231.0,20.0,,,
gabe-wallace,Gabe WALLACE,OL,,,,,,,,,,,,0.0,3.0,
gavin-cobb,Gavin COBB,WR,,,,,,,,,0.0,117.0,13.0,,,
greg-bell,Greg Bell,RB,,,,,,,,,0.0,164.0,24.0,0.0,217.0,
ham-dst,HAM DST,DST,,,,7.0,,,,234.0,,,,,,13.0
ham-k,HAM K,K,19.0,489.0,,,2.0,,,,,,,,,
ham-qb,HAM QB,QB,,,6.0,,,9.0,1606.0,,,,,3.0,275.0,
hergy-mayala,Hergy Mayala,WR,,,,,,,,,1.0,97.0,10.0,,,
isaiah-smith,Isaiah SMITH,RB,,,,,,,,,0.0,77.0,6.0,0.0,67.0,
isaiah-wooden,Isaiah Wooden,WR,,,,,,,,,0.0,16.0,2.0,,,
jack-cassar,Jack CASSAR,LB,,,,,,,,,0.0,10.0,1.0,,,
jacob-bond,Jacob BOND,FB,,,,,,,,,0.0,0.0,0.0,,,
jacob-mason,Jacob MASON,FB/RB,,,,,,,,,0.0,49.0,4.0,,,
jaden-williams,Jaden WILLIAMS,WR,,,,,,,,,0.0,52.0,3.0,,,
jake-dolegala,Jake DOLEGALA,QB,,,1.0,,,0.0,122.0,,,,,4.0,65.0,
jake-maier,Jake Maier,QB,,,9.0,,,8.0,2027.0,,,,,0.0,36.0,
jalen-philpot,Jalen PHILPOT,WR,,,,,,,,,5.0,542.0,32.0,0.0,8.0,
james-butler,James BUTLER,RB,,,,,,,,,0.0,121.0,15.0,4.0,296.0,
janarion-grant,Janarion GRANT,WR,,,,,,,,,0.0,0.0,0.0,,,
javon-leake,Javon LEAKE,RB,,,,,,,,,1.0,77.0,10.0,0.0,107.0,
jaylen-johnson-2,Jaylen Johnson,WR,,,,,,,,,0.0,117.0,9.0,,,
jermaine-jackson,Jermaine JACKSON,WR,,,,,,,,,2.0,288.0,19.0,,,
jerreth-sterns,Jerreth STERNS,WR,,,,,,,,,0.0,121.0,10.0,,,
jevon-cottoy,Jevon COTTOY,WR,,,,,,,,,0.0,51.0,4.0,,,
jevoni-robinson,Jevoni Robinson,TE/WR,,,,,,,,,0.0,7.0,1.0,,,
joey-corcoran,Joey CORCORAN,WR,,,,,,,,,0.0,25.0,3.0,,,
john-haggerty,John HAGGERTY,K/P,,,,,,,,,,,,0.0,-22.0,
johnny-augustine,Johnny AUGUSTINE,RB,,,,,,,,,0.0,8.0,3.0,0.0,48.0,
johnny-johnson-iii,Johnny Johnson III,WR,,,,,,,,,,88.0,7.0,,,
jose-maltos-diaz,Jose MALTOS DIAZ,K,27.0,679.0,,,1.0,,,,,,,,,
joshua-cephus,Joshua Cephus,WR,,,,,,,,,0.0,252.0,18.0,,,
jude-mcatamney,Jude McAtamney,K/PK,36.0,541.0,,,2.0,,,,,,,,,
