player_id,player_name,positions,field_goal_yards,interceptions_lost,passing_tds,passing_yards,patkick,potw_defense,potw_offense,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
bryce-crawford-k,Bryce Crawford K,,,,,,,1.0,,,,,,
bryson-denley-rb,Bryson Denley RB,,,,,,,1.0,,,,,,
byron-edwards-db,Byron Edwards DB,,,,,,,,1.0,,,,,
carlito-gonzales-db,Carlito Gonzales DB,,,,,,,,1.0,,,,,
carlos-thompson-jr,Carlos Thompson Jr.,WR,0.0,1.0,1.0,49.0,0.0,,,0.0,21.0,2.0,0.0,-3.0
carrington-thompson-wr,Carrington Thompson WR,,,,,,,1.0,,,,,,
cecil-cherry-dl,Cecil Cherry DL,,,,,,,,1.0,,,,,
charles-headen-iii-wr,Charles Headen III WR,,,,,,,1.0,,,,,,
charles-williams-dl,Charles Williams DL,,,,,,,,1.0,,,,,
chase-allbaugh-k,Chase Allbaugh K,,,,,,,1.0,,,,,,
conor-mangan-k,Conor Mangan K,,,,,,,1.0,,,,,,
darin-hungerford-lb,Darin Hungerford LB,,,,,,,,1.0,,,,,
dexter-reese-db,Dexter Reese DB,,,,,,,,1.0,,,,,
dillion-winfrey-db,Dillion Winfrey DB,,,,,,,1.0,,,,,,
ernesto-lacayok,Ernesto LacayoK,,,,,,,1.0,,,,,,
gabriel-rui-k,Gabriel Rui K,,,,,,,2.0,,,,,,
harold-love-dl,Harold Love DL,,,,,,,1.0,,,,,,
imeek-watkins-wr,Imeek Watkins WR,,,,,,,1.0,,,,,,
jacob-moss-wr,Jacob Moss WR,,,,,,,1.0,,,,,,
jayson-serda-lb,Jayson Serda LB,,,,,,,,1.0,,,,,
jerron-mcgaw-rb,Jerron McGaw RB,,,,,,,1.0,,,,,,
jordan-jones-lb,Jordan Jones LB,,,,,,,,1.0,,,,,
josh-crockett-wr,Josh Crockett WR,,,,,,,1.0,,,,,,
josh-gable-k,Josh Gable K,,,,,,,2.0,,,,,,
kendricks-gladney-jr-db,Kendricks Gladney Jr. DB,,,,,,,,1.0,,,,,
kordell-jacksondb,Kordell JacksonDB,,,,,,,,1.0,,,,,
malik-honeycutt,Malik Honeycutt,WR,0.0,0.0,0.0,0.0,0.0,,,1.0,104.0,9.0,0.0,0.0
matt-elamdb,Matt ElamDB,,,,,,,,1.0,,,,,
melik-owens-dl,Melik Owens DL,,,,,,,,1.0,,,,,
michael-lovett-db,Michael LoVett DB,,,,,,,,2.0,,,,,
mike-green-jr-wr,Mike Green Jr. WR,,,,,,,1.0,,,,,,
nazir-streater-db,Nazir Streater DB,,,,,,,,1.0,,,,,
seyvon-lowry-dl,Seyvon Lowry DL,,,,,,,,1.0,,,,,
trae-meadows-db,Trae Meadows DB,,,,,,,,1.0,,,,,
wesley-bowers-lb,Wesley Bowers LB,,,,,,,,1.0,,,,,
