player_id,player_name,positions,potw_defense,potw_ironman,potw_offense,potw_special_teams
2022-defensive-player-of-the-week,2022 Defensive Player of the Week,,,,1.0,
2022-ironman-player-of-the-week,2022 Ironman Player of the Week,,,,3.0,
2022-special-teams-player-of-the-week-2022-ironman-player-of-the-week,"2022 Special Teams Player of the Week, 2022 Ironman Player of the Week.",,,,1.0,
albany-empire,Albany Empire,,,,7.0,
anthony-johnson-jacksonville-sharks,"Anthony Johnson, Jacksonville Sharks",,,1.0,,
arvell-nelson-jacksonville-sharks,"Arvell Nelson, Jacksonville Sharks",,,,1.0,
back-to-back-2022-offensive-player-of-the-week,Back-to-back 2022 Offensive Player of the Week.,,,,1.0,
brandon-turner,Brandon Turner,,,,1.0,
carolina-cobras,Carolina Cobras,,,,9.0,
chei-hill,Chei Hill,DL,,,1.0,
cody-barber-jacksonville-sharks,"Cody Barber, Jacksonville Sharks",,,,,1.0
columbus-lions,Columbus Lions,,,,6.0,
cornelius-lewis,Cornelius Lewis,,,,1.0,
cris-page-carolina-cobras,"Cris Page, Carolina Cobras",,2.0,,,
dj-myers,D.J. Myers,WR,,,2.0,
darien-townsend,DARIEN TOWNSEND,WR,,,2.0,
darius-prince,DARIUS PRINCE,WR,,,1.0,
dj-myers-carolina-cobras,"DJ Myers, Carolina Cobras",,,1.0,,
daniel-justino-orlando-predators,"Daniel Justino, Orlando Predators",,,,,1.0
darien-townsend-columbus-lions,"Darien Townsend, Columbus Lions",,,1.0,,1.0
darius-prince-albany-empire,"Darius Prince, Albany Empire",,,1.0,2.0,1.0
dashawn-johnson,Dashawn Johnson,,,,1.0,
delvon-randall,Delvon Randall,LB,,,1.0,
derrick-zeigler,Derrick Zeigler,,,,1.0,
devin-wilson-jacksonville-sharks,"Devin Wilson, Jacksonville Sharks",,,,1.0,
drew-pearson-san-antonio-gunslingers,"Drew Pearson, San Antonio Gunslingers",,,,,1.0
droell-green,Droell Green,,,,1.0,
droell-greene-columbus-lions,"Droell Greene, Columbus Lions",,2.0,,,
dwayne-hollis,Dwayne Hollis,DB,,,1.0,
dwayne-hollis-albany-empire,"Dwayne Hollis, Albany Empire",,,1.0,,
faleoga-russell,Faleoga Russell,,,,1.0,
jacksonville-sharks,Jacksonville Sharks,,,,5.0,
jarmon-fortson-columbus-lions,"Jarmon Fortson, Columbus Lions",,,1.0,,
josh-jenkins,Josh Jenkins,DB,,,1.0,
joshua-jenkins-orlando-predators,"Joshua Jenkins, Orlando Predators",,1.0,,,
justin-alexandre,Justin Alexandre,DL/DE,,,1.0,
kali-rashaad,Kali Rashaad,,,,1.0,
kamrin-solomon-jacksonville-sharks,"Kamrin Solomon, Jacksonville Sharks",,,1.0,,
ken-washington,Ken Washington,,,,1.0,
kendrick-ings-carolina-cobras,"Kendrick Ings, Carolina Cobras",,,1.0,,
kenny-starks-columbus-lions,"Kenny Starks, Columbus Lions",,1.0,,,
kerry-starks,Kerry Starks,,,,1.0,
khali-rashaad,Khali Rashaad,,,,1.0,
kwan-stallworth,Kwan Stallworth,OG,,,1.0,
kwan-stallworth-jacksonville-sharks,"Kwan Stallworth, Jacksonville Sharks",,1.0,,,
larry-ford,Larry Ford,,,,1.0,
malik-henry-jacksonville-sharks,"Malik Henry, Jacksonville Sharks",,,,1.0,
marc-orozco-albany-empire,"Marc Orozco, Albany Empire",,,,,3.0
marc-orzoco,Marc Orzoco,,,,1.0,
markus-smith,Markus Smith,,,,1.0,
marvin-ross-albany-empire,"Marvin Ross, Albany Empire",,1.0,,,
mason-espinosa-columbus-lions,"Mason Espinosa, Columbus Lions",,,,1.0,
maurice-leggett,Maurice Leggett,DB,,,1.0,
maurice-leggett-columbus-lions,"Maurice Leggett, Columbus Lions",,1.0,,,
melvin-hollins,Melvin Hollins,,,,1.0,
miles-kelly-jacksonville-sharks,"Miles Kelly, Jacksonville Sharks",,,1.0,,
nick-belcher-orlando-predators,"Nick Belcher, Orlando Predators",,,,,1.0
nyqwan-murray,Nyqwan Murray,WR,,,1.0,
orlando-predators,Orlando Predators,,,,3.0,
phillip-barnett,PHILLIP BARNETT,WR,,,1.0,
pierre-turner,Pierre Turner,,,,1.0,
rakeem-cato-orlando-predators,"Rakeem Cato, Orlando Predators",,,,1.0,
rob-jones-jacksonville-sharks,"Rob Jones, Jacksonville Sharks",,1.0,,,
robert-kent,Robert Kent,,,,1.0,
robert-kent-san-antonio-gunslingers,"Robert Kent, San Antonio Gunslingers",,,,2.0,
rodney-hall-jr-columbus-lions,"Rodney Hall Jr., Columbus Lions",,1.0,,,
sam-castronova,Sam Castronova,QB,,,1.0,
sam-castronova-albany-empire,"Sam Castronova, Albany Empire",,,,3.0,
san-antonio-gunslingers,San Antonio Gunslingers,,,,6.0,
tc-stevens,TC Stevens,,,,1.0,
tc-stevens-carolina-cobras,"TC Stevens, Carolina Cobras",,,,,3.0
trevon-shorts,TREVON  SHORTS,RB,,,1.0,
three-time-2022-offensive-player-of-the-week,Three time 2022 Offensive Player of the Week.,,,,1.0,
three-time-2022-special-team-player-of-the-week,Three time 2022 Special Team Player of the Week.,,,,1.0,
three-time-2022-special-teams-player-of-the-week,Three time 2022 Special Teams Player of the Week,,,,1.0,
trevon-shorts-albany-empire,"Trevon Shorts, Albany Empire",,,1.0,,
two-time-2022-ironman-player-of-the-week,Two time 2022 Ironman Player of the Week.,,,,2.0,
two-time-2022-offensive-player-of-the-week-2022-special-team-player-of-the-week-and-2022-ironman-player-of-the-week,"Two time 2022 Offensive Player of the Week, 2022 Special Team Player of the Week, and 2022 Ironman Player of the Week.",,,,1.0,
walter-thomas,Walter Thomas,,,,1.0,
walter-thomas-carolina-cobras,"Walter Thomas, Carolina Cobras",,1.0,,,
zack-brown,Zack Brown,,,,2.0,
zack-brown-carolina-cobras,"Zack Brown, Carolina Cobras",,,2.0,,
