player_id,player_name,positions,3pt_other,3pt_pass,blocked_punt,conversions,dst_touchdown,extra_point,fumble_recoveries,interceptions,interceptions_lost,interceptions_made,lost_fumbles,made_19,made_29,made_39,made_49,made_50,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,safety
adam-rodriguez,Adam Rodriguez,DE,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
adonis-alexander,Adonis Alexander,S/CB,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,
adrian-hardy,Adrian Hardy,WR,,,,,,,,,,,,,,,,,,,,,2.0,202.0,13.0,,,,
ahmad-dixon,Ahmad Dixon,DB/SAF,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
ahmad-gooden,Ahmad Gooden,DE,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
alex-mcgough,Alex McGough,QB,,,,,,,,,3.0,,0.0,,,,,,,3.0,460.0,,0.0,0.0,0.0,3.0,135.0,,
alonzo-moore,Alonzo Moore,WR,,,,,,,,,,,,,,,,,,,,,3.0,324.0,23.0,0.0,-2.0,,
anthony-butler,Anthony Butler,ILB/LB,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
anthony-cioffi,Anthony Cioffi,DB/SAF,,,,,,,,,0.0,,0.0,,,,,,,0.0,13.0,,,,,,,,
anthony-jones,Anthony Jones,RB,,,,1.0,,,,,,,1.0,,,,,,,,,,1.0,105.0,10.0,2.0,317.0,,
anthony-ratliff-williams,Anthony Ratliff-Williams,WR,,,,,,,,,0.0,,0.0,,,,,,,0.0,0.0,,1.0,243.0,28.0,0.0,4.0,,
antwan-owens,Antwan Owens,DT,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
artayvious-lynn,Artayvious Lynn,TE,,,,,,,,,,,,,,,,,,,,,0.0,68.0,8.0,,,,
austin-jones,Austin Jones,K,,,,,,8.0,,,,,,0.0,1.0,4.0,1.0,1.0,3.0,,,,,,,,,,
austin-macginnis,Austin MacGinnis,K,,,,,,4.0,,,,,,0.0,1.0,1.0,0.0,0.0,2.0,,,,,,,,,,
austrian-robinson,Austrian Robinson,DT,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
bj-emmons,BJ Emmons,RB,,,,,,,,,,,2.0,,,,,,,,,,0.0,105.0,19.0,1.0,242.0,,
bailey-gaither,Bailey Gaither,WR,,,,,,,,,,,,,,,,,,,,,4.0,328.0,24.0,,,,
benny-lemay,Benny LeMay,RB,,,,,,,,,,,,,,,,,,,,,0.0,26.0,3.0,0.0,57.0,,
birmingham-dst,Birmingham DST,DST,,,,,4.0,,7.0,,,11.0,,,,,,,,,,186.0,,,,,,28.0,1.0
birmingham-qb,Birmingham QB,QB/K/MPO,,,,,,26.0,,,7.0,,,0.0,7.0,8.0,4.0,0.0,5.0,14.0,2223.0,,,,,5.0,345.0,,
bo-scarbrough,Bo Scarbrough,RB,,,,,,,,,,,,,,,,,,,,,0.0,57.0,9.0,1.0,392.0,,
bobby-holly,Bobby Holly,RB,,,,,,,,,,,,,,,,,,,,,0.0,7.0,1.0,1.0,52.0,,
bradley-sylve,Bradley Sylve,CB/DB,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
brady-white,Brady White,QB,,,,,,,,,1.0,,0.0,,,,,,,0.0,59.0,,,,,0.0,-3.0,,
braedon-bowman,Braedon Bowman,WR/TE,,,,,,,,,,,0.0,,,,,,,,,,1.0,132.0,13.0,,,,
branden-mack,Branden Mack,WR,,,,,,,,,,,,,,,,,,,,,0.0,38.0,4.0,,,,
brandon-aubrey,Brandon Aubrey,K/PK,,,,,,26.0,,,,,,0.0,7.0,8.0,4.0,0.0,5.0,,,,,,,,,,
brandon-barnes,Brandon Barnes,WR/TE,,,,,,,,,,,0.0,,,,,,,,,,1.0,75.0,8.0,,,,
brandon-wright,Brandon Wright,P/K,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
brayden-patton,Brayden Patton,OL,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
bryan-scott,Bryan Scott,QB,,1.0,,,,,,,2.0,,2.0,,,,,,,5.0,558.0,,0.0,0.0,1.0,1.0,23.0,,
bryce-torneden,Bryce Torneden,S/SAF,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
bug-howard,Bug Howard,WR/TE,,,,,,,,,,,,,,,,,,,,,4.0,386.0,32.0,,,,
cj-marable,CJ Marable,RB,,,,,,,,,,,1.0,,,,,,,,,,0.0,161.0,20.0,5.0,420.0,,
caden-novikoff,Caden Novikoff,K,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,
cam-echols-luper,Cam Echols-Luper,WR,,,,0.0,,,,,0.0,,1.0,,,,,,,0.0,14.0,,0.0,38.0,3.0,1.0,24.0,,
cameron-scarlett,Cameron Scarlett,RB,,,,3.0,,,,,,,1.0,,,,,,,,,,1.0,81.0,15.0,2.0,216.0,,
carlo-kemp,Carlo Kemp,NT/DE,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
cary-angeline,Cary Angeline,TE,,,,,,,,,,,,,,,,,,,,,1.0,152.0,9.0,,,,
