player_id,player_name,positions,attempts,avg,long,td,yards
brad-brennan,Brad Brennan,,12.0,13.3,30.0,1.0,160.0
daisuke-fujinawa,Daisuke Fujinawa,,12.0,7.9,14.0,1.0,95.0
hideki-takida,Hideki Takida,,50.0,7.4,60.0,2.0,371.0
hiroi-suzuki,Hiroi Suzuki,,31.0,6.2,29.0,,191.0
hiroshi-furukawa,Hiroshi Furukawa,,30.0,6.2,39.0,2.0,186.0
hiroshi-karasawa,Hiroshi Karasawa,,12.0,7.3,14.0,,87.0
ikunori-hanna,Ikunori Hanna,,34.0,6.4,40.0,1.0,218.0
junpei-yoshida,Junpei Yoshida,,15.0,11.5,28.0,1.0,172.0
keisuke-fukui,Keisuke Fukui,,11.0,13.3,29.0,1.0,146.0
kōji-hayashi,Kōji Hayashi,,22.0,8.6,51.0,1.0,190.0
manabu-tatsumura,Manabu Tatsumura,,89.0,65.2,759.0,52.0,58.0
masahiro-kanehara,Masahiro Kanehara,,16.0,12.4,32.0,2.0,199.0
masahiro-mizuno,Masahiro Mizuno,,96.0,59.4,476.0,51.0,57.0
masatake-kishino,Masatake Kishino,,98.0,54.1,510.0,32.0,53.0
masayuki-sakurauchi,Masayuki Sakurauchi,,11.0,9.2,25.0,1.0,101.0
mikio-yasuda,Mikio Yasuda,,11.0,11.3,27.0,1.0,124.0
motonori-doteshita,Motonori Doteshita,,57.0,4.2,15.0,,239.0
nozomu-tsuburaya,Nozomu Tsuburaya,,12.0,18.3,59.0,1.0,219.0
ryō-sakamoto,Ryō Sakamoto,,52.0,5.0,32.0,,258.0
satoru-hirate,Satoru Hirate,,38.0,4.3,17.0,2.0,165.0
satoshi-ozaki,Satoshi Ozaki,,11.0,6.1,14.0,,67.0
shingo-isoi,Shingo Isoi,,20.0,7.9,25.0,1.0,157.0
shinji-shimokawa,Shinji Shimokawa,,14.0,10.1,40.0,2.0,141.0
shinya-furutani,Shinya Furutani,,15.0,9.3,21.0,2.0,140.0
shōei-hasegawa,Shōei Hasegawa,,19.0,8.8,15.0,2.0,167.0
shūhei-horita,Shūhei Horita,,40.0,4.3,22.0,,172.0
takahiro-terao,Takahiro Terao,,56.0,5.0,51.0,2.0,281.0
takuya-tanabe,Takuya Tanabe,,36.0,6.5,31.0,2.0,233.0
tarō-kōda,Tarō Kōda,,12.0,8.8,20.0,1.0,105.0
tarō-matsunaga,Tarō Matsunaga,,11.0,8.4,19.0,1.0,92.0
tetsuo-takata,Tetsuo Takata,,80.0,66.3,528.0,25.0,53.0
tsukasa-kawasaki,Tsukasa Kawasaki,,14.0,13.6,61.0,1.0,190.0
tōru-takabayashi,Tōru Takabayashi,,11.0,13.3,32.0,,146.0
yoshiaki-harada,Yoshiaki Harada,,98.0,54.1,536.0,44.0,53.0
yukiharu-isoya,Yukiharu Isoya,,66.0,5.5,47.0,2.0,366.0
yōsuke-ozaki,Yōsuke Ozaki,,92.0,60.9,589.0,46.0,56.0
