player_id,player_name,positions,attempts,avg,long,td,yards
daisuke-mori,Daisuke Mori,,49.0,6.6,36.0,2.0,321.0
eisuke-tōmatsu,Eisuke Tōmatsu,,41.0,7.9,35.0,5.0,323.0
hirokazu-matsuo,Hirokazu Matsuo,,8.0,15.3,38.0,1.0,122.0
hiroki-matsubara,Hiroki Matsubara,,20.0,11.3,21.0,2.0,226.0
hiroshi-karasawa,Hiroshi Karasawa,,87.0,4.3,18.0,,370.0
john-stanton,John Stanton,,31.0,11.5,47.0,10.0,357.0
keita-fujiwara,Keita Fujiwara,,96.0,54.2,684.0,67.0,52.0
keita-saruwatari,Keita Saruwatari,,62.0,4.8,19.0,2.0,295.0
keita-takanohashi,Keita Takanohashi,,46.0,9.5,64.0,9.0,439.0
ken-shimizu,Ken Shimizu,,13.0,12.9,26.0,1.0,168.0
kōji-honda,Kōji Honda,,22.0,15.4,50.0,3.0,339.0
kōji-katō,Kōji Katō,,55.0,7.0,43.0,2.0,382.0
kōtarō-okano,Kōtarō Okano,,20.0,11.7,39.0,1.0,234.0
michihiro-ogawa,Michihiro Ogawa,,28.0,12.3,46.0,7.0,343.0
musashi-yoshida,Musashi Yoshida,,20.0,11.1,29.0,1.0,221.0
naoki-maeda,Naoki Maeda,,29.0,14.1,57.0,3.0,410.0
noriaki-kinoshita,Noriaki Kinoshita,,34.0,18.8,68.0,9.0,640.0
ryōma-hagiyama,Ryōma Hagiyama,,19.0,24.5,61.0,2.0,466.0
shingo-hamada,Shingo Hamada,,67.0,5.4,78.0,5.0,362.0
shinpei-wakashima,Shinpei Wakashima,,21.0,11.1,39.0,1.0,234.0
shinpei-yoshimoto,Shinpei Yoshimoto,,20.0,12.9,51.0,1.0,258.0
shun-sugawara,Shun Sugawara,,79.0,67.1,928.0,66.0,53.0
shun-yokota,Shun Yokota,,80.0,7.0,69.0,17.0,478.0
shōma-endō,Shōma Endō,,26.0,10.4,43.0,4.0,270.0
sō-ninomiya,Sō Ninomiya,,25.0,10.1,25.0,3.0,253.0
taiji-koyama,Taiji Koyama,,8.0,19.8,48.0,1.0,158.0
takeshi-akiyama,Takeshi Akiyama,,14.0,10.4,41.0,1.0,145.0
takuto-hara,Takuto Hara,,39.0,4.4,26.0,,170.0
takuya-furutani,Takuya Furutani,,50.0,7.3,60.0,5.0,363.0
teruaki-clark-nakamura,Teruaki Clark Nakamura,,17.0,13.2,34.0,,223.0
tomokazu-sueyoshi,Tomokazu Sueyoshi,,70.0,6.7,70.0,6.0,468.0
yasushi-nakagawa,Yasushi Nakagawa,,15.0,10.5,27.0,,158.0
yoshinari-iwakura,Yoshinari Iwakura,,19.0,5.0,22.0,1.0,95.0
yūji-saeki,Yūji Saeki,,53.0,5.4,35.0,8.0,285.0
yūsuke-shinshi,Yūsuke Shinshi,,54.0,8.9,36.0,6.0,481.0
yūta-hayashi,Yūta Hayashi,,23.0,13.4,46.0,,309.0
