player_id,player_name,positions,def_ff,def_fr,def_int,def_pd,def_sacks,def_tackles,fg_att,fg_made,gp,kr_no,kr_td,kr_yds,pass_att,pass_cmp,pass_int,pass_td,pass_yds,pat_att,pat_made,pr_no,pr_td,pr_yds,punt_no,punt_yds,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
a-agnimel,A. Agnimel,WR,,,,,,1.0,,,3.0,,,,,,,,,,,,,,,,3.0,,61.0,,,
a-belarbi,A. Belarbi,LB,,,,,,24.0,,,8.0,,,,,,,,,,,,,,,,,,,,,
a-borkovic,A. Borkovic,LB,1.0,1.0,3.0,7.0,1.0,108.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
a-brown,A. Brown,WR,,2.0,,1.0,,9.0,,,8.0,4.0,,78.0,18.0,10.0,,1.0,116.0,,,4.0,,73.0,,,54.0,4.0,678.0,22.0,1.0,97.0
a-buri,A. Buri,LB,,,,3.0,3.5,69.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
a-david-pérez,A. David Pérez,WR,,,,,,,,,7.0,,,,,,,,,,,,,,,,14.0,2.0,163.0,,,
a-dobkowski,A. Dobkowski,LB,,,,,3.5,26.0,,,10.0,,,,,,,,,,,,,,,,,,,,,
a-donkor,A. Donkor,LB,,1.0,,1.0,8.5,39.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
a-drhlík,A. Drhlík,LB,,,,4.0,,23.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
a-fantin,A. Fantin,CB,1.0,,2.0,10.0,,35.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
a-faoro,A. Faoro,LB,,,,,,7.0,,,10.0,,,,,,,,,,,,,,,,,,,,,
a-guillemaud,A. Guillemaud,WR,,,,,,,,,5.0,,,,,,,,,,,,,,,,26.0,3.0,299.0,,,
a-henry-iii,A. Henry III,WR,,1.0,2.0,,,15.0,,,7.0,6.0,,84.0,,,,,,,,2.0,,,,,3.0,,117.0,,,
a-husarevic,A. Husarevic,DT,,,,,,6.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
a-jackson,A. Jackson,WR,,,,,,1.0,,,12.0,36.0,3.0,1045.0,1.0,1.0,,1.0,11.0,,,4.0,,37.0,,,76.0,11.0,1229.0,19.0,4.0,117.0
a-karmakskikh,A. Karmakskikh,CB,,,,1.0,,14.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
a-khalife,A. Khalife,RB,,,,,,2.0,,,5.0,,,,,,,,,,,,,,,,4.0,,20.0,17.0,,35.0
a-kis-prumik,A. Kis-Prumik,WR,,,,,,,,,3.0,,,,,,,,,,,,,,,,2.0,,4.0,,,
a-kreß,A. Kreß,DT,,,,,1.0,12.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
a-källholm,A. Källholm,WR,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
a-luca,A. Luca,,,,,,,1.0,,,8.0,,,,,,,,,,,,,,,,,,,,,
a-marin-navarro,A. Marin Navarro,WR,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,
a-meléndez-lorenzo,A. Meléndez Lorenzo,QB,,,,,,,,,12.0,,,,3.0,,1.0,,,,,,,,,,,,,,,
a-mitchell,A. Mitchell,WR,,2.0,,,,2.0,,,12.0,23.0,,546.0,,,,,,,,15.0,,91.0,,,65.0,14.0,1010.0,7.0,,41.0
a-mizius,A. Mizius,DT,1.0,,,,1.0,16.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
a-olavuo,A. Olavuo,DE,,,,,0.5,27.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
a-pacheco,A. Pacheco,QB,,,,,,,,,3.0,,,,,,,,,,,,,,,,2.0,,46.0,,,
a-perkins-jr,A. Perkins Jr.,QB,,,,,,,,,6.0,,,,160.0,87.0,2.0,3.0,999.0,,,,,,,,,,,55.0,2.0,186.0
a-peter,A. Peter,RB,,,,,,5.0,,,11.0,,,,,,,,,,,,,,,,3.0,1.0,25.0,24.0,1.0,140.0
a-pulpito,A. Pulpito,LB,,,,,,8.0,,,7.0,,,,,,,,,,,,,,,,,,,,,
a-pusztai,A. Pusztai,WR,,,,,,,,,6.0,,,,,,,,,,,,,,,,1.0,,2.0,,,
a-ruiz,A. Ruiz,LB,,,,,,11.0,,,5.0,,,,,,,,,,,,,,,,,,,,,
a-sarría-ballesteros,A. Sarría Ballesteros,P,1.0,,,,,2.0,,,12.0,,,,,,,,,,,,,,39.0,1285.0,,,,,,
a-spillum,A. Spillum,LB,,23.0,3.0,2.0,,73.0,,,12.0,,,,,,,,,,,23.0,,339.0,,,,,,,,
a-vergani,A. Vergani,OT,,,,,,1.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
a-žouželka,A. Žouželka,RB,,,,,,3.0,,,12.0,,,,,,,,,,,,,,,,16.0,,91.0,143.0,3.0,478.0
aaron-große-kleimann,Aaron  Große Kleimann,LB,,,,3.0,3.0,27.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
adam-lary,Adam Lary,CB/LB,1.0,,,6.0,,58.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
adrian-gierczak,Adrian Gierczak,,,,,,,1.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
adrian-gródecki,Adrian Gródecki,WR,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,
adrian-joseph-wentland,Adrian Joseph Wentland,LB,4.0,,1.0,5.0,4.5,166.0,,,12.0,,,,,,,,,,,,,,,,1.0,1.0,3.0,,,
adrian-novella,Adrian Novella,LB,,,,,,2.0,,,6.0,,,,,,,,,,,,,,,,,,,,,
adrian-platzgummer,Adrian Platzgummer,WR,,,,,,,,,12.0,,,,2.0,1.0,,1.0,33.0,,,,,,,,14.0,,230.0,1.0,,16.0
adria-botella-moreno,Adrià Botella Moreno,TE/WR,,,,,,1.0,,,12.0,,,,,,,,,,,,,,,,49.0,6.0,596.0,,,
albert-wiesigstrauch,Albert Wiesigstrauch,RB,,,,,,3.0,,,12.0,4.0,,79.0,,,,,,,,,,,,,44.0,2.0,424.0,107.0,9.0,427.0
alejandro-fernandez-nieto,Alejandro Fernandez Nieto,LB,,,,,,6.0,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,
alexander-boes,Alexander Boes,DT/LB,,,,,,3.0,,,6.0,,,,,,,,,,,,,,,,,,,,,
alexander-reischl,Alexander Reischl,QB,,,,,,,,,4.0,,,,24.0,13.0,,1.0,166.0,,,,,,,,,,,5.0,1.0,56.0
alexander-watholowitsch,Alexander Watholowitsch,LB,,1.0,,,0.5,38.0,,,7.0,,,,,,,,,,,,,,,,,,,,,
alexandre-gonzalez-posito,Alexandre Gonzalez Posito,LB,,,,,,46.0,,,7.0,,,,,,,,,,,,,,,,,,,,,
amir-kilani,Amir Kilani,DB/LB,1.0,2.0,,3.0,1.0,42.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
andy-vera,Andy Vera,LB,,4.0,2.0,3.0,,35.0,,,10.0,4.0,,61.0,,,,,,,,3.0,,24.0,,,,,,,,
anthony-mahoungou,Anthony Mahoungou,WR,,,,,,,,,7.0,,,,,,,,,,,,,,,,5.0,1.0,60.0,,,
anthony-williams,Anthony Williams,DB/LB,,,,1.0,,5.0,,,9.0,,,,,,,,,,,,,,,,,,,,,
anton-wegan,Anton Wegan,RB,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,17.0
antoni-montón,Antoni Montón,RB,,,,,,1.0,,,7.0,5.0,,59.0,,,,,,,,1.0,,22.0,,,17.0,,104.0,65.0,,131.0
arnoud-holierhoek,Arnoud Holierhoek,,,,,,,2.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
artur-pinheiro,Artur Pinheiro,DL/LB,,,,,,5.0,,,6.0,,,,,,,,,,,,,,,,,,,,,
aslan-zetterberg,Aslan Zetterberg,DL/LB,,,,,0.5,23.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
b-abdelhalim-gamaleldin,B. Abdelhalim Gamaleldin,CB,,2.0,1.0,1.0,,39.0,,,12.0,,,,,,,,,,,,,,70.0,2219.0,,,,1.0,,
b-bodnár,B. Bodnár,LB,,2.0,,,3.5,76.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
b-bofenda,B. Bofenda,WR,,,,,,1.0,,,12.0,,,,,,,,,,,,,,,,15.0,,162.0,,,
b-botha,B. Botha,DT,,,,,0.5,4.0,,,3.0,,,,,,,,,,,,,,,,,,,,,
b-butler,B. Butler,WR,,,,,,4.0,,,12.0,7.0,,155.0,,,,,,,,,,,,,1.0,,,,,
b-colomé-carbonell,B. Colomé Carbonell,,,1.0,2.0,9.0,,47.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
b-dorner,B. Dorner,DT,,,,,,7.0,,,10.0,,,,,,,,,,,,,,,,,,,,,
b-fodor,B. Fodor,RB,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,10.0,,53.0
b-fröhlich,B. Fröhlich,WR,,,,,,9.0,,,11.0,,,,,,,,,,,,,,,,22.0,2.0,258.0,,,
b-gráber,B. Gráber,DT,,,,,,6.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
b-hansel,B. Hansel,CB,,,,1.0,,2.0,,,3.0,,,,,,,,,,,,,,,,,,,,,
b-harris,B. Harris,CB,3.0,4.0,4.0,11.0,,44.0,,,9.0,12.0,,313.0,,,,,,,,9.0,2.0,42.0,,,,,,,,
b-holmes,B. Holmes,QB,,,,,,,,,10.0,,,,301.0,187.0,5.0,34.0,2603.0,,,,,,,,,,,28.0,,142.0
b-horváth,B. Horváth,CB,,1.0,,3.0,,19.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
b-kéri,B. Kéri,OG,,,,,,2.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
b-liedlbauer,B. Liedlbauer,RB,,,,,,3.0,,,12.0,,,,,,,,,,,,,,,,1.0,,1.0,46.0,2.0,277.0
b-mawuena,B. Mawuena,DE,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,
b-mosor,B. Mosor,DE,,1.0,,1.0,2.0,26.0,,,6.0,,,,,,,,,,,,,,,,,,,,,
b-perauer,B. Perauer,WR,,,,,,1.0,,,5.0,,,,,,,,,,,,,,,,1.0,,16.0,,,
b-pohler,B. Pohler,RB,,,,,,,,,11.0,,,,,,,,,,,,,,,,7.0,1.0,89.0,39.0,4.0,234.0
b-richard,B. Richard,CB,,,2.0,6.0,1.0,20.0,,,6.0,,,,,,,,,,,,,,,,,,,,,
b-roppelt,B. Roppelt,P,,,,,,,,,5.0,,,,,,,,,,,,,,14.0,330.0,,,,,,
b-sauer,B. Sauer,,,,,,,9.0,,,9.0,,,,,,,,,,,,,,,,,,,,,
b-winter,B. Winter,WR,,,,,,,,,3.0,,,,,,,,,,,,,,,,4.0,1.0,23.0,,,
bais-kouanda,Bais Kouanda,WR,,,,,,,,,10.0,,,,,,,,,,,,,,,,38.0,3.0,521.0,1.0,,
bartosz-dziedzic,Bartosz Dziedzic,WR,,,,,,,,,10.0,,,,2.0,,1.0,,,,,,,,,,2.0,,20.0,,,
ben-baierl,Ben Baierl,DL/LB,,,,1.0,3.0,20.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
ben-wenzler,Ben Wenzler,CB/LB,,,2.0,6.0,,29.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
