player_id,player_name,positions,assists,blocks,d_points,goals,o_points,plus_minus,touches,turnovers
abby-swensen,Abby Swensen,,8.0,6.0,21.0,16.0,55.0,22.0,62.0,8.0
alex-ballinger,Alex Ballinger,,4.0,8.0,55.0,,31.0,1.0,99.0,11.0
alex-krueger,Alex Krueger,,,,26.0,3.0,34.0,-7.0,60.0,10.0
alicia-carr,Alicia Carr,,1.0,,41.0,,13.0,-3.0,54.0,4.0
allegra-johnson-mckee,Allegra Johnson McKee,,1.0,,11.0,,5.0,1.0,2.0,
allie-wallace,Allie Wallace,,7.0,1.0,39.0,8.0,20.0,14.0,62.0,2.0
allison-allie-mueting,"Allison ""Allie"" Mueting",,,1.0,24.0,1.0,7.0,2.0,5.0,
amanda-murphy,Amanda Murphy,,3.0,3.0,20.0,7.0,9.0,8.0,56.0,5.0
amelia-zdechlik,Amelia Zdechlik,,2.0,,46.0,,5.0,1.0,13.0,1.0
amy-broome,Amy Broome,,3.0,1.0,29.0,1.0,27.0,-5.0,73.0,10.0
anna-wozniak,Anna Wozniak,,,2.0,17.0,2.0,4.0,4.0,6.0,
annalise-paul,Annalise Paul,,,3.0,22.0,2.0,12.0,2.0,28.0,3.0
annelise-peters,Annelise Peters,,6.0,3.0,32.0,2.0,6.0,2.0,58.0,9.0
annie-ortiz,Annie Ortiz,,,3.0,24.0,1.0,30.0,1.0,70.0,3.0
annie-shriver,Annie Shriver,,2.0,5.0,8.0,4.0,59.0,-8.0,61.0,19.0
ariel-choi,Ariel Choi,,,,11.0,,1.0,-1.0,3.0,1.0
ashleigh-jentilet,Ashleigh Jentilet,,9.0,10.0,48.0,12.0,12.0,16.0,64.0,15.0
breanna-snipes,Breanna Snipes,,,1.0,21.0,1.0,9.0,1.0,7.0,1.0
briana-burriss,Briana Burriss,,,3.0,50.0,1.0,11.0,3.0,20.0,1.0
caitlin-aycock,Caitlin Aycock,,,,3.0,,6.0,-2.0,2.0,2.0
caitlin-duffner,Caitlin Duffner,,1.0,9.0,8.0,7.0,67.0,9.0,69.0,8.0
candy-bolte,Candy Bolte,,,,2.0,,3.0,-2.0,5.0,2.0
carly-eckstrom,Carly Eckstrom,,,1.0,9.0,,,-1.0,6.0,2.0
caroline-tornquist,Caroline Tornquist,,1.0,1.0,6.0,2.0,10.0,3.0,10.0,1.0
carolyn-normile,Carolyn Normile,,3.0,4.0,22.0,5.0,22.0,4.0,97.0,8.0
cassandra-cassie-brown,"Cassandra ""Cassie"" Brown",,13.0,5.0,76.0,2.0,23.0,6.0,147.0,14.0
charlotte-doran,Charlotte Doran,,1.0,3.0,14.0,3.0,27.0,,87.0,7.0
charlotte-wilson,Charlotte Wilson,,2.0,,21.0,1.0,45.0,1.0,98.0,2.0
chelsea-semper,Chelsea Semper,,2.0,2.0,44.0,1.0,19.0,-2.0,56.0,7.0
chelsea-twohig,Chelsea Twohig,,8.0,4.0,24.0,6.0,33.0,9.0,65.0,9.0
chloe-greene,Chloe Greene,,,,6.0,,6.0,-3.0,32.0,3.0
christina-mariscano,Christina Mariscano,,,2.0,5.0,,4.0,1.0,2.0,1.0
claire-kelley,Claire Kelley,,,,,3.0,19.0,1.0,18.0,2.0
claire-milton,Claire Milton,,11.0,2.0,20.0,13.0,63.0,18.0,88.0,8.0
claire-trop,Claire Trop,,6.0,3.0,17.0,6.0,14.0,7.0,58.0,8.0
clara-stewart,Clara Stewart,,10.0,3.0,14.0,1.0,56.0,-1.0,201.0,15.0
clare-frantz,Clare Frantz,,3.0,1.0,25.0,6.0,16.0,7.0,36.0,3.0
courtney-walbe,Courtney Walbe,,1.0,1.0,40.0,,6.0,-5.0,24.0,7.0
dana-demmert,Dana Demmert,,1.0,3.0,27.0,3.0,40.0,-5.0,48.0,12.0
dani-ortiz,Dani Ortiz,,9.0,1.0,15.0,1.0,66.0,-5.0,126.0,16.0
donna-johnston,Donna Johnston,,1.0,,44.0,1.0,9.0,-4.0,33.0,6.0
dre-esparza,Dre Esparza,,1.0,,8.0,,,,24.0,1.0
eileen-bequette,Eileen Bequette,,2.0,9.0,39.0,8.0,23.0,13.0,25.0,6.0
elena-rubino,Elena Rubino,,2.0,7.0,37.0,6.0,20.0,12.0,18.0,3.0
elise-bjork,Elise Bjork,,5.0,1.0,10.0,3.0,57.0,-3.0,171.0,12.0
elise-erickson,Elise Erickson,,,,1.0,,3.0,-1.0,5.0,1.0
elise-franke,Elise Franke,,,6.0,44.0,6.0,15.0,11.0,45.0,1.0
elizabeth-burkhardt,Elizabeth Burkhardt,,,,18.0,1.0,4.0,,15.0,1.0
elle-mayer,Elle Mayer,,1.0,,4.0,,18.0,-2.0,21.0,3.0
ellen-mueller,Ellen Mueller,,2.0,,37.0,9.0,7.0,7.0,35.0,4.0
elly-fireside-ostergaard,Elly Fireside-Ostergaard,,,1.0,48.0,6.0,16.0,6.0,17.0,1.0
emery-otopalik,Emery Otopalik,,5.0,1.0,36.0,4.0,33.0,,32.0,10.0
emily-branson,Emily Branson,,3.0,1.0,13.0,8.0,63.0,-4.0,138.0,16.0
emily-cohen,Emily Cohen,,,,1.0,,7.0,-1.0,6.0,1.0
emily-schloneger,Emily Schloneger,,3.0,1.0,15.0,3.0,63.0,2.0,64.0,5.0
emily-wyckoff,Emily Wyckoff,,,3.0,47.0,,16.0,,23.0,3.0
emma-berrigan,Emma Berrigan,,1.0,5.0,37.0,1.0,9.0,7.0,9.0,
emma-jaschke,Emma Jaschke,,,1.0,33.0,1.0,17.0,-3.0,43.0,5.0
emma-jones,Emma Jones,,3.0,1.0,35.0,,5.0,3.0,34.0,1.0
emma-patterson,Emma Patterson,,2.0,1.0,41.0,,12.0,-3.0,45.0,6.0
emma-peaslee,Emma Peaslee,,1.0,4.0,8.0,5.0,46.0,5.0,39.0,5.0
emma-piorier,Emma Piorier,,2.0,3.0,10.0,15.0,64.0,11.0,66.0,9.0
erica-baken,Erica Baken,,19.0,3.0,10.0,4.0,67.0,6.0,191.0,20.0
erin-mccann,Erin McCann,,4.0,9.0,40.0,2.0,12.0,14.0,43.0,1.0
erin-newman,Erin Newman,,,,,2.0,35.0,,10.0,2.0
erynn-schroeder,Erynn Schroeder,,15.0,5.0,10.0,,77.0,-34.0,219.0,54.0
evelina-pierce,Evelina Pierce,,1.0,,1.0,,4.0,1.0,2.0,
fiona-cashin,Fiona Cashin,,1.0,,9.0,1.0,7.0,,13.0,2.0
florence-brooks,Florence Brooks,,2.0,4.0,28.0,9.0,9.0,11.0,31.0,4.0
gabriella-gaby-cuina,"Gabriella ""Gaby"" Cuina",,1.0,2.0,23.0,,20.0,2.0,17.0,1.0
georgia-tse,Georgia Tse,,,,1.0,,,,,
grace-robinson,Grace Robinson,,2.0,2.0,18.0,4.0,68.0,-5.0,148.0,13.0
graham-cunningham,Graham Cunningham,,1.0,2.0,27.0,2.0,5.0,3.0,34.0,2.0
hannah-abraham,Hannah Abraham,,1.0,4.0,36.0,6.0,25.0,7.0,62.0,4.0
heidi-umhoefer,Heidi Umhoefer,,1.0,1.0,19.0,2.0,10.0,4.0,12.0,
jackie-wang,Jackie Wang,,7.0,7.0,48.0,2.0,11.0,10.0,117.0,6.0
jacqueline-jarik,Jacqueline Jarik,,7.0,9.0,33.0,6.0,44.0,5.0,61.0,17.0
jaime-estes,Jaime Estes,,6.0,2.0,10.0,6.0,59.0,4.0,87.0,10.0
jalyn-baumgartner,Jalyn Baumgartner,,,2.0,34.0,1.0,9.0,,10.0,3.0
jamie-eriksson,Jamie Eriksson,,5.0,4.0,26.0,4.0,6.0,7.0,37.0,6.0
jamie-smets,Jamie Smets,,,1.0,15.0,2.0,2.0,2.0,8.0,1.0
jane-koch,Jane Koch,,7.0,4.0,41.0,5.0,9.0,12.0,35.0,4.0
jasmine-anand,Jasmine Anand,,,,3.0,,,,2.0,
jean-huang,Jean Huang,,2.0,1.0,14.0,3.0,18.0,-1.0,71.0,7.0
jennifer-lin,Jennifer Lin,,,,6.0,1.0,13.0,-1.0,19.0,2.0
jess-oh,Jess Oh,,7.0,3.0,49.0,3.0,10.0,8.0,112.0,5.0
jessica-jess-hendrickson,"Jessica ""Jess"" Hendrickson",,,5.0,48.0,3.0,2.0,7.0,19.0,1.0
jessica-jess-sourbeer,"Jessica ""Jess"" Sourbeer",,6.0,2.0,36.0,1.0,11.0,1.0,96.0,8.0
jocelyn-jessop,Jocelyn Jessop,,4.0,1.0,23.0,5.0,31.0,4.0,60.0,6.0
jordan-harn,Jordan Harn,,,3.0,34.0,1.0,20.0,-6.0,57.0,10.0
julian-hill,Julian Hill,TE,1.0,2.0,43.0,2.0,1.0,2.0,19.0,3.0
kami-groom,Kami Groom,,8.0,12.0,56.0,13.0,13.0,28.0,115.0,5.0
katharine-gilbert,Katharine Gilbert,,3.0,3.0,19.0,4.0,91.0,-20.0,319.0,30.0
kathryn-ritzman,Kathryn Ritzman,,3.0,2.0,17.0,4.0,17.0,2.0,53.0,7.0
katrina-kat-mcguire,"Katrina ""Kat"" McGuire",,6.0,1.0,25.0,2.0,26.0,,56.0,9.0
kelly-kerker,Kelly Kerker,,,1.0,44.0,2.0,11.0,-1.0,22.0,4.0
kerry-younts,Kerry Younts,,,2.0,7.0,1.0,1.0,2.0,5.0,1.0
kinsey-neas,Kinsey Neas,,,2.0,32.0,3.0,6.0,,30.0,5.0
kristin-dudley,Kristin Dudley,,5.0,,9.0,3.0,40.0,-2.0,114.0,10.0
laura-gerencser,Laura Gerencser,,5.0,1.0,9.0,2.0,53.0,6.0,124.0,2.0
laureen-johnson,Laureen Johnson,,2.0,3.0,25.0,8.0,9.0,12.0,23.0,1.0
lauren-kitten,Lauren Kitten,,5.0,3.0,43.0,3.0,27.0,-4.0,99.0,15.0
leah-shorb,Leah Shorb,,1.0,2.0,26.0,2.0,9.0,4.0,12.0,1.0
liliana-lili-hobday,"Liliana ""Lili"" Hobday",,3.0,2.0,49.0,3.0,13.0,4.0,61.0,4.0
lilli-popovich,Lilli Popovich,,1.0,3.0,15.0,6.0,28.0,6.0,33.0,4.0
lindsi-allman,Lindsi Allman,,,,,1.0,12.0,-2.0,28.0,3.0
lisa-dang,Lisa Dang,,4.0,3.0,26.0,,26.0,1.0,151.0,6.0
lisi-lohre,Lisi Lohre,,3.0,1.0,23.0,3.0,8.0,2.0,33.0,5.0
liv-ford,Liv Ford,,12.0,3.0,29.0,1.0,43.0,-6.0,125.0,22.0
louise-beck,Louise Beck,,,,,1.0,14.0,,15.0,1.0
mackenzie-bailey,Mackenzie Bailey,,2.0,,10.0,,13.0,1.0,25.0,1.0
maddie-pletzke,Maddie Pletzke,,1.0,,27.0,,6.0,-3.0,11.0,4.0
madelyn-maddy-easton,"Madelyn ""Maddy"" Easton",,5.0,,32.0,2.0,25.0,-2.0,39.0,9.0
madison-madi-cannon,"Madison ""Madi"" Cannon",,10.0,5.0,12.0,14.0,56.0,21.0,121.0,8.0
madison-lang,Madison Lang,,3.0,,4.0,1.0,30.0,-3.0,69.0,7.0
maggie-rowell,Maggie Rowell,,1.0,7.0,25.0,6.0,30.0,10.0,46.0,4.0
makella-daley,Makella Daley,,13.0,,12.0,2.0,83.0,,226.0,15.0
maketa-mattimore,Maketa Mattimore,,11.0,3.0,45.0,2.0,45.0,4.0,196.0,12.0
manhua-zhu,ManHua Zhu,,2.0,,18.0,,30.0,-5.0,67.0,7.0
mandy-radike,Mandy Radike,,,1.0,13.0,1.0,2.0,,13.0,2.0
maple-adkins-threats,Maple Adkins-Threats,,,1.0,15.0,,1.0,,4.0,1.0
margaret-marge-walker,"Margaret ""Marge"" Walker",,7.0,3.0,21.0,2.0,21.0,4.0,112.0,8.0
marie-perivier,Marie Perivier,,7.0,6.0,36.0,5.0,23.0,8.0,61.0,10.0
martha-wilber,Martha Wilber,,6.0,3.0,15.0,3.0,36.0,-3.0,97.0,15.0
mary-cowart,Mary Cowart,,,,19.0,1.0,9.0,1.0,6.0,
mary-timmons,Mary Timmons,,1.0,2.0,48.0,4.0,11.0,3.0,26.0,4.0
mary-turner,Mary Turner,,,3.0,19.0,1.0,27.0,-1.0,25.0,5.0
maria-vargas,María Vargas,,3.0,3.0,11.0,1.0,23.0,2.0,85.0,5.0
mattea-swegles,Mattea Swegles,,,1.0,18.0,,11.0,-1.0,9.0,2.0
megan-meg-duffy,"Megan ""Meg"" Duffy",,3.0,,17.0,1.0,18.0,-4.0,39.0,8.0
megan-jarriel,Megan Jarriel,,3.0,5.0,37.0,3.0,54.0,6.0,104.0,5.0
megan-mendieta,Megan Mendieta,,2.0,2.0,18.0,,,,39.0,4.0
megan-randall,Megan Randall,,,,18.0,,2.0,,4.0,
mia-griner,Mia Griner,,8.0,6.0,46.0,9.0,50.0,10.0,152.0,13.0
mia-wieben,Mia Wieben,,,,9.0,,5.0,-1.0,4.0,1.0
mickela-heilicher,Mickela Heilicher,,,1.0,25.0,1.0,13.0,-7.0,43.0,9.0
mindy-radike,Mindy Radike,,,,11.0,,5.0,-3.0,22.0,3.0
molly-roy,Molly Roy,,,,5.0,,3.0,-1.0,8.0,1.0
morgan-lally,Morgan Lally,,6.0,5.0,51.0,5.0,32.0,12.0,101.0,4.0
mya-hernandez,Mya Hernandez,,2.0,3.0,18.0,6.0,38.0,4.0,64.0,7.0
naomi-anderson,Naomi Anderson,,,3.0,17.0,2.0,12.0,-5.0,40.0,10.0
nikki-gilbert,Nikki Gilbert,,6.0,4.0,18.0,12.0,54.0,13.0,88.0,9.0
noel-holmes,Noel Holmes,,,1.0,23.0,1.0,22.0,-3.0,39.0,5.0
olympia-walker,Olympia Walker,,,,3.0,,1.0,,1.0,
paige-carver,Paige Carver,,,,23.0,1.0,5.0,-1.0,8.0,2.0
penelope-penny-wu,"Penelope ""Penny"" Wu",,10.0,5.0,44.0,,14.0,-15.0,101.0,30.0
quincy-booth,Quincy Booth,,5.0,,9.0,3.0,23.0,3.0,63.0,5.0
rachel-barr,Rachel Barr,,,,17.0,,18.0,-4.0,12.0,4.0
rachel-hildebrand,Rachel Hildebrand,,,,4.0,,3.0,-1.0,3.0,1.0
rachel-johnson,Rachel Johnson,,6.0,1.0,53.0,1.0,24.0,-4.0,94.0,12.0
rachel-mast,Rachel Mast,,7.0,5.0,15.0,7.0,56.0,9.0,86.0,10.0
regina-barcio,Regina Barcio,,,,5.0,,,,,
riely-kuznicki,Riely Kuznicki,,,3.0,10.0,,2.0,2.0,2.0,1.0
risa-umeno,Risa Umeno,,3.0,3.0,53.0,1.0,18.0,,97.0,7.0
rose-glinka,Rose Glinka,,5.0,1.0,4.0,3.0,61.0,2.0,99.0,7.0
samantha-sam-li,"Samantha ""Sam"" Li",,,,2.0,2.0,46.0,-2.0,57.0,4.0
samantha-philips,Samantha Philips,,2.0,1.0,16.0,2.0,36.0,,111.0,5.0
sami-smalling,Sami Smalling,,5.0,3.0,35.0,1.0,11.0,6.0,81.0,3.0
sara-helm,Sara Helm,,,2.0,46.0,1.0,6.0,2.0,6.0,1.0
sarah-kingsley-hart,Sarah Kingsley-Hart,,,1.0,10.0,5.0,35.0,5.0,33.0,1.0
sarah-meckstroth,Sarah Meckstroth,,7.0,3.0,9.0,14.0,43.0,4.0,70.0,20.0
sarah-mondschein,Sarah Mondschein,,6.0,4.0,65.0,6.0,26.0,4.0,42.0,12.0
shani-rosenthal,Shani Rosenthal,,6.0,,9.0,6.0,32.0,6.0,40.0,6.0
shirlee-wohl,Shirlee Wohl,,12.0,1.0,3.0,,46.0,1.0,176.0,12.0
shirley-saunders,Shirley Saunders,,2.0,1.0,14.0,3.0,27.0,3.0,23.0,3.0
shiru-liu,Shiru Liu,,10.0,2.0,41.0,,24.0,-8.0,116.0,20.0
sierra-rimmer,Sierra Rimmer,,1.0,,11.0,,3.0,-2.0,18.0,3.0
soju-hokari,Soju Hokari,,3.0,2.0,11.0,,29.0,-1.0,61.0,6.0
stef-bugasch,Stef Bugasch,,1.0,2.0,2.0,3.0,37.0,1.0,41.0,5.0
stephanie-steph-rupp,"Stephanie ""Steph"" Rupp",,5.0,2.0,12.0,3.0,68.0,3.0,133.0,7.0
stephanie-steph-wood,"Stephanie ""Steph"" Wood",,13.0,5.0,17.0,8.0,80.0,17.0,111.0,9.0
