player_id,player_name,positions,def_ff,def_fr,def_int,def_pd,def_sacks,def_tackles,fg_att,fg_made,gp,kr_no,kr_td,kr_yds,pass_att,pass_cmp,pass_int,pass_td,pass_yds,pat_att,pat_made,pr_no,pr_td,pr_yds,punt_no,punt_yds,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
a-black,A. Black,LB,2.0,1.0,1.0,1.0,4.0,82.0,,,7.0,,,,,,,,,,,,,,,,,,,,,
a-borkovic,A. Borkovic,LB,1.0,1.0,1.0,3.0,1.0,29.0,,,5.0,,,,,,,,,,,,,,,,,,,,,
a-braunsperger,A. Braunsperger,RB,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,3.0,2.0,27.0,,,
a-buri,A. Buri,LB,,1.0,2.0,1.0,0.5,67.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
a-dula,A. Dula,DE,,,,,,11.0,,,9.0,,,,,,,,,,,,,,,,,,,,,
a-fantin,A. Fantin,CB,,,2.0,2.0,,28.0,,,10.0,,,,,,,,,,,,,,,,,,,,,
a-fiammenghi,A. Fiammenghi,WR,,,,,,,,,12.0,6.0,,111.0,,,,,,,,,,,,,11.0,1.0,140.0,,,
a-fiedler,A. Fiedler,TE,,,,,,4.0,,,5.0,,,,,,,,,,,,,,,,4.0,,39.0,,,
a-garcia-muñoz,A. Garcia Muñoz,WR,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,
a-gianera,A. Gianera,LB,,,,,,8.0,,,10.0,,,,,,,,,,,,,,,,,,,,,
a-gracia-iborra,A. Gracia Iborra,WR,,,,,,1.0,,,8.0,,,,,,,,,,,,,,,,,,,,,
a-hayek,A. Hayek,DE,,,,,,2.0,,,3.0,,,,,,,,,,,,,,,,,,,,,
a-husarevic,A. Husarevic,DT,,,,,,3.0,,,10.0,,,,,,,,,,,,,,,,,,,,,
a-jackson,A. Jackson,WR,,,,,,3.0,,,11.0,34.0,2.0,899.0,1.0,,,,,,,25.0,1.0,417.0,,,67.0,15.0,886.0,,,
a-karmakskikh,A. Karmakskikh,CB,,,,1.0,,7.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
a-khalife,A. Khalife,RB,,,,,,3.0,,,11.0,,,,2.0,,1.0,,,,,,,,,,28.0,4.0,196.0,98.0,3.0,387.0
a-kreß,A. Kreß,DT,,,,,1.0,18.0,,,12.0,,,,,,,,,,,1.0,,28.0,,,,,,,,
a-minton,A. Minton,WR,,,,,,,,,9.0,,,,,,,,,,,,,,,,5.0,,28.0,,,
