player_id,player_name,positions,attempts,avg,long,td,yards
akimitsu-mori,Akimitsu Mori,,20.0,13.7,51.0,3.0,273.0
asaki-mochizuki,Asaki Mochizuki,,54.0,4.7,16.0,11.0,256.0
benjamin-dupree,Benjamin Dupree,,98.0,7.7,74.0,12.0,752.0
fumitaka-obana,Fumitaka Obana,,83.0,4.8,28.0,4.0,396.0
hayato-araki,Hayato Araki,,40.0,6.5,37.0,3.0,261.0
hidehito-tokushima,Hidehito Tokushima,,55.0,8.7,56.0,3.0,476.0
hidetsugu-takaoka,Hidetsugu Takaoka,,89.0,2.9,36.0,2.0,258.0
hiroki-nakamoto,Hiroki Nakamoto,,88.0,59.1,574.0,35.0,52.0
hiromi-katō,Hiromi Katō,,30.0,8.8,38.0,,263.0
john-stanton,John Stanton,,30.0,13.6,64.0,3.0,407.0
katsuya-nagakawa,Katsuya Nagakawa,,20.0,14.0,58.0,3.0,280.0
kei-gotō,Kei Gotō,,44.0,6.4,70.0,4.0,281.0
keisuke-shizuya,Keisuke Shizuya,,42.0,6.1,34.0,2.0,254.0
keita-saruwatari,Keita Saruwatari,,69.0,3.8,19.0,3.0,264.0
kurama-tanaka,Kurama Tanaka,,31.0,8.2,40.0,1.0,253.0
kōhei-tahara,Kōhei Tahara,,78.0,66.7,581.0,51.0,52.0
masahiro-asō,Masahiro Asō,,22.0,16.2,48.0,3.0,357.0
naoki-maeda,Naoki Maeda,,25.0,11.4,46.0,4.0,286.0
noriaki-kinoshita,Noriaki Kinoshita,,22.0,13.4,41.0,1.0,295.0
roman-wilson,Roman Wilson,WR,52.0,18.8,67.0,14.0,975.0
ryō-takagi,Ryō Takagi,,63.0,8.2,63.0,6.0,516.0
ryōhei-sasaki,Ryōhei Sasaki,,83.0,3.1,31.0,2.0,260.0
ryōma-hagiyama,Ryōma Hagiyama,,27.0,13.4,71.0,4.0,363.0
ryōsuke-ogata,Ryōsuke Ogata,,51.0,6.2,47.0,5.0,315.0
seitarō-iwasaki,Seitarō Iwasaki,,22.0,7.3,15.0,,160.0
shinichi-maekawa,Shinichi Maekawa,,49.0,5.3,44.0,5.0,261.0
shinpei-wakashima,Shinpei Wakashima,,22.0,8.8,28.0,,193.0
shunsuke-kikuchi,Shunsuke Kikuchi,,55.0,5.4,29.0,4.0,299.0
shunsuke-sofue,Shunsuke Sofue,,20.0,11.5,23.0,3.0,230.0
shunsuke-wada,Shunsuke Wada,,20.0,17.3,48.0,3.0,345.0
takashi-sakoda,Takashi Sakoda,,60.0,4.4,37.0,4.0,265.0
takeshi-akiyama,Takeshi Akiyama,,21.0,12.0,38.0,4.0,252.0
takeyuki-suzuki,Takeyuki Suzuki,,22.0,8.1,18.0,1.0,178.0
takumi-takahashi,Takumi Takahashi,,30.0,6.6,15.0,1.0,199.0
takushirō-hata,Takushirō Hata,,79.0,70.9,666.0,41.0,56.0
takuto-hara,Takuto Hara,,23.0,12.1,58.0,4.0,279.0
tataeru-nakanishi,Tataeru Nakanishi,,45.0,5.7,45.0,2.0,256.0
tatsuya-tonka,Tatsuya Tonka,,29.0,14.2,34.0,4.0,413.0
tomokazu-sueyoshi,Tomokazu Sueyoshi,,64.0,8.6,59.0,12.0,552.0
yasuhiro-miyamoto,Yasuhiro Miyamoto,,20.0,12.3,37.0,2.0,246.0
yasuhiro-suzuki,Yasuhiro Suzuki,,53.0,5.2,32.0,7.0,275.0
yutaka-tatsumi,Yutaka Tatsumi,,36.0,8.9,62.0,2.0,322.0
yūhei-yamaguchi,Yūhei Yamaguchi,,51.0,7.2,41.0,1.0,369.0
yūji-mizuno,Yūji Mizuno,,32.0,9.5,25.0,5.0,304.0
yūki-shirakami,Yūki Shirakami,,67.0,9.6,85.0,7.0,645.0
yūta-hayashi,Yūta Hayashi,,32.0,19.8,99.0,5.0,634.0
