player_id,player_name,positions,assists,games_played,goals,penalty_minutes,points
adam-charalambides,Adam Charalambides,P,33.0,18.0,14.0,2.0,47.0
adam-jay,Adam Jay,P,1.0,9.0,1.0,15.0,2.0
adam-wiedemann,Adam Wiedemann,P,11.0,18.0,3.0,12.0,14.0
aden-walsh,Aden Walsh,G,,2.0,,,
alex-pace,Alex Pace,P,4.0,17.0,1.0,6.0,5.0
andrew-kew,Andrew Kew,P,26.0,15.0,33.0,,59.0
austin-shanks,Austin Shanks,P,34.0,17.0,31.0,10.0,65.0
ben-mcintosh,Ben McIntosh,P,19.0,16.0,31.0,8.0,50.0
billy-hostrawser,Billy Hostrawser,P,3.0,17.0,,44.0,3.0
bobby-kidd-iii,Bobby Kidd III,P,10.0,17.0,3.0,,13.0
brad-kri,Brad Kri,P,7.0,18.0,5.0,46.0,12.0
brendan-bomberry,Brendan Bomberry,P,36.0,18.0,26.0,12.0,62.0
brett-mcintyre,Brett McIntyre,P,,2.0,,,
brett-mydske,Brett Mydske,P,10.0,18.0,2.0,22.0,12.0
bryan-cole,Bryan Cole,P,17.0,17.0,11.0,14.0,28.0
cameron-dunkerley,Cameron Dunkerley,G/OL,,3.0,,,
challen-rogers,Challen Rogers,P,28.0,18.0,21.0,14.0,49.0
chris-boushy,Chris Boushy,P,21.0,17.0,26.0,13.0,47.0
chris-corbeil,Chris Corbeil,P,13.0,17.0,1.0,7.0,14.0
chris-weier,Chris Weier,P,1.0,4.0,1.0,,2.0
christian-del-bianco,Christian Del Bianco,G,,18.0,,,
christopher-origlieri,Christopher Origlieri,G,,17.0,,,
clark-walter,Clark Walter,P,,1.0,,,
clarke-petterson,Clarke Petterson,P,46.0,17.0,26.0,8.0,72.0
cody-jamieson,Cody Jamieson,P,43.0,16.0,17.0,7.0,60.0
colton-armstrong,Colton Armstrong,P,7.0,17.0,6.0,6.0,13.0
connor-mcclelland,Connor McClelland,P,3.0,17.0,4.0,14.0,7.0
connor-robinson,Connor Robinson,P,29.0,18.0,42.0,,71.0
corey-small,Corey Small,P,35.0,16.0,30.0,2.0,65.0
curtis-dickson,Curtis Dickson,P,40.0,15.0,42.0,11.0,82.0
curtis-romanchych,Curtis Romanchych,P,,1.0,,,
