player_id,player_name,positions,1pt_conversion,3pt_other,3pt_pass,blocked_punt,conversions,dst_touchdown,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,missed,pass_defended,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
aj-hendy,A.J. Hendy,DB/FS,0.0,,,,0.0,,,,,,,,2.0,,,,,,,,,,36.0
aj-mccarron,AJ McCarron,QB,1.0,,1.0,,11.0,,,,6.0,,2.0,,,24.0,2150.0,,,,,1.0,100.0,,
abram-smith,Abram Smith,RB,0.0,,,,0.0,,,,,,2.0,,,,,,,91.0,13.0,7.0,788.0,,
adam-sparks,Adam Sparks,DB/CB,,,,,,,,,,1.0,,,4.0,,,,,,,,,,31.5
adrian-killins,Adrian Killins,RB,,,,,,,,,,,,,,,0.0,,,1.0,1.0,,3.0,,
ajene-harris,Ajene Harris,CB/DB,,,,,,,,1.0,,4.0,,,7.0,,,,,19.0,1.0,,3.0,,31.0
alex-ellis,Alex Ellis,TE,0.0,,,,2.0,,,,,,,,,,,,4.0,59.0,8.0,,,,
alexander-myres,Alexander Myres,DB,,,,,,,,,,,,,,,,,,,,,,1.0,2.0
alijah-holder,Alijah Holder,DB/FS/S,,,,,,,,,,,,,5.0,,,,,,,,,,14.0
alize-mack,Alize Mack,TE,,,,,,,,,,,,,,,,,1.0,230.0,28.0,,,,
andre-mintze,Andre Mintze,LB/DE,,,,,,,,,,,,,1.0,,,,,,,,,3.5,18.0
andrew-jamiel,Andrew Jamiel,WR,0.0,,,,1.0,,,,,,,,,,,,3.0,147.0,12.0,,,,
anthony-hines,Anthony Hines,LB,,,,,,,,,,,,,,,,,,,,,,1.0,30.5
anthoula-kelly,Anthoula Kelly,DB/CB,,,,,,,,,,,,,1.0,,,,,,,,,1.0,31.0
antoine-brooks,Antoine Brooks,DB/CB,,,,,,,,,,,,,1.0,,,,,11.0,1.0,,,1.5,44.0
antonio-phillips,Antonio Phillips,DB,,,,,,,,,,,,,1.0,,,,,,,,,,6.0
antwuan-jackson,Antwuan Jackson,DL/DT,,,,,,,,,,,,,1.0,,,,,,,,,,19.0
artavis-pierce,Artavis PIERCE,RB,,,,,,,,,,,,,,,,,,,,,,,1.5
austin-faoliu,Austin Faoliu,DL/DT,,,,,,,,1.0,,,,,2.0,,,,,,,,,1.0,23.5
austin-jones,Austin Jones,K,,,,,,,142.0,,,,,0.0,,,,,,,,,,,
austin-proehl,Austin Proehl,WR,0.0,,1.0,,0.0,,,,,,,,,,,,1.0,223.0,25.0,,,,
bailey-giffen,BAILEY GIFFEN,K,,,,,,,234.0,,,,,7.0,,,,,,,,,,,1.0
battlehawks-dst,Battlehawks DST,DST,,,,,,,,7.0,,11.0,,,,,,190.0,,,,,,19.0,
battlehawks-k,Battlehawks K,K,,,,,,,485.0,,,,,6.0,,,,,,,,,,,
battlehawks-qb,Battlehawks QB,QB,1.0,,,,12.0,,,,8.0,,2.0,,,25.0,2349.0,,,,,1.0,155.0,,
ben-deluca,Ben Deluca,DB/FS,,,,,,,,,,,,,1.0,,,,,,,,,,23.5
ben-dinucci,Ben DiNucci,QB,1.0,1.0,3.0,,4.0,,,,13.0,,3.0,,,20.0,2671.0,,,,,3.0,305.0,,1.0
ben-putman,Ben Putman,WR,0.0,,,,0.0,,,,,,,,,,,,,143.0,12.0,,,,
blake-jackson,Blake Jackson,WR,1.0,,1.0,,1.0,,,,,,,,,,,,2.0,440.0,45.0,,,,
brahmas-dst,Brahmas DST,DST,,,,1.0,,3.0,,2.0,,8.0,0.0,,,,,183.0,,,,,,23.0,
brahmas-k,Brahmas K,K,,,,,,,658.0,,,,,2.0,,,,,,,,,,,
brahmas-qb,Brahmas QB,QB,4.0,,,,2.0,,,,8.0,,2.0,,,8.0,1836.0,,,,,,145.0,,
brandon-arconado,Brandon Arconado,WR,0.0,,,,0.0,,,,,,,,,,,,,200.0,25.0,,,,
brandon-dillon,Brandon Dillon,TE,,,,,1.0,,,,,,,,,,,,,87.0,8.0,,,,
brandon-silvers,Brandon Silvers,QB,1.0,,,,4.0,,,,9.0,,1.0,,,13.0,1551.0,,,,,,-2.0,,
brenden-knox,Brenden Knox,RB,,,,,,,,,,,,,,,,,,,,1.0,46.0,,1.0
brett-hundley,Brett Hundley,QB,0.0,,,,1.0,,,,,,2.0,,,3.0,492.0,,,,,1.0,95.0,,
brian-burt,Brian Burt,RB,0.0,,,,0.0,,,,,,,,,,,,,34.0,4.0,,62.0,,
brian-herrien,Brian Herrien,RB,,,,,,,,,,,,,,,,,,47.0,5.0,,6.0,,
brian-hill,Brian Hill,RB,1.0,,,,2.0,,,,,,3.0,,1.0,,,,1.0,224.0,25.0,1.0,425.0,,1.0
briley-moore-mckinney,Briley Moore-Mckinney,TE,,,,,,,,,,,,,,,,,1.0,80.0,11.0,,,,
bruce-hector,Bruce Hector,DL/DT,,,,,,,,,,,,,,,,,,,,,,,16.0
brycen-alleyne,Brycen Alleyne,RB,,,,,,,,,,,,,,,,,,76.0,12.0,1.0,193.0,,
bunmi-rotimi,Bunmi Rotimi,DL/DT/OLB/DB,,,,,,,,,,,,,,,,,,,,,,1.5,13.0
cj-avery,C.J. Avery,LB,,,,,,,,2.0,,1.0,,,4.0,,,,,,,,,,60.5
cj-brewer,C.J. Brewer,DL/DT,,,,,,,,1.0,,,,,,,,,,,,,,2.5,17.0
caevon-patton,Caevon Patton,DL/DE,,,,,,,,,,,,,,,,,,,,,,,40.0
caleb-vander-esch,Caleb Vander Esch,WR,,,,,,,,,,,,,,,,,1.0,70.0,5.0,,9.0,,
cam-sutton,Cam Sutton,TE,0.0,,,,1.0,,,,,,,,,,,,,140.0,12.0,,,,
cameron-lewis,Cameron Lewis,DB,,,,,,,,,,,,,1.0,,,,,,,,,1.0,8.0
caraun-reid,Caraun Reid,DL,,,,,,,,,,,,,,,,,,,,,,0.5,8.0
carson-wells,Carson Wells,LB/OLB,,,,,,,,,,,,,2.0,,,,,,,,,4.0,34.0
cedric-byrd,Cedric Byrd,WR,0.0,,,,1.0,,,,,,1.0,0.0,,,,,1.0,262.0,37.0,,,,
charleston-rambo,Charleston RAMBO,WR,1.0,,,,0.0,,,,,,1.0,,,,,,3.0,430.0,35.0,,,,
charlie-taumoepeau,Charlie Taumoepeau,TE,,,,,,,,,,,,,,,,,,60.0,5.0,,53.0,,
chauncey-rivers,Chauncey Rivers,DL,,,,,,,,,,,,,,,,,,,,,,2.5,15.0
chris-blair,Chris Blair,WR,0.0,,,,3.0,,,,,,,,,,,,3.0,584.0,25.0,,,,
chris-jones,Chris Jones,DB/DT,,,,,,,,,,,,,5.0,,,,,,,,,,19.5
cinque-sweeting,Cinque Sweeting,WR,,,,,,,,,,,,,,,,,4.0,230.0,21.0,,24.0,,
clarence-hicks,Clarence Hicks,DL/LB,,,,,,,,,,,,,1.0,,,,,,,,,2.0,9.0
cody-latimer,Cody Latimer,TE,0.0,,,,0.0,,,,,,,,,,,,4.0,593.0,50.0,,,,
cole-mcdonald,Cole McDonald,QB,1.0,,,,3.0,,,,2.0,,1.0,,,2.0,437.0,,,,,3.0,246.0,,
dj-calhoun,D.J. Calhoun,LB,,,,,,,,,,,,,,,,,,,,,,,24.0
deriq-king,D\'Eriq King,QB,1.0,,,,3.0,,,,1.0,,1.0,,,4.0,184.0,,,,,5.0,101.0,,
dasean-downey,Da\'Sean Downey,DB/LB,,,,,,,,,,,,,,,,,,,,,,0.5,1.0
damion-willis,Damion Willis,WR,,,,,,,,,,,,,,,,,1.0,142.0,19.0,,,,
dan-williams,Dan Williams,WR,,,,,,,,,,,1.0,,,,,,,152.0,15.0,,,,
daniel-joseph,Daniel Joseph,DL,,,,,,,,1.0,,,,,1.0,,,,,,,,,2.0,8.0
darece-roberson,Darece Roberson,WR,,,,,,,,,,,,,,,,,,38.0,4.0,,,,
darius-bradwell,Darius Bradwell,RB,1.0,,,,0.0,,,,,,,,,,,,,,,2.0,67.0,,
darnell-sankey,Darnell Sankey,DB/LB,,,,,,,,,,,,,2.0,,,,,,,,,1.0,47.0
darrius-shepherd,Darrius Shepherd,WR,0.0,,,,2.0,,,,,,,,,,,,6.0,519.0,48.0,,,,
davin-bellamy,Davin Bellamy,DL/DE,,,,,,,,1.0,,,,,,,,,,,,,,3.5,11.0
davonte-lambert,Davonte Lambert,DL/DT,,,,,,,,,,,,,1.0,,,,,,,,,1.5,5.5
deandre-torrey,DeAndre Torrey,RB,,,,,,,,,,,,,,,,,,36.0,6.0,1.0,58.0,,1.0
dejuan-neal,DeJuan Neal,CB/DB,,,,,,,,,,,,,5.0,,,,,,,,,,41.0
devante-bausby,De\'Vante Bausby,CB/DB,0.0,,,,0.0,,,1.0,,1.0,,,7.0,,,,,,,,,,19.0
deveon-smith,De\'Veon Smith,RB,2.0,,,,1.0,,,,,,,,,,,,,148.0,18.0,7.0,365.0,,1.0
deandre-johnson-2,Deandre Johnson,LB/OLB,,,,,,,,,,,,,,,,,,,,,,1.0,15.0
deddrick-thomas,Deddrick Thomas,WR,,,,,,,,2.0,,,,,,,,,,136.0,16.0,,39.0,,
defenders-dst,Defenders DST,DST,,,,,,4.0,,8.0,,9.0,,,,,,238.0,,,,,,24.0,
defenders-k,Defenders K,K,,,,,,,413.0,,,,,4.0,,,,,,,,,,,
defenders-qb,Defenders QB,QB,2.0,,,,17.0,,,,4.0,,5.0,,,18.0,2062.0,,,,,8.0,407.0,,
dejoun-lee,Dejoun Lee,RB,0.0,,,,0.0,,,,,,,,,,,,,18.0,5.0,2.0,89.0,,
delontae-scott,Delontae Scott,DL/OLB,,,,,,,,,,,,,3.0,,,,,,,,,5.5,21.0
deon-yelder,Deon Yelder,TE,1.0,,,,0.0,,,,,,,,,,,,1.0,81.0,9.0,,,,
deondre-francois,Deondre Francois,QB,1.0,,,,0.0,,,,3.0,,,,,3.0,140.0,,,,,,54.0,,
deontay-anderson,Deontay Anderson,DB/SAF,,,,,,,,,,1.0,,,5.0,,,,,,,,,,51.5
deontay-burnett,Deontay Burnett,WR,0.0,,,,2.0,,,,,,1.0,0.0,,,,,6.0,378.0,27.0,,,,
devin-darrington,Devin Darrington,RB,2.0,,,,0.0,,,,,,1.0,,,,,,,85.0,9.0,4.0,294.0,,
dominik-eberle,Dominik Eberle,K,,,,,,,501.0,,,,,4.0,,,,,,,,,,,
donald-hageman,Donald Hageman,K,,,,,,,485.0,,,,,6.0,,,,,,,,,,,
donald-payne,Donald Payne,LB/OLB,,,,,,,,1.0,,1.0,,,3.0,,,,,,,,,0.5,59.5
dontez-byrd,Dontez Byrd,WR,,,,,,,,,,,,,,,,,,43.0,3.0,,,,
doug-costin,Doug Costin,DT/DL,,,,,,,,,,,,,1.0,,,,,,,,,,2.0
drew-beesley,Drew Beesley,DL/DE,,,,,,,,,,1.0,,,1.0,,,,,,,,,5.5,27.0
drew-plitt,Drew Plitt,QB,0.0,,,,1.0,,,,5.0,,2.0,,,3.0,668.0,,,,,,57.0,,
eli-rogers,Eli Rogers,WR,0.0,,,,0.0,,,,,,2.0,,,,,,2.0,319.0,31.0,,,,
elijah-hamilton,Elijah Hamilton,DB,,,,,,,,,,,,,3.0,,,,,,,,,,14.0
elijah-ponder,Elijah Ponder,DL/LB,,,,,,,,,,,,,2.0,,,,,,,,,2.0,15.0
elorm-lumor,Elorm Lumor,DL/DE,,,,,,,,,,,,,,,,,,,,,,4.0,17.5
emmanuel-ellerbee,Emmanuel Ellerbee,LB,,,,,,,,,,,,,,,,,,,,,,0.5,12.0
emmanuel-olenga,Emmanuel Olenga,DL,,,,,,,,,,,,,,,,,,,,,,,1.0
emmanuel-smith-2,Emmanuel Smith,LB,,,,,,,,,,,,,2.0,,,,,,,,,,23.5
ethan-wolf,Ethan Wolf,TE,0.0,,,,2.0,,,,,,,,,,,,1.0,101.0,13.0,,,,
fadol-brown,Fadol Brown,DL/DT/DE,,,,,,,,,,,,,,,,,,,,,,2.5,19.0
francis-bernard,Francis Bernard,LB,,,,,,,,,,,,,3.0,,,,,,,,,0.5,37.0
fred-brown,Fred Brown,WR,,,,,,1.0,,,,,,,,,,,2.0,160.0,21.0,,,,
freedom-akinmoladun,Freedom Akinmoladun,DL/DE,,,,,,,,,,,,,1.0,,,,,,,,,1.0,6.0
garrett-owens,Garrett Owens,TE,,,,,,,,,,,,,,,,,1.0,28.0,5.0,,6.0,,
gary-jennings,Gary Jennings,WR,0.0,,,,0.0,,,,,,,,,1.0,6.0,,3.0,155.0,12.0,,46.0,,
gelen-robinson,Gelen Robinson,DL/DB,,,,,,,,,,,,,,,,,,,,,,,11.0
george-campbell,George Campbell,WR,,,,,,,,,,,,,,,,,1.0,70.0,5.0,,,,1.0
gerald-willis,Gerald Willis,DL,,,,,,,,1.0,,,,,,,,,,,,,,2.0,24.0
geronimo-allison,Geronimo Allison,WR,0.0,,,,0.0,,,,,,,,,,,,1.0,240.0,22.0,,,,
glen-logan,Glen Logan,DL/DT,,,,,,,,,,,,,,,,,,,,,,1.5,9.0
guardians-dst,Guardians DST,DST,,,,,,,,7.0,,3.0,,,,,,292.0,,,,,,15.0,
guardians-k,Guardians K,K,,,,,,,220.0,,,,,5.0,,,,,,,,,,,
guardians-qb,Guardians QB,QB,1.0,,,,3.0,,,,8.0,,5.0,,,16.0,2311.0,,,,,6.0,219.0,,
hakeem-butler,Hakeem Butler,WR,0.0,,,,4.0,,,,,,,,,,,,8.0,599.0,51.0,,,,
hunter-duplessis,Hunter Duplessis,K,,,,,,,155.0,,,,,1.0,,,,,,,,,,,
isaiah-graham-mobley,Isaiah Graham-Mobley,LB,,,,,,,,1.0,,,,,,,,,,,,,,,12.0
javonta-payton,JaVonta Payton,WR,0.0,,,,0.0,,,,,,,,,,,,,164.0,11.0,,,,
jack-coan,Jack Coan,QB,3.0,,,,2.0,,,,6.0,,1.0,,,6.0,1471.0,,,,,,108.0,,
jack-koerner,Jack Koerner,DB/SS,,,,,,,,,,1.0,,,2.0,,,,,,,,,1.0,29.5
jacoby-jones,Jacoby Jones,DL,,,,,,,,1.0,,,,,,,,,,,,,,3.5,21.0
jacques-patrick,Jacques Patrick,RB,1.0,,,,0.0,,,,,,1.0,,,,,,,238.0,30.0,5.0,443.0,,
jacub-panasiuk,Jacub Panasiuk,DL,,,,,,,,,,,,,3.0,,,,,,,,,1.0,17.0
jah-maine-martin,Jah-Maine Martin,RB,3.0,,,,0.0,,,,,,2.0,,,,,,,10.0,7.0,1.0,258.0,,
jahsheem-martin,Jah\'Sheem Martin,DL,,,,,,,,,,,,,,,,,,,,,,0.5,17.0
jahcour-pearson,Jahcour Pearson,WR,0.0,,,,1.0,,,,,,1.0,,,,,,4.0,670.0,60.0,,,,
jake-sutherland,Jake Sutherland,TE/WR,1.0,,,,0.0,,,,,,,,,,,,2.0,82.0,9.0,,,,
jalan-mcclendon,Jalan McClendon,QB,1.0,,,,3.0,,,,1.0,,2.0,,,5.0,873.0,,,,,,137.0,,
jalen-tolliver,Jalen Tolliver,WR,0.0,,,,0.0,,,,,,,,,,,,1.0,114.0,12.0,,,,
jamal-brooks,Jamal Brooks,LB,,,,,,,,,,,,,1.0,,,,,,,,,1.0,24.0
jarrell-owens,Jarrell Owens,DL/DB,,,,,,,,,,,,,1.0,,,,,,,,,2.0,11.0
javaris-davis,Javaris Davis,DB,,,,,,,,,,,,,,,,,,,,,,,1.0
jawon-pass,Jawon Pass,QB,0.0,,,,0.0,,,,,,,,,,89.0,,,,,,20.0,,
jawuan-johnson,Jawuan Johnson,LB,,,,,,,,,,,,,,,,,,,,,,,21.5
jazz-ferguson,Jazz Ferguson,WR,0.0,,,,1.0,,,,,,,,,,,,,27.0,1.0,,,,
jeff-badet,Jeff Badet,WR,0.0,,,,0.0,,,,,,,,,,,,7.0,522.0,39.0,,7.0,,
jequez-ezzard,Jequez Ezzard,WR,,,,,,,,,,,1.0,,,,,,1.0,44.0,3.0,,3.0,,
joe-powell,Joe Powell,DB/LB/SAF,,,,,,,,,,4.0,1.0,,1.0,,,,,,,,,,27.0
john-brannon,John Brannon,DB,0.0,,,,0.0,,,,,,,,3.0,,,,,,,,,,6.0
john-daka,John Daka,DL/LB,,,,,,,,,,,,,,,,,,,,,,4.5,23.0
john-lovett,John Lovett,RB,0.0,,,,0.0,,,,,,2.0,,,,,,2.0,269.0,14.0,3.0,227.0,,
john-parker-romo,John Parker Romo,K,,,,,,,658.0,,,,,2.0,,,,,,,,,,,
jon-hilliman,Jon Hilliman,RB,1.0,,,,1.0,,,,,,,,,,,,,107.0,20.0,2.0,51.0,,
jontre-kirklin,Jontre Kirklin,WR,0.0,,,,3.0,,,,,,,,,1.0,49.0,,4.0,253.0,15.0,,,,
jordan-evans,Jordan Evans,LB,,,,,,,,,,,,,,,,,,,,,,,13.0
jordan-mosley,Jordan Mosley,DB/SS,,,,,,,,,,,,,1.0,,,,,,,,,,38.0
jordan-smallwood,Jordan Smallwood,WR,,,,,,,,,,,,,,,,,,33.0,3.0,,,,
jordan-taamu,Jordan Ta\'amu,QB,1.0,,,,15.0,,,,3.0,,4.0,,,14.0,1878.0,,,0.0,2.0,3.0,301.0,0.0,0.0
jordan-thomas-2,Jordan Thomas,TE,0.0,,,,1.0,,,,,,,,,,,,3.0,148.0,8.0,,,,1.0
jordan-veasy,Jordan Veasy,WR,0.0,,,,0.0,,,,,,,,,,,,3.0,275.0,21.0,,,,
jordan-williams,Jordan Williams,DL/MLB/DE/DB/LB/OT,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,89.0
jose-borregales,Jose Borregales,K,,,,,,,220.0,,,,,3.0,,,,,,,,,,,
joseph-wallace,Joseph Wallace,DL/DT,,,,,,,,1.0,,1.0,,,2.0,,,,,,,,,2.5,21.0
