player_id,player_name,positions,def_ast,def_int,def_lg,def_pd,def_qbh,def_sack,def_solo,def_td,def_tot,def_yds,def_ydsl,misc_forced,misc_fum,misc_lost,misc_td,misc_tot,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_fd,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_fc,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,rush_att,rush_fd,rush_lg,rush_td,rush_yds,score_conv,score_fr,score_ir,score_kr,score_p,score_pr,score_pts,score_r,score_saf,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
ac-leonard,A.C. Leonard,DB/DL,,,,,,11.0,45.0,,45.0,,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aj-ouellette,A.J. OUELLETTE,RB,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,7.0,8.0,1.0,30.0,46.0,,,,,,,,33.0,1.0,62.0,,138.0,,,,,1.0,,6.0,,,1.0,,,,,,
aaron-grymes,Aaron Grymes,DB,,1.0,2.0,,,,54.0,,54.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aaron-peck,Aaron Peck,TE/WR,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,53.0,9.0,14.0,,28.0,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abdul-kanneh,Abdul Kanneh,DB,,1.0,18.0,,,1.0,71.0,,71.0,18.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adam-bighill,Adam BIGHILL,LB,,2.0,14.0,,,4.0,71.0,,71.0,14.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adam-konar,Adam KONAR,LB,,,,,,,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
adrian-tracy,Adrian Tracy,DB/DL,,,,,,3.0,11.0,,11.0,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
albert-awachie,Albert Awachie,FB/RB,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,2.0,2.0,,2.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alden-darby,Alden Darby,DB/LB,,5.0,47.0,,,,56.0,,56.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alex-bazzie,Alex Bazzie,DB/DL,,,,,,2.0,9.0,,9.0,,9.0,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,,,,7.0,,,,,,,,,,,,,,,,,,,,,
alex-charette,Alex Charette,WR,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,2.0,2.0,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alex-fontana,Alex Fontana,OL,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alex-mateas,Alex Mateas,OL,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alex-mccalister,Alex McCalister,DB/DE/DL,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alex-taylor,Alex Taylor,DB/OT/RB,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,5.0,2.0,2.0,,5.0,5.0,,,1.0,,,,,7.0,,40.0,,48.0,,,,,,,,,,,,,,,,
almondo-sewell,Almondo Sewell,DB/DT,,,,,,7.0,35.0,,35.0,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andrew-harris,Andrew Harris,RB,,,,,,,,,,,,,,,,,1.0,,,,,,,,,252.0,79.0,92.0,5.0,432.0,582.0,,16.0,1.0,,,,16.0,266.0,,369.0,5.0,1605.0,,,,,5.0,,60.0,5.0,,10.0,,,,,,
andrés-salgado,Andrés Salgado,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ante-milanovic-litre,Ante MILANOVIC-LITRE,RB,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,79.0,9.0,11.0,,76.0,81.0,,-5.0,1.0,,,,-5.0,43.0,,83.0,1.0,179.0,,,,,,,6.0,1.0,,1.0,,,,,,
anthony-cioffi,Anthony Cioffi,DB/LB/SAF,,2.0,15.0,,,2.0,61.0,,61.0,15.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anthony-coombs,Anthony Coombs,WR,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,22.0,34.0,2.0,104.0,210.0,,,,,,,,37.0,,82.0,,158.0,2.0,,,,2.0,,16.0,,,2.0,,,,,,
anthony-covington,Anthony Covington,DB,,,,,,,37.0,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anthony-gosselin,Anthony GOSSELIN,FB/RB,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,18.0,3.0,3.0,,18.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
