player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,fielding_runouts,match_played
nm-hancock,NM Hancock,,22.0,4.0,6.0,85.0,31.0,1.0,373.0,0.0,3.0,446.0,23.0,38.0,3.0,1.0,17.0
nr-sciver,NR Sciver,,172.0,25.0,0.0,31.0,209.0,1.0,72.0,0.0,1.0,85.0,4.0,2.0,3.0,1.0,8.0
o-porter,O Porter,,30.0,3.0,3.0,49.0,33.0,0.0,12.0,0.0,0.0,15.0,0.0,1.0,1.0,,8.0
olivia-henry,Olivia Henry,,,,,,,,6.0,0.0,0.0,10.0,0.0,0.0,,,1.0
p-cleary,P Cleary,,28.0,2.0,2.0,49.0,21.0,0.0,216.0,0.0,2.0,289.0,10.0,9.0,5.0,1.0,12.0
p-litchfield,P Litchfield,,237.0,27.0,3.0,38.0,309.0,14.0,,,,,,,5.0,2.0,14.0
pa-bowdler,PA Bowdler,,1.0,0.0,1.0,8.0,1.0,0.0,,,,,,,,,1.0
r-johnston,R Johnston,,67.0,6.0,1.0,49.0,64.0,0.0,12.0,0.0,0.0,25.0,0.0,0.0,4.0,,10.0
r-mckenna,R McKenna,,38.0,4.0,2.0,67.0,35.0,1.0,90.0,0.0,1.0,111.0,4.0,6.0,3.0,,10.0
rk-odonnell,RK O'Donnell,,2.0,0.0,1.0,9.0,1.0,0.0,6.0,0.0,0.0,12.0,0.0,0.0,,,1.0
s-campbell,S Campbell,,,,,,,,42.0,0.0,0.0,64.0,2.0,7.0,,,4.0
s-day,S Day,,28.0,0.0,4.0,61.0,11.0,0.0,294.0,0.0,0.0,337.0,27.0,6.0,4.0,,14.0
s-glenn,S Glenn,,5.0,1.0,0.0,20.0,6.0,0.0,102.0,0.0,0.0,128.0,6.0,0.0,1.0,,5.0
s-ismail,S Ismail,,21.0,1.0,3.0,41.0,8.0,0.0,291.0,2.0,0.0,302.0,13.0,17.0,3.0,,13.0
s-reid,S Reid,,80.0,8.0,0.0,33.0,61.0,0.0,,,,,,,6.0,2.0,8.0
sfm-devine,SFM Devine,,347.0,53.0,2.0,42.0,489.0,20.0,234.0,0.0,1.0,348.0,14.0,20.0,6.0,4.0,15.0
sir-dunkley,SIR Dunkley,,196.0,21.0,0.0,38.0,217.0,6.0,36.0,0.0,0.0,49.0,3.0,2.0,,,14.0
sj-coyte,SJ Coyte,,58.0,5.0,3.0,84.0,86.0,5.0,282.0,0.0,1.0,379.0,13.0,11.0,3.0,1.0,14.0
sj-johnson,SJ Johnson,,85.0,6.0,2.0,59.0,87.0,4.0,210.0,0.0,4.0,288.0,12.0,6.0,2.0,,11.0
sk-moloney,SK Moloney,,40.0,2.0,1.0,54.0,40.0,0.0,214.0,0.0,0.0,305.0,2.0,7.0,5.0,1.0,14.0
sl-bates,SL Bates,,7.0,1.0,1.0,21.0,5.0,0.0,312.0,1.0,0.0,330.0,5.0,8.0,1.0,1.0,14.0
sw-bates,SW Bates,,186.0,22.0,1.0,39.0,173.0,0.0,,,,,,,9.0,1.0,14.0
sara-kennedy,Sara Kennedy,,8.0,0.0,3.0,44.0,4.0,0.0,168.0,0.0,0.0,224.0,4.0,25.0,3.0,,12.0
t-flintoff,T Flintoff,,36.0,1.0,0.0,16.0,37.0,1.0,,,,,,,1.0,,3.0
t-peschel,T Peschel,,13.0,2.0,2.0,31.0,19.0,1.0,144.0,0.0,8.0,175.0,4.0,9.0,2.0,2.0,8.0
t-saville,T Saville,,11.0,0.0,0.0,7.0,6.0,0.0,,,,,,,,1.0,2.0
t-wilson,T Wilson,,273.0,44.0,2.0,26.0,323.0,2.0,,,,,,,9.0,4.0,13.0
tm-mcgrath,TM McGrath,,253.0,39.0,3.0,45.0,304.0,6.0,195.0,1.0,0.0,205.0,14.0,3.0,6.0,,15.0
tt-beaumont,TT Beaumont,,248.0,38.0,0.0,18.0,296.0,6.0,,,,,,,1.0,,14.0
