player_id,player_name,positions,def_ff,def_fr,def_pd,def_sacks,def_tackles,fg_att,fg_made,gp,kr_no,kr_td,kr_yds,pass_att,pass_cmp,pass_int,pass_td,pass_yds,pat_att,pat_made,pr_no,pr_td,pr_yds,punt_no,punt_yds,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
axel-irigoite,Axel Irigoite,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,
barry-maruschke,Barry Maruschke,LB,,,7.0,,18.0,,,10.0,,,,,,,,,,,,,,,,,,,,,
bartosz-dziedzic,Bartosz Dziedzic,WR,,,,,,,,10.0,,,,,,,,,,,,,,,,40.0,1.0,364.0,,,
ben-wenzler,Ben Wenzler,CB/LB,,,1.0,,18.0,,,7.0,,,,,,,,,,,,,,,,,,,,,
benhwoll-tchiyoko,Benhwoll Tchiyoko,LB,,,1.0,,24.0,,,8.0,,,,,,,,,,,,,,,,,,,,,
benjamin-barnes,Benjamin Barnes,LB/DB,,,5.0,1.5,36.0,,,12.0,3.0,,63.0,,,,,,,,6.0,,47.0,,,,,,,,
benjamin-cerimagic,Benjamin Cerimagic,LB,,,1.0,0.5,5.0,,,9.0,,,,,,,,,,,,,,,,,,,,,
benjamin-mau,Benjamin Mau,WR,,,,,,,,7.0,,,,,,,,,,,,,,,,11.0,2.0,169.0,,,
berend-grube,Berend Grube,DL/LB,1.0,1.0,4.0,5.5,40.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
biagio-caprino,Biagio Caprino,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
brandon-brooks,Brandon Brooks,CB/LB/DB,,,5.0,,32.0,,,10.0,,,,,,,,,,,,,,,,,,,,,
brice-tchouadje,Brice Tchouadje,LB,,,,0.5,16.0,,,10.0,,,,,,,,,,,,,,,,,,,,,
bryan-yankson,Bryan Yankson,RB,,,,,2.0,,,10.0,,,,,,,,,,,,,,,,4.0,,20.0,87.0,,232.0
bryan-zerbe,Bryan Zerbe,QB,,,,,1.0,,,10.0,,,,46.0,19.0,5.0,3.0,177.0,,,,,,,,13.0,1.0,110.0,28.0,,60.0
calvin-stitt,Calvin Stitt,QB,,,,,,,,10.0,,,,206.0,91.0,7.0,15.0,1225.0,,,,,,,,,,,63.0,3.0,236.0
carlos-carrasco-sanz,Carlos Carrasco Sanz,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
carlos-guillen-leon,Carlos Guillén Leon,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,
cedric-konig,Cedric König,LB,,,,,5.0,,,6.0,,,,,,,,,,,,,,,,,,,,,
cedric-ouattara,Cedric Ouattara,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,
cedric-udegbe,Cedric Udegbe,LB,,,,1.5,31.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
celestin-ngimbi,Celestin Ngimbi,,,,,,2.0,,,7.0,,,,,,,,,,,,,,,,,,,,,
cesare-brugnani,Cesare Brugnani,LB,,,1.0,2.0,44.0,,,10.0,,,,,,,,,,,,,,,,,,,,,
cheikhou-sow,Cheikhou Sow,WR,,,,,2.0,,,9.0,2.0,,27.0,,,,,,,,,,,,,17.0,2.0,153.0,2.0,,8.0
chris-manser,Chris Manser,P,,,,,,,,9.0,,,,,,,,,,,,,,38.0,1343.0,1.0,,4.0,1.0,,
chris-schlack,Chris Schlack,,,,,,2.0,,,3.0,,,,,,,,,,,,,,,,,,,,,
christian-romer,Christian Römer,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,1.0,20.0,,,
christoph-schob,Christoph Schob,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,
christopher-harris,Christopher Harris,DB,,,,,1.0,,,6.0,,,,,,,,,,,,,,,,,,,,,
christopher-wartenberg,Christopher Wartenberg,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
christropher-ezeala,Christropher Ezeala,P,1.0,,,1.5,7.0,,,2.0,,,,,,,,,1.0,1.0,,,,8.0,338.0,1.0,1.0,10.0,7.0,,14.0
conrad-schmid,Conrad Schmid,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
constantin-lassing,Constantin Lässing,,,,,,2.0,,,6.0,,,,,,,,,,,,,,,,,,,,,
curtis-slater,Curtis Slater,LB,,,4.0,,30.0,,,5.0,,,,,,,,,,,,,,,,,,,,,
dale-warren,Dale Warren,LB/OLB,,,,2.0,42.0,,,6.0,,,,,,,,,,,,,,,,,,,,,
damian-krawiec,Damian Krawiec,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,
damian-kwiatkowski,Damian Kwiatkowski,RB,,,,,,,,11.0,4.0,,,,,,,,,,,,,,,3.0,,21.0,31.0,2.0,120.0
damian-wesoowski,Damian Wesołowski,LB,,,,6.0,14.0,,,7.0,,,,,,,,,,,,,,,,,,,,,
daniel-laporte,Daniel  Laporte,LB,,,,2.5,66.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
daniel-bogdan-schuhmacher,Daniel Bogdan Schuhmacher,K,,,,,1.0,3.0,,11.0,,,,,,,,,32.0,21.0,,,,,,,,,,,
daniel-docal,Daniel Docal,LB,3.0,3.0,4.0,1.0,44.0,,,10.0,,,,,,,,,,,,,,,,,,,,,
daniel-josiah,Daniel Josiah,LB,,1.0,,1.0,21.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
daniel-monfared,Daniel Monfared,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,
daniel-piatkowski,Daniel Piątkowski,LB/S,,,,,21.0,,,10.0,,,,,,,,,,,,,,,,,,,,,
daniel-rotarmel,Daniel Rotärmel,,,,,,3.0,,,6.0,,,,,,,,,,,,,,,,,,,,,
daniel-tarnawski,Daniel Tarnawski,LB,,,,1.0,18.0,,,8.0,,,,,,,,,,,,,,,,,,,,,
daniel-thiele,Daniel Thiele,,,,,,3.0,,,5.0,,,,,,,,,,,,,,,,,,,,,
daniel-weiswange,Daniel Weiswange,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,
danny-farley,Danny Farley,QB,,,,,,,,2.0,,,,5.0,,2.0,,,,,,,,,,,,,1.0,,2.0
danny-washington,Danny Washington,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
dany-michael-lamy,Dany Michael Lamy,LB,,,,,12.0,,,9.0,,,,,,,,,,,,,,,,,,,,,
darius-saint-robinson,Darius Saint-Robinson,LB/DB,1.0,1.0,7.0,,31.0,,,11.0,7.0,1.0,283.0,,,,,,,,6.0,,54.0,,,,,,,,
darko-pisaric,Darko Pisaric,LB,,,,,5.0,,,6.0,,,,,,,,,,,,,,,,,,,,,
darnell-minton,Darnell Minton,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,
dartez-jacobs,Dartez Jacobs,SAF/LB,1.0,2.0,7.0,1.0,45.0,,,11.0,7.0,,198.0,,,,,,,,3.0,,44.0,,,,,,,,
david-meza,David Meza,TE/WR,,,,0.5,7.0,,,9.0,,,,,,,,,,,,,,,,25.0,2.0,322.0,3.0,,6.0
david-weinstock,David Weinstock,,,,,,4.0,,,6.0,,,,,,,,,,,,,,,,,,,,,
dawid-panczyszyn,Dawid Pańczyszyn,K,,,,,2.0,4.0,3.0,9.0,,,,,,,,,26.0,18.0,,,,22.0,731.0,,,,1.0,,
dennis-gratza,Dennis Gratza,LB,,,,,23.0,,,9.0,,,,,,,,,,,,,,,,,,,,,
dennis-kenzler,Dennis Kenzler,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,
dennis-laas,Dennis Laas,,,,,,2.0,,,7.0,,,,,,,,,,,,,,,,,,,,,
deon-mutsvanemoto,Deon Mutsvanemoto,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
desmond-cooper,Desmond Cooper,DE/LB,,,1.0,,10.0,,,5.0,,,,,,,,,,,,,,,,,,,1.0,,6.0
diego-arboleda-sanchez,Diego Arboleda Sanchez,,,,,,,,,6.0,,,,,,,,,,,,,,,,1.0,,17.0,,,
