player_id,player_name,positions,1pt_conversion,3pt_other,3pt_pass,blocked_punt,conversions,dst_touchdown,extra_point,fg_made,field_goal_yards,fumble_recoveries,fumble_td,fumbles_lost,interceptions_lost,interceptions_made,lost_fumbles,missed,pass_td,passing_tds,passing_yards,pat_made,points_against,punt_return,receiving_tds,receiving_yards,receptions,recv_td,return_td,rush_td,rushing_tds,rushing_yards,sacks,safety
aj-richardson,AJ Richardson,WR,,,,,,,,,,,,,,,,,,,,,,,0.0,114.0,7.0,,,,0.0,12.0,,
aaron-dilworth,Aaron Dilworth,WR,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
aaron-shampklin,Aaron Shampklin,RB,,,,,,,,,,,,,,,,,,,,,,,0.0,26.0,1.0,,,,0.0,38.0,,
abram-smith,Abram Smith,RB,1.0,,,,,,,,,,,,,,1.0,,,,,,,,0.0,82.0,8.0,,,,1.0,284.0,,
adrian-hardy,Adrian Hardy,WR,,,,,,,,,,,,,,,1.0,,,,,,,,0.0,59.0,6.0,,,,,,,
adrian-jefferson,Adrian Jefferson,RB,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
aidan-robbins,Aidan Robbins,RB,,,,,,,,,,,,,,,1.0,,,,,,,,0.0,9.0,2.0,,,,2.0,69.0,,
aj-davis,Aj Davis,RB,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
albert-curran-iv,Albert Curran IV,DB,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
alex-collins,Alex Collins,RB,,,,,,,,,,,,,,,,,,,,,,,0.0,10.0,2.0,,,,0.0,37.0,,
alex-kessman,Alex Kessman,K,,,,,,,7.0,,580.0,,,,,,,2.0,,,,,,,,,,,,,,,,
alex-mcgough,Alex McGough,QB,,,,,1.0,,,,,,,,5.0,,1.0,,,11.0,1214.0,,,,,,,,,,3.0,252.0,,
alexander-kekua,Alexander Kekua,OL,,,,,,,,,,,,,,,,,6.0,,,3.0,,,,,,,,1.0,,,,
alexis-rosario,Alexis Rosario,WR/RB,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,9.0,,,,
alize-mack,Alize Mack,TE,,,,,,,,,,,,,,,,,,,,,,,1.0,28.0,4.0,,,,,,,
alonzo-moore,Alonzo Moore,WR,,,,,,,,,,,,,,,,,,,,,,,5.0,272.0,20.0,,,,,,,
amari-rodgers,Amari Rodgers,WR,,,,,,,,,,,,,,,,,,,,,,,2.0,175.0,14.0,,,,0.0,6.0,,
andre-sale,Andre Sale,QB,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
