player_id,player_name,positions,def_ast,def_int,def_lg,def_sack,def_solo,def_td,def_tot,def_yds,def_ydsl,misc_td,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_fd,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_dwn,ret_fc,ret_in20,ret_lg,ret_net,ret_num,ret_ob,ret_ret,ret_ryds,ret_tb,ret_td,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_conv,score_fr,score_ir,score_kr,score_p,score_pr,score_pts,score_r,score_saf,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
ac-leonard,A.C. Leonard,DB/DL,,,,5.0,36.0,,36.0,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aaron-berry,Aaron Berry,DB,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aaron-grymes,Aaron Grymes,DB,4.0,,,0.5,50.0,,54.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aaron-milton,Aaron Milton,RB,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abdul-kanneh,Abdul Kanneh,DB,,,,2.0,17.0,,17.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adam-berger,Adam Berger,DB,,,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adam-konar,Adam Konar,LB,,2.0,12.0,1.0,71.0,,71.0,12.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adam-thibault,Adam Thibault,DB,,,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adarius-bowman,Adarius Bowman,SB/WR,,,,,,,,,,,,,,,,,,,,213.0,50.0,88.0,7.0,128.0,631.0,,,,,,,,,,,,,,,,,1.0,,,,7.0,,44.0,,,7.0,,,,,,
adrian-james,Adrian James,DB/LB,,,,1.0,20.0,,20.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adrian-tracy,Adrian Tracy,DB/DL,,,,9.0,29.0,,29.0,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akeem-jordan,Akeem Jordan,LB,,,,,15.0,,15.0,,,,,,,,,,,,,,,,,,,,,,8.0,,2.0,,,,,,9.0,,,,,,,,,,,,,,,,,,,,
akwasi-owusu-ansah,Akwasi Owusu-Ansah,DB,,1.0,9.0,,41.0,,41.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alden-darby,Alden Darby,DB/LB,,1.0,,,18.0,1.0,18.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,6.0,,,1.0,,,,,,
alex-bazzie,Alex Bazzie,DB/DL,6.0,,,6.0,22.0,,28.0,,34.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,
alex-hoffman-ellis,Alex Hoffman-Ellis,LB,,,,,27.0,,27.0,,,,,,,,,,,,,,,,,,,,,,16.0,,1.0,,,,,,16.0,,,,,,,,,,,,,,,,,,,,
alex-pierzchalski,Alex Pierzchalski,WR,,,,,,,,,,,,,,,,,,,,29.0,5.0,11.0,,17.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alex-ross,Alex Ross,QB,,,,,1.0,,1.0,,,,12.0,5.0,2.0,72.0,5.0,1.0,,82.0,,,,,,,,,,,,,,,,,,,,6.0,11.0,1.0,14.0,,,,,,,6.0,1.0,,1.0,,,,,,
alex-singleton,Alex Singleton,LB,,1.0,40.0,4.0,132.0,,132.0,40.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alexander-green,Alexander Green,RB,,,,,,,,,,,,,,,,,,,,29.0,8.0,10.0,,31.0,47.0,,,,,,,,,,,,,79.0,115.0,5.0,447.0,,,,,,,30.0,5.0,,5.0,,,,,,
alexandre-dupuis,Alexandre Dupuis,RB/FB,,,,,,,,,,,,,,,,,,,,30.0,3.0,5.0,,17.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
almondo-sewell,Almondo Sewell,DB/DT,,,,7.0,43.0,,43.0,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andrew-buckley,Andrew Buckley,QB,,,,,,,,,,,42.0,32.0,1.0,108.0,54.0,7.0,1.0,313.0,,-4.0,1.0,1.0,,-4.0,-4.0,,,,,,,,,,,,,30.0,35.0,3.0,108.0,,,,,,,18.0,3.0,,3.0,,,,,,
andrew-fantuz,Andrew Fantuz,WR,,,,,,,,,,,,,,,,,,,,26.0,6.0,12.0,,4.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
