player_id,player_name,positions,attempts,avg,long,td,yards
akihito-furutani,Akihito Furutani,,39.0,5.6,38.0,1.0,218.0
eisuke-tōmatsu,Eisuke Tōmatsu,,12.0,10.4,77.0,1.0,125.0
fumitaka-obana,Fumitaka Obana,,18.0,10.7,26.0,2.0,192.0
hiroki-matsubara,Hiroki Matsubara,,17.0,13.6,54.0,4.0,232.0
hiromitsu-morikawa,Hiromitsu Morikawa,,64.0,3.5,32.0,,221.0
hiroshi-furukawa,Hiroshi Furukawa,,50.0,6.5,65.0,3.0,325.0
john-stanton,John Stanton,,25.0,19.5,63.0,7.0,488.0
katsuya-nagakawa,Katsuya Nagakawa,,13.0,9.9,29.0,,129.0
kazuya-togura,Kazuya Togura,,10.0,9.2,21.0,,92.0
kei-gotō,Kei Gotō,,26.0,5.0,18.0,,130.0
ken-shimizu,Ken Shimizu,,14.0,12.0,30.0,2.0,168.0
kyōhei-nomura,Kyōhei Nomura,,17.0,8.8,23.0,2.0,150.0
kōki-takagi,Kōki Takagi,,22.0,11.3,53.0,3.0,249.0
masahiro-tōnai,Masahiro Tōnai,,17.0,16.1,38.0,4.0,273.0
masaki-nagatomi,Masaki Nagatomi,,29.0,3.4,17.0,3.0,100.0
masanori-fujisawa,Masanori Fujisawa,,98.0,52.0,506.0,32.0,51.0
masashi-hashimoto,Masashi Hashimoto,,32.0,6.2,42.0,4.0,198.0
masato-kinoshita,Masato Kinoshita,,99.0,63.6,731.0,28.0,63.0
michihiro-ogawa,Michihiro Ogawa,,23.0,9.8,21.0,3.0,226.0
minoru-tōno,Minoru Tōno,,83.0,62.7,582.0,40.0,52.0
musashi-yoshida,Musashi Yoshida,,13.0,11.1,46.0,1.0,144.0
naoki-maeda,Naoki Maeda,,26.0,11.0,51.0,3.0,287.0
noriaki-kinoshita,Noriaki Kinoshita,,16.0,13.5,41.0,,216.0
rocky-alo,Rocky Alo,,48.0,7.1,76.0,2.0,340.0
ryō-kimura,Ryō Kimura,,56.0,4.2,26.0,4.0,235.0
ryōma-hagiyama,Ryōma Hagiyama,,16.0,18.4,64.0,6.0,294.0
shingo-hamada,Shingo Hamada,,15.0,6.9,24.0,1.0,103.0
shinpei-wakashima,Shinpei Wakashima,,28.0,12.5,45.0,,350.0
shun-sugawara,Shun Sugawara,,75.0,68.0,906.0,70.0,51.0
shōichirō-satō,Shōichirō Satō,,22.0,5.0,20.0,,111.0
sō-ninomiya,Sō Ninomiya,,21.0,9.7,24.0,,204.0
takashi-miyako,Takashi Miyako,,34.0,5.6,72.0,3.0,189.0
takuma-imoto,Takuma Imoto,,18.0,8.3,23.0,,150.0
takuto-hara,Takuto Hara,,34.0,5.6,23.0,1.0,189.0
takuya-furutani,Takuya Furutani,,40.0,5.0,19.0,2.0,199.0
tomokazu-sueyoshi,Tomokazu Sueyoshi,,44.0,5.6,34.0,1.0,248.0
yasuhiro-miyamoto,Yasuhiro Miyamoto,,20.0,10.4,45.0,4.0,207.0
yasushi-nakagawa,Yasushi Nakagawa,,10.0,9.8,25.0,1.0,98.0
yoshinari-iwakura,Yoshinari Iwakura,,35.0,5.8,20.0,4.0,204.0
yōsuke-nakanishi,Yōsuke Nakanishi,,13.0,7.2,18.0,1.0,94.0
yūki-ikei,Yūki Ikei,,12.0,12.4,31.0,2.0,149.0
yūsuke-nakano,Yūsuke Nakano,,23.0,4.0,11.0,,91.0
yūsuke-shinshi,Yūsuke Shinshi,,30.0,5.8,33.0,2.0,173.0
