player_id,player_name,positions,attempts,avg,long,td,yards
akira-kameyama,Akira Kameyama,,9.0,16.78,41.0,1.0,151.0
anthony-m-sakamoto,Anthony M. Sakamoto,,7.0,13.29,23.0,1.0,93.0
atomu-koizumi,Atomu Koizumi,,19.0,2.79,14.0,,53.0
daisuke-yamanaka,Daisuke Yamanaka,,9.0,6.22,28.0,,56.0
donnie-king-jr,Donnie King Jr.,,7.0,27.57,68.0,1.0,193.0
eiji-suzuki,Eiji Suzuki,,9.0,10.67,16.0,,96.0
garrett-samuel-safron,Garrett Samuel Safron,,36.0,4.67,28.0,1.0,168.0
genta-shibata,Genta Shibata,,7.0,17.14,47.0,1.0,120.0
hayato-yamamoto,Hayato Yamamoto,,32.0,7.41,59.0,,237.0
hideki-kaneda,Hideki Kaneda,,11.0,11.0,37.0,,121.0
hikaru-akiyama,Hikaru Akiyama,,8.0,9.38,14.0,,75.0
hiroki-takao,Hiroki Takao,,6.0,12.0,22.0,,72.0
hiroshi-kawamura,Hiroshi Kawamura,,9.0,11.44,73.0,1.0,103.0
john-stanton,John Stanton,,18.0,12.28,60.0,1.0,221.0
junpei-yoshimoto,Junpei Yoshimoto,,10.0,12.7,35.0,,127.0
kazuki-tokunaga,Kazuki Tokunaga,,20.0,8.05,61.0,,161.0
kazuki-yoshida,Kazuki Yoshida,,7.0,9.86,35.0,,69.0
kei-yoshikai,Kei Yoshikai,,6.0,18.67,50.0,,112.0
kenichirō-matsushita,Kenichirō Matsushita,,24.0,3.08,16.0,1.0,74.0
kento-hada,Kento Hada,,21.0,8.86,65.0,1.0,186.0
kōsuke-morimoto,Kōsuke Morimoto,,25.0,3.68,15.0,,92.0
masato-komine,Masato Komine,,26.0,5.62,21.0,,146.0
masayuki-itō,Masayuki Itō,,9.0,11.44,28.0,,103.0
naoki-hishioka,Naoki Hishioka,,4.0,25.0,41.0,1.0,100.0
nnamdi-aggude,Nnamdi Aggude,,6.0,10.5,23.0,,63.0
ryūichirō-fukazawa,Ryūichirō Fukazawa,,7.0,10.71,33.0,1.0,75.0
satoshi-ishige,Satoshi Ishige,,8.0,16.5,43.0,1.0,132.0
seigo-inoguchi,Seigo Inoguchi,,9.0,11.67,32.0,,105.0
shunsuke-kawazu,Shunsuke Kawazu,,4.0,19.0,24.0,,76.0
takahide-dejima,Takahide Dejima,,7.0,9.0,18.0,,63.0
takahiro-ueda,Takahiro Ueda,,4.0,16.0,59.0,,64.0
takato-ido,Takato Ido,,7.0,16.29,34.0,1.0,114.0
takurō-abe,Takurō Abe,,7.0,10.86,27.0,1.0,76.0
tatsuya-hirosawa,Tatsuya Hirosawa,,37.0,5.24,32.0,1.0,194.0
tatsuya-tonka,Tatsuya Tonka,,6.0,9.33,25.0,,56.0
teruaki-clark-nakamura,Teruaki Clark Nakamura,,7.0,16.0,58.0,1.0,112.0
trashaun-nixon,Trashaun Nixon,,8.0,7.13,17.0,1.0,57.0
tsukasa-kuwahara,Tsukasa Kuwahara,,9.0,14.11,33.0,,127.0
tsuyoshi-endō,Tsuyoshi Endō,,7.0,12.29,24.0,,86.0
tyrone-jones,Tyrone Jones,,40.0,6.28,41.0,1.0,251.0
yoshifumi-yamashita,Yoshifumi Yamashita,,11.0,9.0,25.0,,99.0
yoshiki-satō,Yoshiki Satō,,9.0,12.0,18.0,,108.0
yōsuke-inoue,Yōsuke Inoue,,22.0,5.77,42.0,,127.0
yūdai-yoshikai,Yūdai Yoshikai,,9.0,10.11,26.0,1.0,91.0
yūki-shirakami,Yūki Shirakami,,18.0,4.33,14.0,,78.0
yūshirō-sakai,Yūshirō Sakai,,24.0,3.13,11.0,,75.0
yūto-kuroki,Yūto Kuroki,,12.0,7.17,17.0,,86.0
