player_id,player_name,positions,field_goal_yards,interceptions_lost,interceptions_made,made_19,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
adams-jr-vernon,"ADAMS JR., Vernon",QB,,3.0,,,,7.0,1798.0,,0.0,-3.0,1.0,1.0,162.0,
adams-tyrie,"ADAMS, Tyrie",QB,,,,,,,,,,,,0.0,1.0,
addison-bralon,"ADDISON, Bralon",WR,,,,,,,,,0.0,337.0,35.0,0.0,56.0,
adeboboye-daniel,"ADEBOBOYE, Daniel",RB,,,,,,,,,0.0,13.0,2.0,0.0,11.0,
antwi-jeshrun,"ANTWI, Jeshrun",RB,,,,,,,,,0.0,171.0,25.0,0.0,541.0,
arbuckle-nick,"ARBUCKLE, Nick",QB,,12.0,,,,5.0,2529.0,,,,,1.0,70.0,
augustine-johnny,"AUGUSTINE, Johnny",RB,,,,,,,,,0.0,32.0,4.0,0.0,247.0,
absher-dante,"Absher, Dante",WR,,,,,,,,,0.0,5.0,1.0,,,
ackie-chris,"Ackie, Chris",DB,,,,,,,,,0.0,4.0,1.0,,,
acklin-jaelon,"Acklin, Jaelon",WR,,,,,,,,,2.0,1009.0,59.0,,,
adams-darvin,"Adams, Darvin",WR,,,,,,,,,2.0,683.0,45.0,,,
agudosi-carlton,"Agudosi, Carlton",WR,,,,,,,,,2.0,70.0,6.0,,,
ambles-markeith,"Ambles, Markeith",WR,,,,,,,,,2.0,529.0,53.0,,,
amos-dashaun,"Amos, DaShaun",DB,,,,,,,,,0.0,0.0,0.0,,,
anderson-bruce,"Anderson, Bruce",RB,,,,,,,,,0.0,60.0,8.0,0.0,67.0,
arceneaux-emmanuel,"Arceneaux, Emmanuel",SB,,,,,,,,,1.0,428.0,36.0,,,
aristilde-jr-dieuly,"Aristilde Jr., Dieuly",WR,,,,,,,,,0.0,0.0,0.0,,,
awachie-albert,"Awachie, Albert",FB/RB,,,,,,,,,0.0,38.0,4.0,,,
bc-dst,BC DST,DST,,,15.0,,,,,426.0,,,,,,34.0
bc-qb,BC QB,QB,,3.0,,,,1.0,317.0,,,,,,,
begelton-reggie,"BEGELTON, Reggie",WR,,,,,,,,,2.0,681.0,63.0,0.0,42.0,
brissett-dejon,"BRISSETT, Dejon",WR,,,,,,,,,0.0,20.0,3.0,,,
bruggeling-keaton,"BRUGGELING, Keaton",WR,,,,,,,,,0.0,11.0,2.0,,,
butler-james,"BUTLER, James",RB,,,,,,,,,4.0,365.0,49.0,7.0,1003.0,
badie-sherman,"Badie, Sherman",WR/RB,,,,,,,,,0.0,18.0,4.0,1.0,109.0,
bailey-rasheed,"Bailey, Rasheed",WR,,,,,,,,,6.0,534.0,49.0,0.0,65.0,
bane-jr-shawn,"Bane Jr., Shawn",WR,,,,,,,,,1.0,266.0,17.0,,,
banks-brandon,"Banks, Brandon",WR,,,,,,,,,1.0,214.0,22.0,0.0,7.0,
bede-boris,"Bede, Boris",K,948.0,,,,9.0,,,,,,,,,
behar-nate,"Behar, Nate",WR,,,,,,,,,2.0,535.0,48.0,,,
bennett-jackson,"Bennett, Jackson",RB,,,,,,,,,0.0,61.0,11.0,0.0,188.0,
brescacin-juwan,"Brescacin, Juwan",WR,,,,,,,,,0.0,5.0,1.0,,,
brown-dru,"Brown, Dru",QB,,3.0,,,,5.0,468.0,,,,,3.0,36.0,
burnham-bryan,"Burnham, Bryan",WR,,,,,,,,,3.0,544.0,38.0,,,
burt-jake,"Burt, Jake",FB,,,,,,,,,0.0,35.0,3.0,,,
castillo-sergio,"CASTILLO, Sergio",K,1133.0,,,,5.0,,,,,,,,,
cgy-dst,CGY DST,DST,,,15.0,,,,,314.0,,,,,,37.0
cgy-qb,CGY QB,QB,,9.0,,,,15.0,2736.0,,,,,,,
cibasu-regis,"CIBASU, Regis",WR/FB,,,,,,,,,0.0,20.0,3.0,,,
collaros-zach,"COLLAROS, Zach",QB,,12.0,,,,33.0,3887.0,,,,,0.0,49.0,
cottoy-jevon,"COTTOY, Jevon",WR,,,,,,,,,2.0,454.0,40.0,,,
coxie-damonte,"COXIE, Damonte",WR,,,,,,,,,0.0,115.0,8.0,,,
caleb-holley,Caleb Holley,WR,,,,,,,,,0.0,50.0,6.0,,,
carey-ka39deem,"Carey, Ka&#39;Deem",RB,,,,,,,,,0.0,190.0,23.0,8.0,895.0,
cooper-shaquille,"Cooper, Shaquille",RB,,,,,,,,,0.0,21.0,3.0,0.0,7.0,
cornelius-taylor,"Cornelius, Taylor",QB,,7.0,,,,7.0,1932.0,,,,,4.0,436.0,
cross-declan,"Cross, Declan",FB,,,,,,,,,0.0,22.0,2.0,,,
cote-david,"Côté, David",K,1240.0,,,2.0,7.0,,,,,,,,,
daniels-davaris,"DANIELS, DaVaris",WR,,,,,,,,,3.0,645.0,42.0,,,
dedmon-devonte,"DEDMON, Devonte",WR/RB,,,,,,,,,0.0,39.0,5.0,0.0,5.0,
demski-nic,"DEMSKI, Nic",WR,,,,,,,,,8.0,596.0,49.0,0.0,130.0,
dubois-marco,"DUBOIS, Marco",WR/FB,,,,,,,,,0.0,62.0,3.0,,,
dakota-prukop,Dakota Prukop,QB,,,,,,,181.0,,,,,6.0,209.0,
davis-dominique,"Davis, Dominique",QB,,1.0,,,,1.0,87.0,,0.0,0.0,0.0,12.0,98.0,
deon-jackson,Deon Jackson,RB,,0.0,,,,0.0,1.0,,1.0,175.0,26.0,1.0,256.0,
dequoy-marc-antoine,"Dequoy, Marc-Antoine",DB,,,,,,,,,0.0,0.0,0.0,,,
devon-williams,Devon Williams,WR/RB/TE/P,,,,,,,,,0.0,143.0,21.0,0.0,311.0,
dolegala-jake,"Dolegala, Jake",QB,,2.0,,,,1.0,154.0,,,,,0.0,12.0,
domagala-michael,"Domagala, Michael",P/K,317.0,,,,4.0,,,,,,,,,
durant-lemar,"Durant, Lemar",WR,,,,,,,,,0.0,58.0,8.0,,,
edm-dst,EDM DST,DST,,,9.0,,,,,407.0,,,,,,25.0
edm-qb,EDM QB,QB,,7.0,,,,14.0,2551.0,,,,,,,
evans-caleb,"EVANS, Caleb",QB,,7.0,,,,4.0,1161.0,,0.0,0.0,0.0,11.0,312.0,
ellingson-greg,"Ellingson, Greg",WR,,,,,,,,,2.0,501.0,33.0,,,
emilus-samuel,"Emilus, Samuel",WR,,,,,,,,,0.0,150.0,7.0,,,
emmanuel-butler,Emmanuel Butler,WR,,,,,,,,,0.0,30.0,3.0,,,
evans-dane,"Evans, Dane",QB,,11.0,,,,13.0,3097.0,,,,,4.0,149.0,
evans-shaq,"Evans, Shaq",WR,,,,,,,,,2.0,330.0,21.0,,,
fajardo-cody,"FAJARDO, Cody",QB,,13.0,,,,13.0,2792.0,,0.0,-4.0,1.0,8.0,309.0,
fletcher-walter,"FLETCHER, Walter",RB,,,,,,,,,1.0,308.0,24.0,1.0,448.0,
feaster-tavien,"Feaster, Tavien",RB,,,,,,,,,0.0,0.0,0.0,0.0,62.0,
fine-mason,"Fine, Mason",QB,,3.0,,,,3.0,522.0,,,,,0.0,35.0,
flintoft-stefan,"Flintoft, Stefan",P,,0.0,,,,0.0,3.0,,,,,,,
forbes-mombleau-vincent,"Forbes-Mombleau, Vincent",WR,,,,,,,,,0.0,48.0,2.0,,,
ford-tre,"Ford, Tre",QB,,5.0,,,,2.0,461.0,,,,,0.0,149.0,
gittens-jr-kurleigh,"GITTENS JR., Kurleigh",WR,,,,,,,,,4.0,865.0,61.0,0.0,19.0,
gosselin-anthony,"GOSSELIN, Anthony",FB/RB,,,,,,,,,0.0,35.0,4.0,,,
grant-janarion,"GRANT, Janarion",WR,,,,,,,,,0.0,54.0,6.0,0.0,74.0,
green-tanner,"GREEN, Tanner",FB/RB,,,,,,,,,0.0,32.0,3.0,,,
garand-gauthier-felix,"Garand-Gauthier, Felix",FB,,,,,,,,,0.0,163.0,7.0,,,
gillanders-brendan,"Gillanders, Brendan",RB,,,,,,,,,0.0,6.0,1.0,,,
hakunavanhu-luther,"HAKUNAVANHU, Luther",WR,,,,,,,,,2.0,228.0,17.0,,,
ham-dst,HAM DST,DST,,,15.0,,,,,329.0,,,,,,36.0
ham-qb,HAM QB,QB,,2.0,,,,5.0,628.0,,,,,,,
hardy-justin,"HARDY, Justin",WR,,,,,,,,,0.0,237.0,20.0,,,
harris-trevor,"HARRIS, Trevor",QB,,12.0,,,,19.0,3819.0,,,,,0.0,164.0,
hatcher-keon,"HATCHER, Keon",WR,,,,,,,,,5.0,951.0,61.0,,,
harris-andrew,"Harris, Andrew",RB,,,,,,,,,0.0,125.0,17.0,0.0,490.0,
harris-rj,"Harris, R.J.",WR,,,,,,,,,0.0,154.0,15.0,,,
haydel-jeremiah,"Haydel, Jeremiah",WR,,,,,,,,,0.0,2.0,3.0,0.0,11.0,
hergy-mayala,Hergy Mayala,WR,,,,,,,,,2.0,349.0,28.0,,,
hickson-frankie,"Hickson, Frankie",RB,,,,,,,,,0.0,76.0,15.0,1.0,372.0,
hills-wes,"Hills, Wes",RB,,,,,,,,,0.0,79.0,8.0,1.0,343.0,
hunchak-colton,"Hunchak, Colton",WR,,,,,,,,,0.0,55.0,5.0,,,
irons-maleek,"Irons, Maleek",RB,,,,,,,,,0.0,21.0,2.0,1.0,70.0,
jones-tevin,"JONES, Tevin",WR,,,,,,,,,2.0,215.0,17.0,,,
julien-grant-kaion,"JULIEN-GRANT, Kaion",WR,,,,,,,,,2.0,462.0,32.0,,,
johnson-shaq,"Johnson, Shaq",WR,,,,,,,,,1.0,313.0,20.0,,,
jones-mike,"Jones, Mike",WR/RB,,,,,,,,,0.0,117.0,9.0,,,
jorden-kamar,"Jorden, Kamar",WR,,,,,,,,,0.0,293.0,32.0,,,
kelly-chad,"KELLY, Chad",QB,,1.0,,,,0.0,7.0,,,,,5.0,102.0,
kai-locksley,Kai Locksley,WR/QB,,0.0,,,,0.0,50.0,,0.0,201.0,12.0,7.0,79.0,
labelle-bruno,"LABELLE, Bruno",WR/FB,,,,,,,,,0.0,18.0,1.0,,,
langlais-william,"LANGLAIS, William",RB,,,,,,,,,1.0,67.0,6.0,,,
lauther-brett,"LAUTHER, Brett",K,1108.0,,,,8.0,,,,,,,,,
leake-javon,"LEAKE, Javon",RB,,,,,,,,,0.0,26.0,3.0,0.0,12.0,
lewis-eugene,"LEWIS, Eugene",WR,,1.0,,,,0.0,0.0,,9.0,1195.0,82.0,,,
liegghio-marc,"LIEGGHIO, Marc",K,808.0,,,,7.0,,,,,,,0.0,-4.0,
lafrance-kienan,"LaFrance, Kienan",RB,,,,,,,,,0.0,28.0,5.0,0.0,39.0,
lavoie-karl,"Lavoie, Karl",OL,,,,,,,,,0.0,48.0,8.0,,,
lawler-kenny,"Lawler, Kenny",WR,,,,,,,,,4.0,599.0,43.0,,,
lenius-brayden,"Lenius, Brayden",WR,,,,,,,,,1.0,166.0,16.0,,,
lewis-wesley,"Lewis, Wesley",WR,,,,,,,,,0.0,8.0,2.0,,,
lucky-jackson,Lucky Jackson,WR,,,,,,,,,0.0,0.0,0.0,,,
masoli-jeremiah,"MASOLI, Jeremiah",QB,,2.0,,,,2.0,752.0,,,,,1.0,36.0,
mcinnis-justin,"MCINNIS, Justin",WR,,,,,,,,,2.0,355.0,31.0,,,
middlemost-tyson,"MIDDLEMOST, Tyson",WR,,,,,,,,,0.0,45.0,4.0,,,
milanovic-litre-ante,"MILANOVIC-LITRE, Ante",RB,,,,,,,,,0.0,48.0,9.0,1.0,218.0,
mtl-dst,MTL DST,DST,,,12.0,,,,,436.0,,,,,,36.0
