player_id,player_name,positions,events_played,pdga_points,pdga_rating
a-abrahamsson,A. Abrahamsson,MPO,9.0,1060.0,915.0
a-aguilar,A. Aguilar,MPO,12.0,647.0,920.0
a-ahvenainen,A. Ahvenainen,MPO,8.0,778.0,916.0
a-albert,A. Albert,MPO,8.0,675.0,906.0
a-alesmaa,A. Alesmaa,MPO,8.0,740.0,953.0
a-allsbury,A. Allsbury,MPO,5.0,505.0,991.0
a-ancans,A. Ancans,MPO,17.0,727.0,920.0
a-anderson,A. Anderson,MPO,11.0,2623.0,1940.0
a-angel,A. Angel,MPO,7.0,1154.0,913.0
a-anselmo,A. Anselmo,MPO,13.0,3190.0,975.0
a-argandar-valdez,A. Argandar-Valdez,MPO,5.0,875.0,930.0
a-ashcraft,A. Ashcraft,MPO,7.0,725.0,925.0
a-aubuchon,A. Aubuchon,MPO,10.0,557.0,926.0
a-bahena,A. Bahena,MPO,10.0,582.0,970.0
a-bailey,A. Bailey,MPO,9.0,1120.0,987.0
a-barela,A. Barela,MPO,8.0,700.0,941.0
a-barlow,A. Barlow,MPO,10.0,1380.0,953.0
a-barrett,A. Barrett,MPO,17.0,1042.0,914.0
a-bassett,A. Bassett,MPO,14.0,927.0,964.0
a-baumann,A. Baumann,MPO,10.0,750.0,971.0
a-baxley,A. Baxley,MPO,4.0,507.0,924.0
a-beaver,A. Beaver,MPO,10.0,1425.0,1917.0
a-berg,A. Berg,MPO,9.0,906.0,949.0
a-berglund,A. Berglund,MPO,21.0,7807.0,993.0
a-betea,A. Betea,MPO,4.0,715.0,980.0
a-blackmer,A. Blackmer,MPO,6.0,735.0,919.0
a-bohme,A. Bohme,MPO,1.0,1670.0,944.0
a-borneld,A. Borneld,MPO,19.0,2650.0,931.0
a-bosco,A. Bosco,MPO,10.0,717.0,879.0
a-boyle,A. Boyle,MPO,14.0,1482.0,935.0
a-bravo,A. Bravo,MPO,10.0,500.0,953.0
a-briscoe,A. Briscoe,MPO,2.0,960.0,901.0
a-brock,A. Brock,MPO,19.0,17460.0,1029.0
a-brown,A. Brown,MPO,32.0,3677.0,1945.0
a-burns,A. Burns,MPO,6.0,1087.0,931.0
a-cano-iii,A. Cano III,MPO,4.0,778.0,918.0
a-carey,A. Carey,MPO,5.0,747.0,947.0
a-carlson,A. Carlson,MPO,12.0,790.0,926.0
a-carmona,A. Carmona,MPO,4.0,737.0,946.0
a-chavez-luna,A. Chavez-Luna,MPO,3.0,1390.0,908.0
a-collins,A. Collins,MPO,27.0,4982.0,1957.0
a-conrad,A. Conrad,MPO,3.0,807.0,956.0
a-cornwell,A. Cornwell,MPO,27.0,2202.0,963.0
a-correia,A. Correia,MPO,15.0,7282.0,974.0
a-couch,A. Couch,MPO,24.0,2635.0,959.0
a-cunningham,A. Cunningham,MPO,24.0,9967.0,1002.0
a-dahlberg,A. Dahlberg,MPO,4.0,2930.0,955.0
a-davies,A. Davies,MPO,10.0,694.0,947.0
a-de-la-rosa-iv,A. De La Rosa IV,MPO,3.0,512.0,935.0
a-delair,A. DeLair,MPO,12.0,767.0,960.0
a-devries,A. DeVries,MPO,7.0,1060.0,1001.0
a-derr,A. Derr,MPO,5.0,535.0,874.0
a-difronzo,A. Difronzo,MPO,3.0,505.0,909.0
a-dillman,A. Dillman,MPO,10.0,907.0,957.0
a-doupe,A. Doupe,MPO,7.0,1610.0,982.0
a-dover,A. Dover,MPO,8.0,544.0,912.0
a-dowe,A. Dowe,MPO,4.0,614.0,909.0
a-doyle,A. Doyle,MPO,9.0,1297.0,928.0
a-durham,A. Durham,MPO,23.0,2455.0,1836.0
