player_id,player_name,positions,match_loss,match_played,match_win,team_points_against,team_points_for
aaron-horowitz,Aaron Horowitz,,3.0,4.0,1.0,23.0,22.0
abby-whitbread,Abby Whitbread,,1.0,2.0,1.0,16.0,11.0
abdullah-alzahrani,Abdullah Alzahrani,,1.0,1.0,0.0,8.0,6.0
ada-neznamov,Ada Neznamov,,1.0,2.0,1.0,12.0,14.0
adelaida-killiane,Adelaida Killiane,,4.0,5.0,0.0,36.0,22.0
adrian-durcek,Adrian Durcek,,3.0,7.0,2.0,46.0,29.0
adrian-meikle,Adrian Meikle,,0.0,1.0,1.0,1.0,10.0
agnes-knochenhauer,Agnes Knochenhauer,,2.0,7.0,5.0,37.0,44.0
agris-lasmans,Agris Lasmans,,2.0,5.0,3.0,35.0,37.0
aiden-oldenburg,Aiden Oldenburg,,4.0,11.0,7.0,64.0,73.0
aidos-alliyar,Aidos Alliyar,,2.0,4.0,2.0,32.0,24.0
aileen-geving,Aileen Geving,,1.0,5.0,4.0,32.0,39.0
ain-villau,Ain Villau,,1.0,2.0,1.0,15.0,14.0
ajda-zavrtanik-drglin,Ajda Zavrtanik Drglin,,1.0,2.0,1.0,12.0,11.0
aki-jokela,Aki Jokela,,1.0,3.0,2.0,16.0,16.0
aki-ogawa,Aki Ogawa,,2.0,3.0,0.0,30.0,6.0
akira-otsuka,Akira Otsuka,,2.0,3.0,1.0,17.0,13.0
alastair-fyfe,Alastair Fyfe,,2.0,2.0,0.0,11.0,5.0
alastair-onglingswan,Alastair Onglingswan,,1.0,2.0,1.0,12.0,9.0
alberto-pimpini,Alberto Pimpini,,3.0,8.0,5.0,45.0,51.0
aleksa-mrkovic,Aleksa Mrkovic,,4.0,4.0,0.0,44.0,8.0
aleksandrs-baranovskis,Aleksandrs Baranovskis,,1.0,6.0,5.0,24.0,43.0
alenka-omerzel,Alenka Omerzel,,2.0,2.0,0.0,23.0,3.0
alex-pokras,Alex Pokras,,3.0,4.0,1.0,23.0,22.0
alexander-qvist,Alexander Qvist,,9.0,11.0,2.0,83.0,67.0
alfonso-gracia,Alfonso Gracia,,1.0,3.0,1.0,26.0,11.0
alina-pätz,Alina Pätz,,2.0,4.0,2.0,24.0,28.0
alistair-reid,Alistair Reid,,0.0,1.0,1.0,1.0,10.0
allan-chaves,Allan Chaves,,3.0,5.0,2.0,36.0,24.0
allegra-grande,Allegra Grande,,0.0,3.0,3.0,13.0,33.0
allen-coliban,Allen Coliban,,3.0,5.0,2.0,31.0,29.0
allie-iskiw,Allie Iskiw,,1.0,2.0,1.0,16.0,11.0
allory-johnson,Allory Johnson,,4.0,7.0,3.0,58.0,46.0
almida-de-val,Almida De Val,,4.0,8.0,4.0,57.0,51.0
alois-genner,Alois Genner,,3.0,3.0,0.0,26.0,17.0
alyssa-nedohin,Alyssa Nedohin,,1.0,2.0,1.0,16.0,11.0
amos-mosaner,Amos Mosaner,,4.0,15.0,11.0,82.0,108.0
ana-teodoro,Ana Teodoro,,3.0,4.0,1.0,30.0,18.0
anders-mjoeen,Anders Mjoeen,,5.0,7.0,2.0,56.0,39.0
andrea-gilli,Andrea Gilli,,2.0,5.0,3.0,34.0,39.0
andrea-stark,Andrea Stark,,1.0,2.0,1.0,12.0,14.0
andreas-hårstad,Andreas Hårstad,,5.0,5.0,0.0,39.0,22.0
andres-jakobson,Andres Jakobson,,3.0,4.0,1.0,28.0,17.0
andrew-reed,Andrew Reed,,1.0,3.0,2.0,15.0,26.0
andrew-tanner,Andrew Tanner,,0.0,1.0,1.0,1.0,10.0
andrzej-smak,Andrzej Smak,,1.0,1.0,0.0,12.0,4.0
andy-mcglynn,Andy McGlynn,,1.0,3.0,2.0,13.0,22.0
anette-norberg,Anette Norberg,,0.0,2.0,2.0,5.0,20.0
angela-menardi,Angela Menardi,,3.0,5.0,1.0,23.0,25.0
angela-wilcox,Angela Wilcox,,0.0,1.0,1.0,2.0,6.0
angharad-ward,Angharad Ward,,2.0,4.0,2.0,22.0,34.0
angus-bryce,Angus Bryce,,2.0,4.0,2.0,25.0,34.0
ania-bacali,Ania Bacali,,0.0,2.0,1.0,17.0,12.0
anja-pecaver,Anja Pecaver,,1.0,2.0,1.0,12.0,11.0
anna-hasselborg,Anna Hasselborg,,2.0,7.0,5.0,37.0,44.0
anna-howey,Anna Howey,,2.0,4.0,2.0,22.0,34.0
anna-le-moine,Anna Le Moine,,0.0,2.0,2.0,5.0,20.0
anna-li-marchetti,Anna Li-Marchetti,,1.0,4.0,3.0,22.0,37.0
anna-ohmiya,Anna Ohmiya,,1.0,2.0,1.0,14.0,13.0
annabelle-martin,Annabelle Martin,,2.0,4.0,2.0,22.0,34.0
anne-ohara,Anne O'Hara,,2.0,2.0,0.0,17.0,4.0
anniken-pettersen,Anniken Pettersen,,1.0,1.0,0.0,12.0,4.0
anselme-lutaud,Anselme Lutaud,,1.0,2.0,0.0,18.0,1.0
ante-baus,Ante Baus,,3.0,5.0,2.0,26.0,30.0
antoni-frynia,Antoni Frynia,,2.0,2.0,0.0,18.0,14.0
antonio-menardi,Antonio Menardi,,2.0,2.0,0.0,16.0,3.0
aone-nakamura,Aone Nakamura,,1.0,4.0,3.0,18.0,30.0
archie-hyslop,Archie Hyslop,,2.0,7.0,5.0,38.0,56.0
arianna-atienza,Arianna Atienza,,3.0,4.0,0.0,43.0,7.0
arild-hegland,Arild Hegland,,0.0,3.0,3.0,6.0,25.0
arkadiusz-detyniecki,Arkadiusz Detyniecki,,1.0,1.0,0.0,12.0,4.0
