rank,canonical_id,canonical_name,positions,rushing_yards,rushing_tds
1,brady-oliveira,Brady OLIVEIRA,RB,5141.0,20.0
2,james-butler,James BUTLER,RB,4111.0,33.0
3,william-stanback,William STANBACK,RB,3583.0,12.0
4,dedrick-mills,Dedrick MILLS,RB,3242.0,17.0
5,justin-rankin,Justin Rankin,RB,1880.0,15.0
6,ka39deem-carey,Ka&#39;Deem Carey,RB,1836.0,14.0
7,darius-victor,Darius Victor,RB,1750.0,18.0
8,cj-marable,CJ Marable,RB,1702.0,14.0
9,kevin-brown,Kevin BROWN,LB/P/RB,1675.0,5.0
10,greg-bell,Greg Bell,RB,1667.0,11.0
11,stallions-qb,Stallions QB,QB,1637.0,12.0
12,deveon-smith,De\'Veon Smith,RB,1540.0,20.0
13,walter-fletcher,Walter FLETCHER,RB,1478.0,5.0
14,jordan-taamu,Jordan Ta\'amu,QB,1459.0,8.0
15,wes-hills,Wes Hills,RB,1405.0,16.0
16,jamal-morrow,Jamal Morrow,RB,1396.0,5.0
17,dustin-crum,Dustin CRUM,QB,1359.0,27.0
18,abram-smith,Abram Smith,RB,1349.0,10.0
19,mark-thompson,Mark Thompson,RB,1346.0,21.0
20,devonte-williams,Devonte Williams,RB,1315.0,4.0
21,defenders-k,Defenders K,K/QB,1297.0,12.0
22,matt-colburn-ii,Matt Colburn II,RB/WR,1263.0,17.0
23,vernon-adams-jr,Vernon ADAMS JR.,QB,1253.0,8.0
24,cody-fajardo,Cody FAJARDO,QB,1242.0,21.0
25,tre-ford,Tre FORD,QB,1151.0,4.0
26,trey-williams,Trey Williams,RB,1139.0,6.0
27,nathan-rourke,Nathan ROURKE,QB,1125.0,23.0
28,deon-jackson,Deon Jackson,RB,1121.0,12.0
29,ryquell-armstead,Ryquell Armstead,RB,1080.0,3.0
30,john-lovett,John Lovett,RB,1077.0,11.0
31,jacob-saylors,Jacob Saylors,RB,1071.0,10.0
32,stevie-scott-iii,Stevie Scott III,RB,1024.0,5.0
33,daniel-adeboboye,Daniel ADEBOBOYE,RB,1015.0,3.0
34,frankie-hickson,Frankie Hickson,RB,1005.0,2.0
35,panthers-qb,Panthers QB,QB,974.0,15.0
36,reggie-corbin,Reggie Corbin,RB,958.0,4.0
37,jashaun-corbin,Jashaun Corbin,RB,952.0,7.0
38,jeshrun-antwi,Jeshrun ANTWI,RB,925.0,1.0
39,ricky-person-jr,Ricky Person Jr.,RB,921.0,12.0
40,javon-leake,Javon LEAKE,RB,916.0,7.0
41,johnny-augustine,Johnny AUGUSTINE,RB,891.0,2.0
42,battlehawks-qb,Battlehawks QB,QB,843.0,12.0
43,taylor-cornelius,Taylor Cornelius,QB,806.0,15.0
44,drew-prohaska,Drew Prohaska,RB,803.0,29.0
45,anthony-mcfarland-jr,Anthony McFarland Jr,RB,784.0,4.0
46,zaquandre-white,ZaQuandre White,RB,781.0,10.0
47,taquan-mizzell,Taquan Mizzell,RB,773.0,3.0
48,case-cookus,Case Cookus,QB,769.0,2.0
49,jarveon-howard,Jarveon Howard,RB,767.0,3.0
50,alex-mcgough,Alex McGough,QB,765.0,9.0
51,dae-dae-hunter,Dae Dae Hunter,RB,736.0,4.0
52,andrew-harris,Andrew Harris,RB,719.0,2.0
53,madre-london,Madre London,RB,698.0,2.0
54,jacques-patrick,Jacques Patrick,RB,697.0,7.0
55,toa-taua,Toa Taua,RB,694.0,9.0
56,roughnecks-qb,Roughnecks QB,QB,686.0,6.0
57,deandre-johnson,De\'Andre Johnson,QB,672.0,6.0
58,lorenzo-brown,Lorenzo Brown,QB,667.0,15.0
59,sean-thomas-erlington,Sean THOMAS ERLINGTON,RB,637.0,3.0
60,jhurell-pressley,Jhurell Pressley,RB,620.0,1.0
61,jalen-morton,Jalen Morton,QB,614.0,18.0
62,garrett-groshek,Garrett Groshek,RB,605.0,3.0
63,jordan-ellis,Jordan Ellis,RB,605.0,5.0
64,caleb-evans,Caleb EVANS,QB,601.0,25.0
65,jeff-mack-ii,Jeff Mack II,RB,599.0,21.0
66,kenneth-farrow,Kenneth Farrow,RB,596.0,5.0
67,adrian-martinez,Adrian Martinez,QB,589.0,5.0
68,deonta-mcmahon,Deonta MCMAHON,RB,577.0,8.0
69,chad-kelly,Chad KELLY,QB,576.0,18.0
70,tommy-stevens,Tommy STEVENS,QB,576.0,21.0
71,chris-streveler,Chris STREVELER,QB,573.0,19.0
72,damond-powell,Damond Powell,WR,570.0,19.0
73,troy-williams,Troy Williams,QB,551.0,6.0
74,dakota-prukop,Dakota Prukop,QB,550.0,23.0
75,noa-purcell,Noa Purcell,LB,545.0,19.0
76,peyton-logan,Peyton LOGAN,RB,524.0,2.0
77,kadeem-carey,Ka\'Deem CAREY,RB,517.0,0.0
78,nate-mccrary,Nate McCrary,RB,502.0,3.0
79,jalan-mcclendon,Jalan McClendon,QB,501.0,4.0
80,bryce-holliday,Bryce Holliday,QB,490.0,12.0
81,james-summers,James Summers,QB/WR/LB,484.0,16.0
82,generals-qb,Generals QB,QB,482.0,4.0
83,juwan-washington,Juwan Washington,RB,474.0,3.0
84,tabyus-taylor,Tabyus Taylor,RB,474.0,12.0
85,morgan-ellison,Morgan Ellison,RB,473.0,4.0
86,bryce-perkins,Bryce Perkins,QB,469.0,9.0
87,demry-croft,Demry Croft,QB,460.0,10.0
88,kalen-ballage,Kalen Ballage,RB,455.0,2.0
89,brahmas-qb,Brahmas QB,QB,455.0,1.0
90,cameron-dukes,Cameron Dukes,QB,447.0,12.0
91,zach-collaros,Zach COLLAROS,QB,445.0,3.0
92,desmond-maxwell,Desmond  Maxwell,FB/LB/RB,441.0,18.0
93,jaquan-gardner,Ja'Quan Gardner,RB,438.0,3.0
94,dalton-cole,Dalton Cole,QB,434.0,18.0
95,anthony-jones,Anthony Jones,RB,433.0,2.0
96,tim-cook,Tim Cook,RB,432.0,3.0
97,brian-hill,Brian Hill,RB,425.0,1.0
98,joshua-hollins,Joshua Hollins,QB,424.0,11.0
99,shannon-brooks,Shannon Brooks,RB,412.0,4.0
100,tracy-brooks,Tracy Brooks,RB,406.0,21.0
