rank,canonical_id,canonical_name,positions,made_49,made_50,extra_points,missed
1,nick-vogel,Nick Vogel,K,5.0,5.0,0,9.0
2,houston-k,Houston K,K,5.0,5.0,0,5.0
3,brandon-aubrey,Brandon Aubrey,K/PK,4.0,0.0,0,6.0
4,birmingham-qb,Birmingham QB,MPO/K/QB,4.0,0.0,0,5.0
5,philadelphia-k,Philadelphia K,K,4.0,0.0,0,8.0
6,ramiz-ahmed,Ramiz Ahmed,K,3.0,4.0,0,11.0
7,michigan-k,Michigan K,K,3.0,2.0,0,4.0
8,pittsburgh-k,Pittsburgh K,K,3.0,4.0,0,7.0
9,cole-murphy,Cole Murphy,K,3.0,2.0,0,6.0
10,luis-aguilar,Luis Aguilar,K,3.0,0.0,0,7.0
11,new-jersey-k,New Jersey K,K,2.0,2.0,0,10.0
12,new-orleans-k,New Orleans K,K,2.0,2.0,0,4.0
13,taylor-bertolet,Taylor Bertolet,K,2.0,2.0,0,2.0
14,nick-rose,Nick Rose,K/G,1.0,1.0,0,7.0
15,matt-mengel,Matt Mengel,K,1.0,0.0,0,5.0
16,tyler-rausa,Tyler Rausa,K,1.0,0.0,0,5.0
17,tampa-bay-k,Tampa Bay K,K,1.0,0.0,0,5.0
18,austin-jones,Austin Jones,K,1.0,1.0,0,3.0
