rank,canonical_id,canonical_name,positions,def_tackles,def_sacks,def_int
1,wael-nasri,Wael Nasri,LB,222.0,7.0,0
2,myke-tavarres,Myke Tavarres,LB,193.0,10.5,0
3,zachary-eugene-blair,Zachary Eugene Blair,LB,193.0,4.0,0
4,william-lloyd,William Lloyd,LB,186.0,4.0,0
5,adrian-joseph-wentland,Adrian Joseph Wentland,LB,160.0,3.0,0
6,goran-zec,Goran Zec,DB/LB,149.0,4.5,0
7,paul-seifert,Paul Seifert,LB,144.0,1.0,0
8,alexandre-gonzalez-posito,Alexandre Gonzalez Posito,LB,142.0,3.0,0
9,miguel-boock,Miguel  Boock,LB,139.0,4.5,0
10,osaruonamen-ogbevoen,Osaruonamen Ogbevoen,LB,137.0,6.0,0
11,marius-kensy,Marius Kensy,LB,132.0,6.5,0
12,william-james,William James,CB/LB,132.0,0,0
13,louis-achaintre,Louis Achaintre,LB,128.0,3.5,0
14,thomas-schnurrer,Thomas Schnurrer,LB,125.0,0.5,0
15,ronley-lakalaka,Ronley Lakalaka,LB,120.0,3.0,0
16,hubert-ogrodowczyk,Hubert Ogrodowczyk,LB,119.0,4.0,0
17,kyle-kitchens,Kyle Kitchens,DL/LB,116.0,28.5,0
18,daniel-laporte,Daniel  Laporte,LB,112.0,3.5,0
19,sebastian-silva-gomez,Sebastían Silva Gomez,LB,107.0,5.5,0
20,karlis-brauns,Karlis Brauns,DE/DT/LB,105.0,16.5,0
21,lautaro-frecha,Lautaro Frecha,S/LB,102.0,0.5,0
22,ambroise-mati,Ambroise Mati,LB,101.0,6.0,0
23,omari-williams,Omari Williams,S/LB,101.0,0,0
24,sebastian-gauthier,Sebastian Gauthier,LB,100.0,8.0,0
25,aslan-zetterberg,Aslan Zetterberg,DL/LB,100.0,20.5,0
26,cesare-brugnani,Cesare Brugnani,LB,99.0,3.0,0
27,lucky-ogbevoen,Lucky Ogbevoen,LB,98.0,2.5,0
28,ludvig-myrén,Ludvig Myrén,LB,93.0,2.0,0
29,david-izinyon,David Izinyon,DT/LB,91.0,3.0,0
30,maxime-rouyer,Maxime Rouyer,LB,89.0,4.5,0
31,justin-rogers,Justin Rogers,DB/DT/LB,88.0,0.5,0
32,jonas-schultes,Jonas Schultes,LB,88.0,2.0,0
33,kasim-edebali,Kasim Edebali,LB,87.0,17.5,0
34,matthias-spiegel,Matthias Spiegel,LB,84.0,1.5,0
35,antony-rodrigues,Antony Rodrigues,LB,84.0,2.0,0
36,joshua-poznanski,Joshua Poznanski,S/LB,82.0,0,0
37,daniel-josiah,Daniel Josiah,LB,80.0,7.5,0
38,luis-horvath,Luis Horvath,S/LB,80.0,0,0
39,niko-lester,Niko Lester,WR,77.0,0,0
40,flamur-simon,Flamur Simon,LB,76.0,5.0,0
41,jonathan-dietze,Jonathan Dietze,LB,76.0,0,0
42,fernando-lowery,Fernando Lowery,LB,76.0,0,0
43,nijaz-hamulic,Nijaz Hamulic,LB,75.0,2.0,0
44,olav-røhnebæk,Olav Røhnebæk,LB,74.0,2.5,0
45,louis-müller,Louis Müller,LB,74.0,0.5,0
46,martin-pinter,Martin Pinter,LB,73.0,5.5,0
47,till-janssen,Till Janssen,DB/LB,73.0,0,0
48,alejandro-fernandez-nieto,Alejandro Fernandez Nieto,LB,73.0,20.5,0
49,salih-özdemir,Salih Özdemir,LB,73.0,1.0,0
50,ruben-seeber,Ruben Seeber,LB,70.0,0.5,0
51,moritz-thiele,Moritz Thiele,CB/LB,70.0,0,0
52,niklas-liesen,Niklas Liesen,LB,69.0,1.0,0
53,jannik-seibel,Jannik Seibel,DB/LB,68.0,0,0
54,nick-wenzelburger,Nick Wenzelburger,S/LB,68.0,0,0
55,kamil-ruta,Kamil Ruta,LB,67.0,2.0,0
56,lars-steffen,Lars Steffen,LB,66.0,0,0
57,sebastian-castañer,Sebastian Castañer,LB,66.0,0.5,0
58,ben-wenzler,Ben Wenzler,CB/LB,65.0,0,0
59,jordi-brugnani,Jordi Brugnani,CB/LB,63.0,0,0
60,lukas-ruoss,Lukas Ruoss,LB,62.0,0,0
61,darius-saint-robinson,Darius Saint-Robinson,DB/LB,62.0,0,0
62,evans-yeboah,Evans Yeboah,DL/LB,61.0,11.0,0
63,benjamin-straight,Benjamin Straight,S/LB,61.0,0,0
64,nelson-imasuen,Nelson Imasuen,DL/LB,59.0,9.0,0
65,til-becker,Til Becker,LB,59.0,1.5,0
66,malcolm-washington,Malcolm Washington,CB/DB/LB,58.0,0,0
67,richard-grooten,Richard Grooten,S/LB,58.0,0,0
68,chaska-remy-perron,Chaska Rémy Perron,DB/LB,58.0,0,0
69,robby-kendall,Robby Kendall,LB,58.0,0,0
70,jamaal-white,Jamaal White,LB,58.0,0.5,0
71,benjamin-barnes,Benjamin Barnes,DB/LB,57.0,1.5,0
72,julian-ludwig-mayorga,Julian Ludwig-Mayorga,DB/LB,57.0,0,0
73,berend-grube,Berend Grube,DL/LB,56.0,6.5,0
74,antoni-idziak,Antoni Idziak,LB,56.0,1.5,0
75,lucas-masero,Lucas Masero,CB/LB,54.0,0,0
76,waheed-bhikh,Waheed Bhikh,LB,54.0,0,0
77,m-hor,M. Hor,LB,54.0,6.0,0
78,daniel-piątkowski,Daniel Piątkowski,LB,54.0,0,0
79,niklas-gustav,Niklas Gustav,DL/LB,53.0,10.0,0
80,jan-phillip-bombek,Jan-Phillip Bombek,LB,51.0,16.5,0
81,tim-hänni,Tim Hänni,LB,51.0,7.5,0
82,sercan-vardar,Sercan Vardar,DL/LB,50.0,3.5,0
83,semmie-radji,Semmie Radji,LB,50.0,8.0,0
84,jhonattan-silva-gomez,Jhonattan Silva Gomez,LB,49.0,1.0,0
85,roedion-henrique,Roedion Henrique,S/LB,48.0,0,0
86,exavier-edwards,Exavier Edwards,S,48.0,0,0
87,cedric-udegbe,Cedric Udegbe,LB,48.0,3.0,0
88,lance-leota,Lance Leota,DL/LB,47.0,5.5,0
89,chad-adri-trivon-walrond,Chad-Adri Trivon Walrond,LB,47.0,0,0
90,paul-veritas,Paul Véritas,LB,46.0,1.5,0
91,sebastian-bowen,Sebastian Bowen,DL/LB,46.0,5.5,0
92,alex-ferrari,Alex Ferrari ,LB,46.0,1.0,0
93,kacper-ołdak,Kacper Ołdak,LB,46.0,0,0
94,kolin-hill,Kolin Hill,OLB/DE/LB,45.0,9.5,0
95,dartez-jacobs,Dartez Jacobs,SAF/LB,45.0,1.0,0
96,vincent-müller,Vincent Müller,LB,45.0,0,0
97,jalen-embry,Jalen Embry,CB/DB/LB,44.0,0,0
98,tony-anderson,Tony Anderson,S/LB,44.0,0,0
99,nikolas-knoblauch,Nikolas Knoblauch,LB,44.0,2.0,0
100,stanley-zeregbe,Stanley Zeregbe,DL/LB,44.0,6.5,0
