game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_lost,interceptions_made,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,passing_tds,passing_yards,rush_att,rush_lg,rush_yds,rushing_tds,rushing_yards,tackles
FOOTBALL_CFL_2022_10_15_TOR@EDM,2022-10-15,2022,1,CFL,TOR,EDM,,,,,1.0,,1.0,,,,,,,,,,,,,
FOOTBALL_CFL_2022_10_21_BC@EDM,2022-10-21,2022,1,CFL,BC,EDM,1.0,1.0,,,36.0,22.0,2.0,28.0,9.0,1.0,1.0,242.0,,,8.0,28.0,72.0,,,
FOOTBALL_CFL_2022_6_11_EDM@BC,2022-06-11,2022,1,CFL,EDM,BC,,,,,3.0,1.0,1.0,8.0,,,,8.0,,,2.0,4.0,8.0,,,
FOOTBALL_CFL_2022_6_25_EDM@CGY,2022-06-25,2022,1,CFL,EDM,CGY,,,,,,,,,,,,,,,1.0,2.0,2.0,,,
FOOTBALL_CFL_2022_7_1_EDM@HAM,2022-07-01,2022,1,CFL,EDM,HAM,,,,,26.0,15.0,1.0,21.0,5.0,1.0,1.0,159.0,,,6.0,14.0,61.0,,,
FOOTBALL_CFL_2022_7_7_CGY@EDM,2022-07-07,2022,1,CFL,CGY,EDM,,,,,3.0,2.0,,46.0,,,,52.0,,,2.0,5.0,6.0,,,
SYNTHETIC_CFL_2022_W1_EDM,,2022,1,CFL,,,,,1.0,,,,,,,,,,0.0,8.0,,,,0.0,8.0,
SYNTHETIC_CFL_2022_W3_EDM,,2022,3,CFL,,,,,,,,,,,,,,,,,,,,0.0,2.0,
SYNTHETIC_CFL_2022_W4_EDM,,2022,4,CFL,,,,,1.0,,,,,,,,,,1.0,159.0,,,,0.0,61.0,
SYNTHETIC_CFL_2022_W5_EDM,,2022,5,CFL,,,,,0.0,,,,,,,,,,0.0,52.0,,,,0.0,6.0,
6282,2022-10-15,2022,19,CFL,TOR,EDM,,,1.0,,,,,,,,,,0.0,0.0,,,,,,
6285,2022-10-21,2022,20,CFL,BC,EDM,,,2.0,,,,,,,,,,1.0,242.0,,,,0.0,72.0,
9889318,2023-08-10,2023,10,CFL,WPG,EDM,,,1.0,,,,,,,,,,1.0,189.0,,,,1.0,50.0,
9889322,2023-08-17,2023,11,CFL,EDM,HAM,,,0.0,,,,,,,,,,2.0,174.0,,,,0.0,60.0,
9889329,2023-08-27,2023,12,CFL,OTT,EDM,,,0.0,,,,,,,,,,1.0,317.0,,,,1.0,74.0,
9889333,2023-09-04,2023,13,CFL,EDM,CGY,,,0.0,,,,,,,,,,1.0,137.0,,,,0.0,135.0,
9889337,2023-09-09,2023,14,CFL,CGY,EDM,,,2.0,,,,,,,,,,1.0,173.0,,,,0.0,82.0,
9889339,2023-09-15,2023,15,CFL,EDM,SSK,,,1.0,,,,,,,,,,1.0,173.0,,,,1.0,70.0,
9889343,2023-09-22,2023,16,CFL,BC,EDM,,,0.0,,,,,,,,,,2.0,182.0,,,,0.0,43.0,
9889350,2023-10-06,2023,18,CFL,EDM,TOR,,,2.0,,,,,,,,,,1.0,220.0,,,,0.0,47.0,
9889356,2023-10-14,2023,19,CFL,MTL,EDM,,,0.0,,,,,,,,,,2.0,216.0,,,,0.0,47.0,
9889360,2023-10-21,2023,20,CFL,EDM,WPG,,,0.0,,,,,,,,,,0.0,288.0,,,,0.0,14.0,
10798018,2024-06-08,2024,1,CFL,SSK,EDM,,,,,,,,,,,,,,,,,,,,5.0
10798040,2024-07-19,2024,7,CFL,EDM,OTT,,,0.0,,,,,,,,,,0.0,4.0,,,,0.0,3.0,
10798047,2024-07-28,2024,8,CFL,HAM,EDM,,,0.0,,,,,,,,,,3.0,121.0,,,,0.0,19.0,
10798050,2024-08-03,2024,9,CFL,EDM,SSK,,,1.0,1.0,,,,,,,,,2.0,252.0,,,,0.0,46.0,
10798055,2024-08-11,2024,10,CFL,BC,EDM,,,0.0,,,,,,,,,,0.0,96.0,,,,0.0,11.0,
10798071,2024-09-07,2024,14,CFL,CGY,EDM,,,0.0,,,,,,,,,,0.0,0.0,,,,0.0,4.0,
10798078,2024-09-21,2024,16,CFL,WPG,EDM,,,2.0,,,,,,,,,,1.0,131.0,,,,0.0,9.0,
10798087,2024-10-12,2024,19,CFL,EDM,CGY,,,2.0,,,,,,,,,,1.0,208.0,,,,0.0,33.0,
10798094,2024-10-25,2024,21,CFL,TOR,EDM,,,0.0,,,,,,,,,,3.0,325.0,,,,0.0,81.0,
11824048,2025-06-07,2025,1,CFL,EDM,BC,,,1.0,,,,,,,,,,,178.0,,,,,54.0,
11824053,2025-06-19,2025,3,CFL,MTL,EDM,,,1.0,,,,,,,,,,2.0,308.0,,,,1.0,31.0,
11824057,2025-06-26,2025,4,CFL,EDM,WPG,,,0.0,,,,,,,,,,1.0,252.0,,,,0.0,6.0,
11824064,2025-07-06,2025,5,CFL,OTT,EDM,,,0.0,,,,,,,,,,2.0,212.0,,,,0.0,14.0,
11824067,2025-07-13,2025,6,CFL,BC,EDM,,,1.0,,,,,,,,,,0.0,34.0,,,,0.0,47.0,
