game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,fumble_recovery_yards,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,pass_defended,sacks,safeties,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_NAL_2025_3_8_T425361G979250@T463723,2025-03-09,2025,1,NAL,Sioux City Bandits,Beaumont Renegades,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,3.0,,
FOOTBALL_NAL_2025_4_18_T463723G979268@T434514,2025-04-18,2025,7,NAL,Beaumont Renegades,Columbus Lions,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,4.0,,
FOOTBALL_IFL_2026_3_16_TVEGASKNIGHTHAWKSG20260316CMKJ@TGREENBAYBLIZZARD,2026-03-16,2026,1,IFL,Vegas Knight Hawks,Green Bay Blizzard,3.0,,,,,,,,,,,,,1.0,,,2.0,5.0,,
FOOTBALL_IFL_2026_4_11_TGREENBAYBLIZZARDG20260411RZSM@TQUADCITYSTEAMWHEELERS,2026-04-11,2026,5,IFL,Green Bay Blizzard,Quad City Steamwheelers,1.0,,,,,,,,,,,,,,,,0.0,1.0,,
FOOTBALL_IFL_2026_5_2_TGREENBAYBLIZZARDG20260502XIPT@TFISHERSFREIGHT,2026-05-02,2026,8,IFL,Green Bay Blizzard,Fishers Freight,2.0,,,,,,,,,,,,,,,,2.0,4.0,,
FOOTBALL_IFL_2026_5_8_TQUADCITYSTEAMWHEELERSG202605081QHL@TGREENBAYBLIZZARD,2026-05-08,2026,9,IFL,Quad City Steamwheelers,Green Bay Blizzard,1.0,,,,,,1.0,0.0,,,,,,,,,2.0,3.0,,
FOOTBALL_IFL_2026_5_29_TSANANTONIOGUNSLINGERSG20260529P6HJ@TGREENBAYBLIZZARD,2026-05-29,2026,12,IFL,San Antonio Gunslingers,Green Bay Blizzard,2.0,,,,,,,,,,,,,,,,1.0,3.0,,
FOOTBALL_IFL_2026_6_6_TGREENBAYBLIZZARDG2026060683MZ@TQUADCITYSTEAMWHEELERS,2026-06-06,2026,13,IFL,Green Bay Blizzard,Quad City Steamwheelers,1.0,,,,,,,,1.0,-13.0,0.0,0.0,-13.0,,,,2.0,3.0,,
FOOTBALL_IFL_2026_6_12_TJACKSONVILLESHARKSG20260612DROA@TGREENBAYBLIZZARD,2026-06-12,2026,14,IFL,Jacksonville Sharks,Green Bay Blizzard,1.0,,,,,,,,,,,,,2.0,,,3.0,4.0,,
FOOTBALL_IFL_2026_6_27_TFISHERSFREIGHTG20260627RQV7@TGREENBAYBLIZZARD,2026-06-27,2026,16,IFL,Fishers Freight,Green Bay Blizzard,3.0,,,,,2.0,,,,,,,,,,,1.0,4.0,,
FOOTBALL_IFL_2026_7_5_TGREENBAYBLIZZARDG20260705T6X5@TORLANDOPIRATES,2026-07-05,2026,17,IFL,Green Bay Blizzard,Orlando Pirates,0.0,,,,,,,,,,,,,1.0,,,2.0,2.0,1.0,0.0
FOOTBALL_IFL_2026_7_11_TGREENBAYBLIZZARDG20260711PZT2@TIOWABARNSTORMERS,2026-07-11,2026,18,IFL,Green Bay Blizzard,Iowa Barnstormers,1.0,,,,,,1.0,0.0,,,,,,,,,1.0,2.0,,
FOOTBALL_IFL_2026_7_26_TGREENBAYBLIZZARDG20260726VLYQ@TJACKSONVILLESHARKS,2026-07-26,2026,20,IFL,Green Bay Blizzard,Jacksonville Sharks,0.0,,,,,,,,,,,,,,,,3.0,3.0,,
