game_id,date,season,week,league,away,home,catches,completions,goals,hockeyAssists,throwAttempts,yardsReceived,yardsThrown
2023-05-13-NY-DC,2023-05-13,2023,3,,NY,DC,1.0,,1.0,,,8.0,
2023-07-21-TOR-DC,2023-07-21,2023,13,,TOR,DC,6.0,5.0,1.0,1.0,5.0,105.0,4.0
