game_id,date,season,week,league,away,home,potw_defense,potw_offense
FOOTBALL_IFL_2023_SEASON_TOTAL,,2023,1,IFL,,,1.0,
FOOTBALL_IFL_2024_SEASON_TOTAL,,2024,1,IFL,,,,1.0
