game_id,date,season,week,league,away,home,assists,catches,completions,drops,goals,hockeyAssists,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-13-IND-CHI,2023-05-13,2023,3,,IND,CHI,,2.0,1.0,,1.0,,1.0,,26.0,4.0
2023-05-27-CHI-MAD,2023-05-27,2023,5,,CHI,MAD,1.0,5.0,3.0,1.0,1.0,1.0,5.0,,58.0,12.0
2023-05-28-MIN-CHI,2023-05-28,2023,5,,MIN,CHI,,,,,,,,2.0,,
2023-07-15-CHI-MIN,2023-07-15,2023,12,,CHI,MIN,,5.0,3.0,3.0,,,5.0,1.0,59.0,18.0
