game_id,date,season,week,league,away,home,def_ff,def_fr,def_int,def_pd,def_sacks,def_tackles,gp,pr_no,pr_td,pr_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,1.0,,,4.0,2.5,66.0,7.0,,,
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,2.0,1.0,1.0,3.0,1.5,127.0,12.0,1.0,,25.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,2.0,1.0,,2.0,4.0,73.0,10.0,1.0,1.0,3.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,2.0,,1.0,2.0,4.0,84.0,10.0,,,
