game_id,date,season,week,league,away,home,completions,def_solo,def_tot,interceptions_lost,pass_att,pass_attempts,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,passing_tds,passing_yards,rush_att,rush_attempts,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,score_conv,score_pts,score_r,score_tot,solo_tackles,tackles
FOOTBALL_XFL_2020_2_15_TB@SEA,2020-02-15,2020,2,XFL,TB,SEA,16.0,,,2.0,,27.0,,,,,,,,,154.0,,,,,,,,,,,,,
FOOTBALL_XFL_2020_2_22_HOU@TB,2020-02-22,2020,3,XFL,HOU,TB,16.0,,,1.0,,31.0,,,,,,,,1.0,193.0,,6.0,,,,1.0,33.0,,,,,,
FOOTBALL_XFL_2020_3_1_DC@TB,2020-03-01,2020,4,XFL,DC,TB,24.0,,,1.0,,31.0,,,,,,,,1.0,211.0,,4.0,,,,1.0,36.0,,,,,,
FOOTBALL_XFL_2020_3_8_TB@LA,2020-03-08,2020,5,XFL,TB,LA,22.0,,,2.0,,34.0,,,,,,,,2.0,300.0,,7.0,,,,1.0,45.0,,,,,1.0,1.0
FOOTBALL_CFL_2021_10_15_WPG@EDM,2021-10-15,2021,1,CFL,WPG,EDM,,,,,29.0,,17.0,,36.0,13.0,3.0,1.0,187.0,,,4.0,,9.0,,19.0,,,,,,,,
FOOTBALL_CFL_2021_10_29_HAM@EDM,2021-10-29,2021,1,CFL,HAM,EDM,,,,,33.0,,19.0,,22.0,17.0,3.0,,251.0,,,3.0,,15.0,,26.0,,,,,,,,
FOOTBALL_CFL_2021_10_8_EDM@WPG,2021-10-08,2021,1,CFL,EDM,WPG,,,,,13.0,,6.0,1.0,13.0,9.0,2.0,,47.0,,,1.0,,10.0,,10.0,,,,,,,,
FOOTBALL_CFL_2021_11_13_EDM@SSK,2021-11-13,2021,1,CFL,EDM,SSK,,,,,30.0,,20.0,1.0,30.0,22.0,3.0,3.0,224.0,,,2.0,,10.0,,11.0,,,,,,,,
FOOTBALL_CFL_2021_11_16_EDM@TOR,2021-11-16,2021,1,CFL,EDM,TOR,,,,,32.0,,15.0,3.0,32.0,7.0,1.0,,160.0,,,2.0,,,1.0,32.0,,,,6.0,1.0,1.0,,
FOOTBALL_CFL_2021_11_19_EDM@BC,2021-11-19,2021,1,CFL,EDM,BC,,,,,11.0,,4.0,3.0,12.0,,,,27.0,,,,,,,,,,,,,,,
FOOTBALL_CFL_2021_11_5_SSK@EDM,2021-11-05,2021,1,CFL,SSK,EDM,,,,,35.0,,21.0,,28.0,14.0,3.0,2.0,322.0,,,2.0,,13.0,,14.0,,,,,,,,
FOOTBALL_CFL_2021_8_19_EDM@BC,2021-08-19,2021,1,CFL,EDM,BC,,,,,,,,,,,,,,,,2.0,,1.0,,1.0,,,,,,,,
FOOTBALL_CFL_2021_9_11_CGY@EDM,2021-09-11,2021,1,CFL,CGY,EDM,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,
FOOTBALL_CFL_2021_9_18_WPG@EDM,2021-09-18,2021,1,CFL,WPG,EDM,,,,,33.0,,19.0,3.0,30.0,1.0,1.0,,243.0,,,2.0,,14.0,,23.0,,,,,,,,
FOOTBALL_CFL_2021_9_28_EDM@OTT,2021-09-28,2021,1,CFL,EDM,OTT,,,,,31.0,,22.0,2.0,,28.0,4.0,3.0,334.0,,,2.0,,8.0,,12.0,,,,,,,,
FOOTBALL_CFL_2022_10_15_TOR@EDM,2022-10-15,2022,1,CFL,TOR,EDM,,,,,30.0,,18.0,1.0,44.0,19.0,2.0,1.0,185.0,,,3.0,,30.0,,51.0,,,,,,,,
FOOTBALL_CFL_2022_10_1_MTL@EDM,2022-10-01,2022,1,CFL,MTL,EDM,,,,,28.0,,16.0,2.0,44.0,16.0,4.0,,273.0,,,5.0,,8.0,1.0,23.0,,,,6.0,1.0,1.0,,
FOOTBALL_CFL_2022_10_8_EDM@WPG,2022-10-08,2022,1,CFL,EDM,WPG,,,,,24.0,,11.0,,,6.0,2.0,1.0,137.0,,,6.0,,14.0,,44.0,,,,,,,,
FOOTBALL_CFL_2022_7_14_EDM@MTL,2022-07-14,2022,1,CFL,EDM,MTL,,1.0,1.0,,31.0,,19.0,1.0,38.0,,,1.0,230.0,,,4.0,,8.0,,20.0,,,,,,,,
FOOTBALL_CFL_2022_7_22_WPG@EDM,2022-07-22,2022,1,CFL,WPG,EDM,,,,,42.0,,25.0,1.0,25.0,32.0,5.0,,270.0,,,15.0,,12.0,,59.0,,,,,,,,
FOOTBALL_CFL_2022_8_13_SSK@EDM,2022-08-13,2022,1,CFL,SSK,EDM,,,,,23.0,,13.0,1.0,34.0,17.0,4.0,,209.0,,,7.0,,,2.0,86.0,,,,12.0,2.0,2.0,,
FOOTBALL_CFL_2022_8_19_EDM@OTT,2022-08-19,2022,1,CFL,EDM,OTT,,,,,27.0,,16.0,,27.0,10.0,1.0,2.0,208.0,,,5.0,,12.0,,47.0,,,,,,,,
FOOTBALL_CFL_2022_8_27_OTT@EDM,2022-08-27,2022,1,CFL,OTT,EDM,,1.0,1.0,,37.0,,14.0,1.0,54.0,15.0,2.0,,287.0,,,8.0,,11.0,2.0,39.0,,,1.0,14.0,2.0,2.0,,
FOOTBALL_CFL_2022_8_6_EDM@BC,2022-08-06,2022,1,CFL,EDM,BC,,,,,26.0,,15.0,1.0,26.0,25.0,5.0,1.0,183.0,,,4.0,,9.0,,13.0,,,,,,,,
FOOTBALL_CFL_2022_9_10_CGY@EDM,2022-09-10,2022,1,CFL,CGY,EDM,,,,,32.0,,23.0,1.0,67.0,36.0,4.0,2.0,292.0,,,1.0,,,1.0,11.0,,,,6.0,1.0,1.0,,
FOOTBALL_CFL_2022_9_16_EDM@SSK,2022-09-16,2022,1,CFL,EDM,SSK,,,,,24.0,,13.0,,,14.0,2.0,1.0,237.0,,,8.0,,56.0,1.0,93.0,,,,6.0,1.0,1.0,,
FOOTBALL_CFL_2022_9_5_EDM@CGY,2022-09-05,2022,1,CFL,EDM,CGY,,1.0,1.0,,33.0,,22.0,,,38.0,6.0,2.0,257.0,,,5.0,,8.0,,16.0,,,,,,,,
6230,2022-07-14,2022,6,CFL,EDM,MTL,,,,1.0,,,,,,,,,,1.0,230.0,,,,,,0.0,20.0,,,,,,
6236,2022-07-22,2022,7,CFL,WPG,EDM,,,,1.0,,,,,,,,,,0.0,270.0,,,,,,0.0,59.0,,,,,,
6245,2022-08-06,2022,9,CFL,EDM,BC,,,,1.0,,,,,,,,,,1.0,183.0,,,,,,0.0,13.0,,,,,,
6249,2022-08-13,2022,10,CFL,SSK,EDM,,,,1.0,,,,,,,,,,0.0,209.0,,,,,,2.0,86.0,,,,,,
6250,2022-08-19,2022,11,CFL,EDM,OTT,,,,0.0,,,,,,,,,,2.0,208.0,,,,,,0.0,47.0,,,,,,
6266,2022-09-16,2022,15,CFL,EDM,SSK,,,,0.0,,,,,,,,,,1.0,237.0,,,,,,1.0,93.0,,,,,,
6274,2022-10-01,2022,17,CFL,MTL,EDM,,,,2.0,,,,,,,,,,0.0,273.0,,,,,,1.0,23.0,,,,,,
6278,2022-10-08,2022,18,CFL,EDM,WPG,,,,0.0,,,,,,,,,,1.0,137.0,,,,,,0.0,44.0,,,,,,
6282,2022-10-15,2022,19,CFL,TOR,EDM,,,,1.0,,,,,,,,,,1.0,185.0,,,,,,0.0,51.0,,,,,,
9889286,2023-06-11,2023,1,CFL,SSK,EDM,,,,2.0,,,,,,,,,,1.0,202.0,,,,,,0.0,14.0,,,,,,
9889289,2023-06-17,2023,2,CFL,EDM,BC,,,,0.0,,,,,,,,,,0.0,103.0,,,,,,,8.0,,,,,,0.0
9889294,2023-06-25,2023,3,CFL,TOR,EDM,,,,0.0,,,,,,,,,,1.0,135.0,,,,,,0.0,28.0,,,,,,
9889298,2023-07-06,2023,5,CFL,EDM,SSK,,,,1.0,,,,,,,,,,1.0,226.0,,,,,,1.0,58.0,,,,,,
9889302,2023-07-13,2023,6,CFL,HAM,EDM,,,,2.0,,,,,,,,,,1.0,177.0,,,,,,0.0,14.0,,,,,,
9889306,2023-07-20,2023,7,CFL,EDM,WPG,,,,2.0,,,,,,,,,,1.0,220.0,,,,,,0.0,57.0,,,,,,
9889312,2023-07-29,2023,8,CFL,BC,EDM,,,,2.0,,,,,,,,,,0.0,187.0,,,,,,0.0,22.0,,,,,,
9889318,2023-08-10,2023,10,CFL,WPG,EDM,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,
9889322,2023-08-17,2023,11,CFL,EDM,HAM,,,,0.0,,,,,,,,,,0.0,45.0,,,,,,1.0,4.0,,,,,,
9889329,2023-08-27,2023,12,CFL,OTT,EDM,,,,,,,,,,,,,,,,,,,,,1.0,5.0,,,,,,
9889333,2023-09-04,2023,13,CFL,EDM,CGY,,,,,,,,,,,,,,,,,,,,,1.0,8.0,,,,,,
9889337,2023-09-09,2023,14,CFL,CGY,EDM,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,
9889339,2023-09-15,2023,15,CFL,EDM,SSK,,,,0.0,,,,,,,,,,1.0,10.0,,,,,,0.0,4.0,,,,,,
9889343,2023-09-22,2023,16,CFL,BC,EDM,,,,,,,,,,,,,,,,,,,,,0.0,7.0,,,,,,
9889350,2023-10-06,2023,18,CFL,EDM,TOR,,,,,,,,,,,,,,,,,,,,,0.0,3.0,,,,,,
9889356,2023-10-14,2023,19,CFL,MTL,EDM,,,,,,,,,,,,,,,,,,,,,1.0,16.0,,,,,,
9889360,2023-10-21,2023,20,CFL,EDM,WPG,,,,,,,,,,,,,,,,,,,,,2.0,5.0,,,,,,
