game_id,date,season,week,league,away,home,def_tackles,gp,kr_no,kr_yds,pr_no,pr_yds,recv_rec,recv_td,recv_yds,rush_att,rush_yds
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,3.0,12.0,4.0,61.0,,,63.0,5.0,1008.0,3.0,18.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,6.0,18.0,381.0,3.0,38.0,26.0,2.0,247.0,2.0,3.0
